#ell		zi	zj	cl_gg
11.072		0	0	1.8446491580e-05
11.072		0	1	5.7031716188e-08
11.072		0	2	7.2349733081e-07
11.072		1	0	5.7031716188e-08
11.072		1	1	4.0164352990e-06
11.072		1	2	2.5910309089e-07
11.072		2	0	7.2349733081e-07
11.072		2	1	2.5910309089e-07
11.072		2	2	1.2565304193e-06
13.445		0	0	1.9002645501e-05
13.445		0	1	7.1333343169e-08
13.445		0	2	7.4010090209e-07
13.445		1	0	7.1333343169e-08
13.445		1	1	4.4970454662e-06
13.445		1	2	2.9274586943e-07
13.445		2	0	7.4010090209e-07
13.445		2	1	2.9274586943e-07
13.445		2	2	1.4296793908e-06
16.327		0	0	1.8992954934e-05
16.327		0	1	8.6884348528e-08
16.327		0	2	7.3525967920e-07
16.327		1	0	8.6884348528e-08
16.327		1	1	4.9651181882e-06
16.327		1	2	3.2624534741e-07
16.327		2	0	7.3525967920e-07
16.327		2	1	3.2624534741e-07
16.327		2	2	1.6096017238e-06
19.826		0	0	1.8329640450e-05
19.826		0	1	1.0231844141e-07
19.826		0	2	7.0667266233e-07
19.826		1	0	1.0231844141e-07
19.826		1	1	5.3891583159e-06
19.826		1	2	3.5759911067e-07
19.826		2	0	7.0667266233e-07
19.826		2	1	3.5759911067e-07
19.826		2	2	1.7929823383e-06
24.076		0	0	1.7025183466e-05
24.076		0	1	1.1549806595e-07
24.076		0	2	6.5561877906e-07
24.076		1	0	1.1549806595e-07
24.076		1	1	5.7245620064e-06
24.076		1	2	3.8400795148e-07
24.076		2	0	6.5561877906e-07
24.076		2	1	3.8400795148e-07
24.076		2	2	1.9656208298e-06
29.237		0	0	1.5228484938e-05
29.237		0	1	1.2379117011e-07
29.237		0	2	5.8769954121e-07
29.237		1	0	1.2379117011e-07
29.237		1	1	5.9204605261e-06
29.237		1	2	4.0213403801e-07
29.237		2	0	5.8769954121e-07
29.237		2	1	4.0213403801e-07
29.237		2	2	2.1190186687e-06
35.504		0	0	1.3209984343e-05
35.504		0	1	1.2463395577e-07
35.504		0	2	5.1149880365e-07
35.504		1	0	1.2463395577e-07
35.504		1	1	5.9201211898e-06
35.504		1	2	4.0812957430e-07
