#ell		zi	zj	cl_gl
11.072		0	0	2.0937847725e-07
11.072		0	1	6.2555060822e-07
11.072		0	2	8.2056710424e-07
11.072		1	0	-4.1254454200e-09
11.072		1	1	1.4916093568e-08
11.072		1	2	1.3455086260e-07
11.072		2	0	1.7617760408e-08
11.072		2	1	3.6292817603e-08
11.072		2	2	6.8108549814e-08
13.445		0	0	2.0552888535e-07
13.445		0	1	6.3614370910e-07
13.445		0	2	8.4055497734e-07
13.445		1	0	-3.6945188678e-09
13.445		1	1	1.7799707638e-08
13.445		1	2	1.5218269418e-07
13.445		2	0	1.6021534543e-08
13.445		2	1	3.4989345604e-08
13.445		2	2	7.0343927345e-08
16.327		0	0	1.9442123232e-07
16.327		0	1	6.2694371221e-07
16.327		0	2	8.3545365762e-07
16.327		1	0	-3.2518971318e-09
16.327		1	1	2.0575814724e-08
16.327		1	2	1.6927716065e-07
16.327		2	0	1.4217977545e-08
16.327		2	1	3.2995114653e-08
16.327		2	2	7.1757950848e-08
19.826		0	0	1.7684204745e-07
19.826		0	1	5.9673245372e-07
19.826		0	2	8.0280733424e-07
19.826		1	0	-2.8179495187e-09
19.826		1	1	2.3030442019e-08
19.826		1	2	1.8464207211e-07
19.826		2	0	1.2323344543e-08
19.826		2	1	3.0387426715e-08
19.826		2	2	7.2275886541e-08
24.076		0	0	1.5506021779e-07
24.076		0	1	5.4776769138e-07
24.076		0	2	7.4430917957e-07
24.076		1	0	-2.4064317877e-09
24.076		1	1	2.4886042199e-08
24.076		1	2	1.9667505439e-07
24.076		2	0	1.0455844816e-08
24.076		2	1	2.7300535209e-08
24.076		2	2	7.1756172550e-08
29.237		0	0	1.3239573330e-07
29.237		0	1	4.8616355997e-07
29.237		0	2	6.6663041992e-07
29.237		1	0	-2.0264248966e-09
29.237		1	1	2.5847172218e-08
29.237		1	2	2.0351858976e-07
29.237		2	0	8.7138861682e-09
29.237		2	1	2.3917227825e-08
29.237		2	2	7.0166287719e-08
35.504		0	0	1.1169100516e-07
35.504		0	1	4.2007625189e-07
35.504		0	2	5.7979549940e-07
35.504		1	0	-1.6830214109e-09
35.504		1	1	2.5628014719e-08
35.504		1	2	2.0321510437e-07
35.504		2	0	7.1593310253e-09
35.504		2	1	2.0452598228e-08
35.504		2	2	6.7365323493e-08
43.114		0	0	9.3737674763e-08
43.114		0	1	3.5623528634e-07
43.114		0	2	4.9328887584e-07
43.114		1	0	-1.3767601084e-09
43.114		1	1	2.4088436584e-08
43.114		1	2	1.9433812269e-07
43.114		2	0	5.8137602137e-09
43.114		2	1	1.7123273563e-08
43.114		2	2	6.3333717415e-08
52.355		0	0	7.7461213660e-08
52.355		0	1	2.9786098020e-07
52.355		0	2	4.1315446008e-07
52.355		1	0	-1.1087374615e-09
52.355		1	1	2.1388166375e-08
52.355		1	2	1.7690744784e-07
52.355		2	0	4.6671778959e-09
52.355		2	1	1.4105760732e-08
52.355		2	2	5.8091723591e-08
63.577		0	0	6.2208037476e-08
63.577		0	1	2.4581913304e-07
63.577		0	2	3.4213161485e-07
63.577		1	0	-8.8202678789e-10
63.577		1	1	1.8092561509e-08
63.577		1	2	1.5336514764e-07
63.577		2	0	3.6954537392e-09
63.577		2	1	1.1492973814e-08
63.577		2	2	5.1669446776e-08
77.205		0	0	4.8668757174e-08
77.205		0	1	1.9991448429e-07
77.205		0	2	2.8015557834e-07
77.205		1	0	-6.9782420217e-10
77.205		1	1	1.5054062723e-08
77.205		1	2	1.2862765294e-07
77.205		2	0	2.8811069169e-09
77.205		2	1	9.2771764987e-09
77.205		2	2	4.4441207688e-08
93.753		0	0	3.7458509980e-08
93.753		0	1	1.5864633173e-07
93.753		0	2	2.2413443163e-07
93.753		1	0	-5.5328501730e-10
93.753		1	1	1.2911538753e-08
93.753		1	2	1.0806788740e-07
93.753		2	0	2.2236405642e-09
93.753		2	1	7.3888350103e-09
93.753		2	2	3.7098518229e-08
113.849		0	0	2.8695380318e-08
113.849		0	1	1.2226765367e-07
113.849		0	2	1.7340076953e-07
113.849		1	0	-4.3966042907e-10
113.849		1	1	1.1312866032e-08
113.849		1	2	9.3033167887e-08
113.849		2	0	1.7177863981e-09
113.849		2	1	5.7684329954e-09
113.849		2	2	3.0458699260e-08
138.252		0	0	2.2053175034e-08
138.252		0	1	9.3486916660e-08
138.252		0	2	1.3232170468e-07
138.252		1	0	-3.4262303902e-10
138.252		1	1	9.2024032127e-09
138.252		1	2	7.8724451490e-08
138.252		2	0	1.3331413090e-09
138.252		2	1	4.4210797930e-09
138.252		2	2	2.5211949553e-08
167.886		0	0	1.6821771657e-08
167.886		0	1	7.1801067190e-08
167.886		0	2	1.0170830996e-07
167.886		1	0	-2.6413577103e-10
167.886		1	1	6.6838138268e-09
167.886		1	2	6.1146549990e-08
167.886		2	0	1.0348264505e-09
167.886		2	1	3.3778280300e-09
167.886		2	2	2.1035969176e-08
203.872		0	0	1.2867055866e-08
203.872		0	1	5.4755396783e-08
203.872		0	2	7.7685164902e-08
203.872		1	0	-2.0906120418e-10
203.872		1	1	5.1514886196e-09
203.872		1	2	4.5642844816e-08
203.872		2	0	8.0631267334e-10
203.872		2	1	2.6043771111e-09
203.872		2	2	1.6816654496e-08
247.572		0	0	9.9304562538e-09
247.572		0	1	4.1619976629e-08
