#ell		zi	zj	cl_ll
11.072		0	0	1.2524320030e-08
11.072		0	1	1.8500337965e-08
11.072		0	2	2.0563537893e-08
11.072		1	0	1.8500337965e-08
11.072		1	1	3.4561982160e-08
11.072		1	2	4.1943584757e-08
11.072		2	0	2.0563537893e-08
11.072		2	1	4.1943584757e-08
11.072		2	2	5.5671466473e-08
13.445		0	0	1.1064499039e-08
13.445		0	1	1.6747940962e-08
13.445		0	2	1.8720130663e-08
13.445		1	0	1.6747940962e-08
13.445		1	1	3.2880722384e-08
13.445		1	2	4.0477480278e-08
13.445		2	0	1.8720130663e-08
13.445		2	1	4.0477480278e-08
13.445		2	2	5.5069422017e-08
16.327		0	0	9.5542713633e-09
16.327		0	1	1.4794572347e-08
16.327		0	2	1.6622570732e-08
16.327		1	0	1.4794572347e-08
16.327		1	1	3.0562163703e-08
16.327		1	2	3.8192756998e-08
16.327		2	0	1.6622570732e-08
16.327		2	1	3.8192756998e-08
16.327		2	2	5.3395212446e-08
19.826		0	0	8.0856832457e-09
19.826		0	1	1.2769573685e-08
19.826		0	2	1.4411465689e-08
19.826		1	0	1.2769573685e-08
19.826		1	1	2.7729760904e-08
19.826		1	2	3.5190192984e-08
19.826		2	0	1.4411465689e-08
19.826		2	1	3.5190192984e-08
19.826		2	2	5.0676299750e-08
24.076		0	0	6.7288796186e-09
24.076		0	1	1.0796376222e-08
24.076		0	2	1.2227408864e-08
24.076		1	0	1.0796376222e-08
24.076		1	1	2.4552738598e-08
24.076		1	2	3.1632857910e-08
24.076		2	0	1.2227408864e-08
24.076		2	1	3.1632857910e-08
24.076		2	2	4.7012954009e-08
29.237		0	0	5.5228390464e-09
29.237		0	1	8.9725435990e-09
29.237		0	2	1.0188115015e-08
29.237		1	0	8.9725435990e-09
29.237		1	1	2.1231835540e-08
29.237		1	2	2.7739402008e-08
29.237		2	0	1.0188115015e-08
29.237		2	1	2.7739402008e-08
29.237		2	2	4.2585443305e-08
35.504		0	0	4.4769611975e-09
35.504		0	1	7.3551638445e-09
35.504		0	2	8.3688075027e-09
35.504		1	0	7.3551638445e-09
35.504		1	1	1.7972529687e-08
35.504		1	2	2.3761760863e-08
35.504		2	0	8.3688075027e-09
35.504		2	1	2.3761760863e-08
35.504		2	2	3.7650198806e-08
43.114		0	0	3.5833727869e-09
43.114		0	1	5.9592652846e-09
43.114		0	2	6.7954000667e-09
43.114		1	0	5.9592652846e-09
43.114		1	1	1.4948673210e-08
43.114		1	2	1.9945640706e-08
43.114		2	0	6.7954000667e-09
43.114		2	1	1.9945640706e-08
43.114		2	2	3.2514438037e-08
52.355		0	0	2.8312312173e-09
52.355		0	1	4.7706289757e-09
52.355		0	2	5.4546174538e-09
52.355		1	0	4.7706289757e-09
52.355		1	1	1.2268174408e-08
52.355		1	2	1.6481265320e-08
52.355		2	0	5.4546174538e-09
52.355		2	1	1.6481265320e-08
52.355		2	2	2.7492348700e-08
63.577		0	0	2.2122896278e-09
63.577		0	1	3.7666407423e-09
63.577		0	2	4.3178056506e-09
63.577		1	0	3.7666407423e-09
63.577		1	1	9.9580164437e-09
63.577		1	2	1.3462311010e-08
63.577		2	0	4.3178056506e-09
63.577		2	1	1.3462311010e-08
63.577		2	2	2.2847145436e-08
77.205		0	0	1.7176716879e-09
77.205		0	1	2.9335897255e-09
77.205		0	2	3.3662609310e-09
77.205		1	0	2.9335897255e-09
77.205		1	1	7.9835685259e-09
77.205		1	2	1.0879495011e-08
77.205		2	0	3.3662609310e-09
77.205		2	1	1.0879495011e-08
77.205		2	2	1.8736103100e-08
93.753		0	0	1.3331452327e-09
93.753		0	1	2.2676990733e-09
93.753		0	2	2.5990859344e-09
93.753		1	0	2.2676990733e-09
93.753		1	1	6.2980421097e-09
93.753		1	2	8.6654404566e-09
93.753		2	0	2.5990859344e-09
93.753		2	1	8.6654404566e-09
93.753		2	2	1.5191139417e-08
113.849		0	0	1.0374970136e-09
113.849		0	1	1.7554801558e-09
113.849		0	2	2.0087464941e-09
113.849		1	0	1.7554801558e-09
113.849		1	1	4.8878722364e-09
113.849		1	2	6.7727469478e-09
113.849		2	0	2.0087464941e-09
113.849		2	1	6.7727469478e-09
113.849		2	2	1.2154574987e-08
138.252		0	0	8.0948750258e-10
138.252		0	1	1.3635167945e-09
138.252		0	2	1.5593389097e-09
138.252		1	0	1.3635167945e-09
138.252		1	1	3.7638999579e-09
138.252		1	2	5.2150306547e-09
138.252		2	0	1.5593389097e-09
138.252		2	1	5.2150306547e-09
138.252		2	2	9.5578328022e-09
167.886		0	0	6.3462742508e-10
167.886		0	1	1.0602946150e-09
167.886		0	2	1.2108374639e-09
167.886		1	0	1.0602946150e-09
167.886		1	1	2.9039777121e-09
167.886		1	2	4.0086970068e-09
167.886		2	0	1.2108374639e-09
167.886		2	1	4.0086970068e-09
167.886		2	2	7.3882858522e-09
203.872		0	0	5.0058395933e-10
203.872		0	1	8.2849887799e-10
203.872		0	2	9.4391492011e-10
