# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
1.168084470542e+01	3.111496783350e-05	7.920543903777e-06	1.193254906216e-06	1.309793731760e-07	1.050401015502e-08	5.641117182304e-10	1.724552998484e-11	2.256469065219e-13	6.904556166298e-16	8.316580754908e-20	1.515196480339e-05	7.401292615849e-06	1.959370849262e-06	3.309898805952e-07	3.574776015104e-08	2.217354696163e-09	6.137102799988e-11	4.278381788910e-13	1.369984426691e-16	9.644540281846e-06	5.668689604936e-06	1.883571076183e-06	3.723485246303e-07	4.116988074249e-08	2.070856831819e-09	2.823896111115e-11	2.101907528404e-14	6.815096791948e-06	4.319153505201e-06	1.546473204478e-06	3.004854834131e-07	2.656839603447e-08	6.715692995315e-10	1.098014936151e-12	5.070960981804e-06	3.286935679999e-06	1.141247593732e-06	1.809182654702e-07	8.539547955223e-09	3.049952361168e-11	3.867755975695e-06	2.461077787694e-06	7.304619799643e-07	6.773726111324e-08	5.550205892309e-10	2.967597910605e-06	1.751242435208e-06	3.473510019450e-07	7.266405788409e-09	2.234955416586e-06	1.079540548111e-06	6.854775377203e-08	1.561868665716e-06	4.008675407888e-07	6.754779041173e-07
1.593759367225e+01	3.014828810349e-05	8.521843552631e-06	1.326312311058e-06	1.485951371922e-07	1.209800160906e-08	6.576768358196e-10	2.032068225975e-11	2.685514047502e-13	8.300922134919e-16	1.011670101018e-19	1.675772673236e-05	8.355150668441e-06	2.246109792287e-06	3.841730434278e-07	4.193484952344e-08	2.625959131060e-09	7.333253642671e-11	5.158697467366e-13	1.669453874792e-16	1.103358707259e-05	6.558892402368e-06	2.201042819579e-06	4.390305211252e-07	4.895263523474e-08	2.482409585513e-09	3.413308388868e-11	2.565475041793e-14	7.952727206894e-06	5.080010065121e-06	1.832527161048e-06	3.586626689587e-07	3.194336079979e-08	8.135916427432e-10	1.342262082943e-12	6.001943870408e-06	3.914528302134e-06	1.367595619856e-06	2.181849500073e-07	1.036931193826e-08	3.734292416401e-11	4.629791521196e-06	2.961444772912e-06	8.838391596158e-07	8.245828882469e-08	6.807155634688e-10	3.586693609162e-06	2.126688560857e-06	4.240656074133e-07	8.929780244641e-09	2.725235524443e-06	1.322535397273e-06	8.445231938139e-08	1.921607888667e-06	4.956505095613e-07	8.400497974274e-07
2.174559276041e+01	2.670503145530e-05	8.474385136553e-06	1.379555081321e-06	1.590298898648e-07	1.322159608602e-08	7.309127188872e-10	2.291334845170e-11	3.069276068488e-13	9.616849661354e-16	1.190702906606e-19	1.731019956163e-05	8.880392996469e-06	2.438793265458e-06	4.243513191722e-07	4.699952797304e-08	2.981308502554e-09	8.426300748814e-11	6.000020346569e-13	1.969550268887e-16	1.194649090432e-05	7.213557706060e-06	2.453875053264e-06	4.954863528544e-07	5.587870475129e-08	2.864707952058e-09	3.983101943505e-11	3.033166846194e-14	8.849416397544e-06	5.713928971008e-06	2.082161845251e-06	4.115248259202e-07	3.701027884709e-08	9.523172938245e-10	1.590285998849e-12	6.808817693767e-06	4.477954422478e-06	1.577500582820e-06	2.538335420758e-07	1.217499017434e-08	4.433758435935e-11	5.332547654788e-06	3.435045041979e-06	1.032816353746e-06	9.714505300569e-08	8.100842868010e-10	4.184949785077e-06	2.497352207405e-06	5.015474881122e-07	1.065545067501e-08	3.217883491486e-06	1.571498698576e-06	1.011158287774e-07	2.296511852029e-06	5.963027148573e-07	1.018492224276e-06
2.967015060279e+01	2.152679455853e-05	7.570375140887e-06	1.306013008144e-06	1.565483336566e-07	1.340120999502e-08	7.584762226417e-10	2.426580970644e-11	3.312282085727e-13	1.057583352502e-15	1.338160043796e-19	1.623695651173e-05	8.658919802039e-06	2.449566858903e-06	4.366023789093e-07	4.935360138650e-08	3.187637349618e-09	9.161692977891e-11	6.634225728362e-13	2.220610893064e-16	1.195213401124e-05	7.376837077182e-06	2.557763792267e-06	5.253946794202e-07	6.019933732700e-08	3.133368771571e-09	4.424179698353e-11	3.429837036732e-14	9.199465631693e-06	6.030226700384e-06	2.228741473728e-06	4.465401059574e-07	4.070571898873e-08	1.062231022008e-09	1.803370435227e-12	7.272102265523e-06	4.838603770331e-06	1.724370225402e-06	2.807645287432e-07	1.363785688251e-08	5.042349091326e-11	5.817139535208e-06	3.783884628839e-06	1.149384768307e-06	1.093205753208e-07	9.241445233480e-10	4.647652637142e-06	2.797922024297e-06	5.674069125295e-07	1.219972590222e-08	3.632328677254e-06	1.789116662155e-06	1.163004172923e-07	2.634833804168e-06	6.902905786617e-07	1.191381935005e-06
4.048258635629e+01	1.634858006110e-05	6.012021385035e-06	1.096033236297e-06	1.375442067536e-07	1.222437611742e-08	7.140985768182e-10	2.349571510083e-11	3.292846776191e-13	1.079672873773e-15	1.408476190372e-19	1.349358940039e-05	7.519757107360e-06	2.208161249027e-06	4.063333134040e-07	4.723107692443e-08	3.128035140065e-09	9.204328365351e-11	6.824782883257e-13	2.347899265556e-16	1.071924419678e-05	6.809395678973e-06	2.422937372166e-06	5.096358337099e-07	5.970358059493e-08	3.174553280679e-09	4.580505256880e-11	3.641363767952e-14	8.682608229515e-06	5.810959717517e-06	2.190492746602e-06	4.473553091633e-07	4.156353569367e-08	1.106295899496e-09	1.922220576350e-12	7.125260743275e-06	4.818863685673e-06	1.745508045033e-06	2.889785372950e-07	1.428851092463e-08	5.396399390414e-11	5.871526818875e-06	3.872048593607e-06	1.193215423936e-06	1.152808655534e-07	9.933430497617e-10	4.810836715461e-06	2.932152691160e-06	6.028064984352e-07	1.317960947735e-08	3.846903934558e-06	1.917622305147e-06	1.264450863346e-07	2.854792526240e-06	7.572720394358e-07	1.325975292311e-06
5.523530433110e+01	1.226319697700e-05	4.529492993448e-06	8.310141840209e-07	1.071351852184e-07	9.834102178822e-09	5.936182564250e-10	2.017903984010e-11	2.923098973318e-13	9.926742338535e-16	1.350364277917e-19	1.019781480273e-05	5.809565292276e-06	1.757176232064e-06	3.336298632253e-07	4.000554375284e-08	2.731398785064e-09	8.283930784974e-11	6.340238395110e-13	2.265269314378e-16	8.490905658678e-06	5.543442736267e-06	2.028322538905e-06	4.387031916907e-07	5.284129490746e-08	2.889214626422e-09	4.292725305575e-11	3.533450379012e-14	7.238316465666e-06	4.962401167420e-06	1.916543276343e-06	4.011516459687e-07	3.822564397598e-08	1.045269751478e-09	1.875689572297e-12	6.209938198082e-06	4.287959252676e-06	1.586775302474e-06	2.686603799939e-07	1.361203776596e-08	5.295715721230e-11	5.317160800694e-06	3.571539227038e-06	1.122420415089e-06	1.108166266350e-07	9.807909106743e-10	4.507313364799e-06	2.794316974278e-06	5.855115891506e-07	1.310596449986e-08	3.720229082461e-06	1.885870849292e-06	1.268739198889e-07	2.850619064917e-06	7.695358427209e-07	1.375275843223e-06
7.536422741615e+01	8.625033548199e-06	3.531615372348e-06	6.384497585494e-07	8.057095463032e-08	7.343337315021e-09	4.460598558435e-10	1.541478501275e-11	2.288403132246e-13	8.029872750872e-16	1.144317885167e-19	7.872146628339e-06	4.389767137617e-06	1.313422005404e-06	2.498408013422e-07	3.032158814199e-08	2.110809063062e-09	6.564341449108e-11	5.184578232286e-13	1.934221167195e-16	6.351078263722e-06	4.144160289468e-06	1.528780241634e-06	3.356989604747e-07	4.127195694241e-08	2.313818645833e-09	3.543917492997e-11	3.038326676442e-14	5.446052121858e-06	3.778306599168e-06	1.483372889038e-06	3.168616754068e-07	3.093420080669e-08	8.708780243487e-10	1.624061556164e-12	4.792337280653e-06	3.364106483649e-06	1.269359410478e-06	2.198848859126e-07	1.144952305814e-08	4.618101819759e-11	4.237896036087e-06	2.898907263818e-06	9.305227277733e-07	9.421197603172e-08	8.619839578411e-10	3.720043309963e-06	2.351360932721e-06	5.041122407085e-07	1.162463335668e-08	3.185878205989e-06	1.649134361434e-06	1.138673441364e-07	2.542279011152e-06	7.024367430723e-07	1.291076179525e-06
1.028285594298e+02	5.433963911788e-06	2.411154074831e-06	4.830000686064e-07	6.341702137359e-08	5.772042180064e-09	3.446143455387e-10	1.168182425679e-11	1.709756817039e-13	5.977271195772e-16	8.653634979514e-20	5.865826893174e-06	3.435177512647e-06	1.035368196975e-06	1.944104231921e-07	2.316186565842e-08	1.586834543476e-09	4.889713832368e-11	3.866117356285e-13	1.469160310538e-16	5.010511225764e-06	3.239680642989e-06	1.176074879337e-06	2.541265529353e-07	3.087065560609e-08	1.721991661328e-09	2.649622313571e-11	2.318151071846e-14	4.200208418239e-06	2.872592735289e-06	1.114269875397e-06	2.362106002815e-07	2.303270645726e-08	6.533136853173e-10	1.245016315437e-12	3.605833789454e-06	2.512183796871e-06	9.447436522502e-07	1.640287138901e-07	8.626237674144e-09	3.558802390155e-11	3.154731031481e-06	2.159105695318e-06	6.967667204325e-07	7.138803426447e-08	6.682896041392e-10	2.781244625774e-06	1.771911364423e-06	3.850157706151e-07	9.080798668672e-09	2.424693696391e-06	1.273710822978e-06	8.987542051603e-08	1.995598004936e-06	5.634855334873e-07	1.067554853318e-06
1.403014798522e+02	3.392134794728e-06	1.520438018642e-06	2.975163273712e-07	4.121342122163e-08	4.064682189364e-09	2.593999464594e-10	9.153072621031e-12	1.357502233408e-13	4.697330108787e-16	6.603692619235e-20	3.609984378297e-06	2.189552323187e-06	7.099750591291e-07	1.430215141682e-07	1.789120086745e-08	1.255180328976e-09	3.875824463471e-11	3.018912744211e-13	1.115972292997e-16	3.396602553301e-06	2.342254883264e-06	8.944196852373e-07	1.993323074324e-07	2.449402282469e-08	1.359725086240e-09	2.056428284631e-11	1.753762654435e-14	3.174539758275e-06	2.238350665952e-06	8.819092955885e-07	1.873231938586e-07	1.809339607419e-08	5.040232387009e-10	9.384138581776e-13	2.849817056353e-06	1.993902756103e-06	7.463220275632e-07	1.280040065441e-07	6.614082704154e-09	2.673090330256e-11	2.495819192308e-06	1.693333062981e-06	5.392931738554e-07	5.437183440616e-08	5.002908629271e-10	2.158932610033e-06	1.358229663093e-06	2.911030315009e-07	6.775952731344e-09	1.838773550921e-06	9.556428841487e-07	6.686805801824e-08	1.487073243267e-06	4.186689078085e-07	7.987017400706e-07
1.914303317860e+02	1.972776317969e-06	9.356002183834e-07	1.954322743529e-07	2.672344561815e-08	2.506338629646e-09	1.560370098203e-10	5.635068647109e-12	8.909871762510e-14	3.359732604874e-16	5.129960586701e-20	2.352134886696e-06	1.434127314532e-06	4.451448139166e-07	8.649396234009e-08	1.085670799133e-08	7.954216302373e-10	2.630113884116e-11	2.212245256902e-13	8.737676078545e-17	2.145291748095e-06	1.425685620365e-06	5.392586221880e-07	1.232841034447e-07	1.597669905165e-08	9.486902034410e-10	1.535658152047e-11	1.381179851398e-14	1.911853558913e-06	1.369280171820e-06	5.611935776636e-07	1.260105263405e-07	1.295032792711e-08	3.823799038723e-10	7.423487203018e-13	1.799398981197e-06	1.316568775032e-06	5.192251390569e-07	9.394373830701e-08	5.088496181523e-09	2.121600587058e-11	1.719914564811e-06	1.220487463250e-06	4.056888808626e-07	4.236636994353e-08	3.979605165189e-10	1.611140987701e-06	1.045525851056e-06	2.293487698895e-07	5.394787587039e-09	1.442718314677e-06	7.588876720368e-07	5.316343746826e-08	1.183117682389e-06	3.307312304896e-07	6.192734566617e-07
