# ells	P1-E1	P1-E2	P1-E3	P1-E4	P1-E5	P1-E6	P1-E7	P1-E8	P1-E9	P1-E10	P2-E1	P2-E2	P2-E3	P2-E4	P2-E5	P2-E6	P2-E7	P2-E8	P2-E9	P2-E10	P3-E1	P3-E2	P3-E3	P3-E4	P3-E5	P3-E6	P3-E7	P3-E8	P3-E9	P3-E10	P4-E1	P4-E2	P4-E3	P4-E4	P4-E5	P4-E6	P4-E7	P4-E8	P4-E9	P4-E10	P5-E1	P5-E2	P5-E3	P5-E4	P5-E5	P5-E6	P5-E7	P5-E8	P5-E9	P5-E10	P6-E1	P6-E2	P6-E3	P6-E4	P6-E5	P6-E6	P6-E7	P6-E8	P6-E9	P6-E10	P7-E1	P7-E2	P7-E3	P7-E4	P7-E5	P7-E6	P7-E7	P7-E8	P7-E9	P7-E10	P8-E1	P8-E2	P8-E3	P8-E4	P8-E5	P8-E6	P8-E7	P8-E8	P8-E9	P8-E10	P9-E1	P9-E2	P9-E3	P9-E4	P9-E5	P9-E6	P9-E7	P9-E8	P9-E9	P9-E10	P10-E1	P10-E2	P10-E3	P10-E4	P10-E5	P10-E6	P10-E7	P10-E8	P10-E9	P10-E10
1.168084470542e+01	9.039906037001e-08	5.551095314160e-07	7.558061342481e-07	8.616605500533e-07	9.339503910979e-07	9.908893645809e-07	1.039606750985e-06	1.084405744312e-06	1.129756471188e-06	1.189339322364e-06	-4.001708670395e-08	-1.730519928726e-08	1.271173916566e-07	2.441457752541e-07	3.193042569707e-07	3.735848148529e-07	4.187841736175e-07	4.601769308049e-07	5.020665047859e-07	5.571015070393e-07	-6.914237704175e-09	-3.481141037046e-08	-1.349356143098e-08	6.326113787294e-08	1.396344424639e-07	1.957431529206e-07	2.387329070365e-07	2.767289359000e-07	3.149669894581e-07	3.651887208674e-07	-7.911633123017e-10	-1.089035408008e-08	-2.538100021930e-08	-9.958067895315e-09	3.995200822699e-08	9.547243107472e-08	1.400401524099e-07	1.765021945519e-07	2.119606040553e-07	2.583457212065e-07	-6.468845266060e-11	-1.949810255871e-09	-1.020047213123e-08	-1.882999994782e-08	-7.483617954988e-09	2.914085279075e-08	7.301489961459e-08	1.105573766109e-07	1.443668253872e-07	1.875169075946e-07	-3.511304523911e-12	-2.165485389066e-10	-2.163195971935e-09	-8.274219623212e-09	-1.421981778147e-08	-5.667364040140e-09	2.374854251600e-08	6.109192564991e-08	9.524229462335e-08	1.357668823853e-07	-1.080552238786e-13	-1.364862422139e-11	-2.474973493081e-10	-1.737928142279e-09	-6.108666837951e-09	-1.074597690112e-08	-4.218299606548e-09	2.152599168628e-08	5.610388008138e-08	9.531053002981e-08	-1.418779493515e-15	-3.815977101993e-13	-1.269978539350e-11	-1.596964087740e-10	-1.051066951779e-09	-3.959155739649e-09	-7.853631748255e-09	-2.873212399788e-09	2.225218715988e-08	6.150537133358e-08	-4.359953601566e-18	-2.683738319450e-15	-1.756282886339e-13	-4.129735185112e-12	-5.165852249002e-11	-3.985837594014e-10	-1.929393336953e-09	-5.057050076327e-09	-1.193188307107e-09	3.022834396778e-08	-5.258434426658e-22	-8.629893796041e-19	-1.319030056613e-16	-6.858264207021e-15	-1.892488056011e-13	-3.408259044539e-12	-4.378768116582e-11	-3.957832934489e-10	-1.975692970168e-09	3.853891826243e-09
1.593759367225e+01	5.798731555756e-08	4.996367928659e-07	7.031347884646e-07	8.100756691257e-07	8.827564406786e-07	9.399366394074e-07	9.888530740883e-07	1.033834605787e-06	1.079370100511e-06	1.139195703376e-06	-4.346078048117e-08	-2.178437544407e-08	1.364644367635e-07	2.668823675359e-07	3.508740007105e-07	4.114135876633e-07	4.617667448460e-07	5.078685871858e-07	5.545227976718e-07	6.158175915551e-07	-7.722862485849e-09	-3.963805047677e-08	-1.648256230865e-08	7.079718991847e-08	1.585837923401e-07	2.232710125306e-07	2.727828686769e-07	3.165003844893e-07	3.604869989176e-07	4.182580142745e-07	-9.013448316313e-10	-1.254648168319e-08	-2.960603321014e-08	-1.217879162147e-08	4.582449282853e-08	1.108683062020e-07	1.632155540850e-07	2.060111288009e-07	2.475970639001e-07	3.019912419683e-07	-7.480329643839e-11	-2.272750255060e-09	-1.197895551835e-08	-2.231490454367e-08	-9.196748564232e-09	3.403784211157e-08	8.616524066008e-08	1.308597141047e-07	1.710803985288e-07	2.223880362793e-07	-4.109760639796e-12	-2.550515097373e-10	-2.561441333974e-09	-9.852239684715e-09	-1.705308331429e-08	-7.003221443992e-09	2.816044802628e-08	7.303942703546e-08	1.141343200047e-07	1.628622169480e-07	-1.278172384801e-13	-1.622727708862e-11	-2.954668531899e-10	-2.083124844337e-09	-7.354402257316e-09	-1.301292178411e-08	-5.243496661825e-09	2.586677914003e-08	6.783710195536e-08	1.154435797991e-07	-1.695063403521e-15	-4.577464516232e-13	-1.528345393647e-11	-1.927699144483e-10	-1.272797877731e-09	-4.811879408275e-09	-9.592170662262e-09	-3.599576507772e-09	2.707125297097e-08	7.514710132602e-08	-5.261937276132e-18	-3.248448531766e-15	-2.131090510723e-13	-5.022604717668e-12	-6.297493349106e-11	-4.871656418111e-10	-2.365570070760e-09	-6.227451414799e-09	-1.528431574821e-09	3.722945128842e-08	-6.421217423837e-22	-1.055691371359e-18	-1.616167427917e-16	-8.416372705564e-15	-2.326134431916e-13	-4.196460718280e-12	-5.402366605947e-11	-4.895959572580e-10	-2.454285102634e-09	4.770573649858e-09
2.174559276041e+01	3.099465503444e-08	4.130300102322e-07	6.024721077015e-07	7.018324246191e-07	7.689568794890e-07	8.216819847853e-07	8.667775538692e-07	9.082449011205e-07	9.502229076977e-07	1.005374597945e-06	-4.362653093614e-08	-2.606796343622e-08	1.347478129918e-07	2.705148547815e-07	3.583216280968e-07	4.214386555091e-07	4.738487848017e-07	5.218177004369e-07	5.703598630537e-07	6.341350025483e-07	-8.061421503747e-09	-4.249389004831e-08	-1.933383471136e-08	7.406446656737e-08	1.694411385894e-07	2.400223686345e-07	2.939708542933e-07	3.415400949203e-07	3.893876623378e-07	4.522282303400e-07	-9.671514956088e-10	-1.367295649285e-08	-3.281937395309e-08	-1.435493520161e-08	4.961940079637e-08	1.221621783607e-07	1.807543413485e-07	2.286086560914e-07	2.750615418151e-07	3.358112412620e-07	-8.194037776528e-11	-2.517158492041e-09	-1.340345834712e-08	-2.527832543103e-08	-1.091996196077e-08	3.779970734800e-08	9.705891287121e-08	1.480085440633e-07	1.938132830818e-07	2.522054717916e-07	-4.577516965144e-12	-2.865297871041e-10	-2.898517273950e-09	-1.123302404280e-08	-1.963013576833e-08	-8.379782619053e-09	3.192341509227e-08	8.373510041462e-08	1.312627361534e-07	1.875601511004e-07	-1.444361339571e-13	-1.846421223750e-11	-3.380622329970e-10	-2.396347197761e-09	-8.510492764232e-09	-1.517625051757e-08	-6.326258179882e-09	2.985513254847e-08	7.895972072192e-08	1.346878470613e-07	-1.941422472714e-15	-5.271205919120e-13	-1.767647700794e-11	-2.238644348756e-10	-1.484447432607e-09	-5.639548802425e-09	-1.131629964174e-08	-4.389415667156e-09	3.176870741843e-08	8.870124770825e-08	-6.109166850632e-18	-3.786352599786e-15	-2.492220800906e-13	-5.891907759664e-12	-7.410764808206e-11	-5.752962445587e-10	-2.805282635839e-09	-7.428585933023e-09	-1.918251687139e-09	4.441959156537e-08	-7.573538076810e-22	-1.248112613857e-18	-1.914895162458e-16	-9.993061377554e-15	-2.767837538255e-13	-5.004953523669e-12	-6.460858631724e-11	-5.876090344209e-10	-2.962219637517e-09	5.730602575976e-09
2.967015060279e+01	1.533107867083e-08	3.171696177041e-07	4.768285153237e-07	5.607781655157e-07	6.171380024998e-07	6.613216035750e-07	6.991009838479e-07	7.338399909287e-07	7.690067689391e-07	8.152097060301e-07	-3.934235653887e-08	-2.846233939750e-08	1.188351112372e-07	2.474366200281e-07	3.311638172300e-07	3.911342928832e-07	4.408139841370e-07	4.862610462437e-07	5.322490746916e-07	5.926684729527e-07	-7.654831657817e-09	-4.183866867452e-08	-2.130199121721e-08	7.043394167566e-08	1.661680827826e-07	2.374634311689e-07	2.918577135185e-07	3.397251868943e-07	3.878513240156e-07	4.510557467203e-07	-9.537945835648e-10	-1.377871976349e-08	-3.386694172014e-08	-1.604014249146e-08	4.951445310254e-08	1.250399168687e-07	1.863592800669e-07	2.363751915798e-07	2.848536607236e-07	3.482365678468e-07	-8.317345590262e-11	-2.594839582949e-09	-1.401635574190e-08	-2.689181844745e-08	-1.235827436930e-08	3.909436773010e-08	1.024618138015e-07	1.571590651211e-07	2.062666601786e-07	2.688104650067e-07	-4.756295791814e-12	-3.013324956635e-10	-3.079381276278e-09	-1.206005911946e-08	-2.135702571148e-08	-9.595316530969e-09	3.399258237576e-08	9.059779201328e-08	1.426538119653e-07	2.042272480733e-07	-1.531483801803e-13	-1.976816687051e-11	-3.647433260795e-10	-2.604992823096e-09	-9.327783766267e-09	-1.681295140279e-08	-7.329340954802e-09	3.260171297745e-08	8.724661636856e-08	1.493088277550e-07	-2.097631350562e-15	-5.738422897572e-13	-1.935980813499e-11	-2.465711068118e-10	-1.644699658674e-09	-6.290487888121e-09	-1.273634828863e-08	-5.159004012450e-09	3.549818027099e-08	9.990961703163e-08	-6.726443765278e-18	-4.191632028922e-15	-2.771599221357e-13	-6.580257780291e-12	-8.312340683918e-11	-6.483733122294e-10	-3.179732031484e-09	-8.487241333986e-09	-2.337857765120e-09	5.076577927651e-08	-8.521271394542e-22	-1.408865631933e-18	-2.167906238009e-16	-1.134576899295e-14	-3.151633784873e-13	-5.716864081760e-12	-7.407082281850e-11	-6.768928311294e-10	-3.438185766070e-09	6.608657976936e-09
4.048258635629e+01	7.267893556035e-09	2.344745445313e-07	3.578966772276e-07	4.232663018590e-07	4.669943232194e-07	5.012181343435e-07	5.304730441451e-07	5.573729310388e-07	5.846040301040e-07	6.203808854706e-07	-3.143631678951e-08	-2.649900228711e-08	9.272318187723e-08	2.008982722427e-07	2.720196702990e-07	3.227781492707e-07	3.647019723320e-07	4.030278858252e-07	4.418074253079e-07	4.927561394511e-07	-6.440635174606e-09	-3.670463555067e-08	-2.115115389261e-08	5.908894533408e-08	1.452963349604e-07	2.100911544200e-07	2.594218636740e-07	3.027155501556e-07	3.462152634036e-07	4.033410686764e-07	-8.392200085086e-10	-1.246195485399e-08	-3.159479591302e-08	-1.648994309001e-08	4.410019106829e-08	1.154812893376e-07	1.738790779666e-07	2.214333994291e-07	2.674279533944e-07	3.275412832368e-07	-7.594581761696e-11	-2.418930239341e-09	-1.332279243072e-08	-2.616754002004e-08	-1.301616254538e-08	3.655236974549e-08	9.869350337172e-08	1.526436183714e-07	2.009920249719e-07	2.624854552417e-07	-4.481627470003e-12	-2.886867426675e-10	-2.992003472584e-09	-1.189069435702e-08	-2.144931952602e-08	-1.030505742279e-08	3.310984073147e-08	9.031428577348e-08	1.431169237903e-07	2.054483716011e-07	-1.483936354796e-13	-1.941512039312e-11	-3.621315163871e-10	-2.613793954434e-09	-9.467893671175e-09	-1.732340372529e-08	-8.014206934206e-09	3.291206158214e-08	8.958612407239e-08	1.540257823011e-07	-2.086730737804e-15	-5.769471464813e-13	-1.963090357500e-11	-2.520209502861e-10	-1.695094014665e-09	-6.544809096418e-09	-1.341899043047e-08	-5.758199663684e-09	3.702397721454e-08	1.053966369008e-07	-6.871589673406e-18	-4.314996756267e-15	-2.871588041191e-13	-6.858539032590e-12	-8.716630309036e-11	-6.844851569610e-10	-3.383825544588e-09	-9.132672956887e-09	-2.735718298498e-09	5.465472170401e-08	-8.974648634235e-22	-1.490606851551e-18	-2.303190646962e-16	-1.210213510433e-14	-3.375428499711e-13	-6.149764235189e-12	-8.009090775436e-11	-7.367991169719e-10	-3.781894475997e-09	7.204031601478e-09
5.523530433110e+01	-5.054235181011e-10	1.687453200938e-07	2.615849138381e-07	3.107833308067e-07	3.437110708821e-07	3.694723791343e-07	3.914907765918e-07	4.117363992212e-07	4.322312860172e-07	4.591579478296e-07	-2.364599559459e-08	-2.009481724029e-08	6.917880682940e-08	1.515451200843e-07	2.061951955773e-07	2.451684431041e-07	2.772923946205e-07	3.066422116327e-07	3.363374682099e-07	3.753511151314e-07	-4.887865113998e-09	-2.850898457420e-08	-1.786821532790e-08	4.427197836253e-08	1.128718538211e-07	1.649889502264e-07	2.046205686990e-07	2.393039555292e-07	2.741262314358e-07	3.198537040146e-07	-6.542696713789e-10	-9.941879174492e-09	-2.596302095682e-08	-1.485299244275e-08	3.445402780589e-08	9.407205049465e-08	1.433330647402e-07	1.833893294785e-07	2.220306019996e-07	2.725089738193e-07	-6.113782502017e-11	-1.988860141100e-09	-1.118990184569e-08	-2.257993940314e-08	-1.225026983104e-08	3.001631469968e-08	8.423095274255e-08	1.316795728684e-07	1.741115785826e-07	2.279818308709e-07	-3.727549831036e-12	-2.447363961226e-10	-2.579593640839e-09	-1.043887728615e-08	-1.927454327743e-08	-1.003142603382e-08	2.857101734255e-08	8.044870411760e-08	1.285930078132e-07	1.852749248114e-07	-1.275023967234e-13	-1.696355813355e-11	-3.207949648494e-10	-2.347345575315e-09	-8.633018032108e-09	-1.611422241416e-08	-8.032236392320e-09	2.977177237235e-08	8.299842024628e-08	1.436260129190e-07	-1.853121140713e-15	-5.195065991476e-13	-1.787736704164e-11	-2.319735978174e-10	-1.577936902575e-09	-6.171636163984e-09	-1.287403756772e-08	-5.952097055360e-09	3.502735924114e-08	1.013403004491e-07	-6.320345620908e-18	-4.010266575424e-15	-2.692382124673e-13	-6.483667637316e-12	-8.309694629440e-11	-6.586421269426e-10	-3.292669216216e-09	-9.025388431368e-09	-3.009809633408e-09	5.406367421768e-08	-8.607272397897e-22	-1.438700637201e-18	-2.235876499673e-16	-1.181454725935e-14	-3.314082353555e-13	-6.075417605695e-12	-7.969841518046e-11	-7.401100721931e-10	-3.855470137138e-09	7.249489485227e-09
7.536422741615e+01	-4.999135304740e-09	1.107378186973e-07	1.795090924942e-07	2.156064139658e-07	2.396593437006e-07	2.584676408132e-07	2.745425201492e-07	2.893230924814e-07	3.042856396089e-07	3.239437836421e-07	-1.850595369416e-08	-1.529203415922e-08	5.439839681805e-08	1.174703703440e-07	1.591795732522e-07	1.889969633606e-07	2.135991836314e-07	2.360789442377e-07	2.588232028211e-07	2.887046067254e-07	-3.752752192872e-09	-2.145178463094e-08	-1.295656576573e-08	3.371336238190e-08	8.505863950132e-08	1.241914408320e-07	1.539980194109e-07	1.800719897758e-07	2.062428879778e-07	2.406085547167e-07	-4.919946154845e-10	-7.428302891173e-09	-1.940777254604e-08	-1.131790310799e-08	2.542910331413e-08	7.036422269538e-08	1.077535832761e-07	1.381658981663e-07	1.674576023682e-07	2.057080981431e-07	-4.566115449359e-11	-1.489885550236e-09	-8.443395337311e-09	-1.727366585618e-08	-9.854216469614e-09	2.223977402013e-08	6.413882186603e-08	1.010939082927e-07	1.341033008384e-07	1.759419955214e-07	-2.801654503995e-12	-1.855730577785e-10	-1.975681524335e-09	-8.097610737102e-09	-1.523238232891e-08	-8.453686553220e-09	2.177681877217e-08	6.320291823948e-08	1.018911343750e-07	1.473259689557e-07	-9.742216113760e-14	-1.311431305326e-11	-2.507166794341e-10	-1.856300160853e-09	-6.924163871730e-09	-1.318253128995e-08	-7.061794571165e-09	2.364672972729e-08	6.771565541108e-08	1.180424459730e-07	-1.451092669507e-15	-4.118042631863e-13	-1.432364989929e-11	-1.878540334487e-10	-1.292976783780e-09	-5.129047925934e-09	-1.091113288560e-08	-5.470891351715e-09	2.920816859317e-08	8.622106393211e-08	-5.113904226736e-18	-3.280185995125e-15	-2.223438568673e-13	-5.404167264593e-12	-6.993686506281e-11	-5.604924103629e-10	-2.840381893444e-09	-7.937549481357e-09	-2.993065302886e-09	4.763306432000e-08	-7.295271353363e-22	-1.228739363191e-18	-1.923116169877e-16	-1.023290158530e-14	-2.891101502380e-13	-5.341882689451e-12	-7.073464407968e-11	-6.650055750888e-10	-3.533151713357e-09	6.524276465427e-09
1.028285594298e+02	-4.029858729956e-09	6.768858924607e-08	1.124656664705e-07	1.364043749123e-07	1.522159819175e-07	1.645397565873e-07	1.750679926322e-07	1.847482381496e-07	1.945476546916e-07	2.074223568727e-07	-1.277570510460e-08	-1.361403859453e-08	3.631153752683e-08	8.393845539296e-08	1.154514872927e-07	1.378398378770e-07	1.562807412045e-07	1.731282349480e-07	1.901739187859e-07	2.125685383380e-07	-2.847775152678e-09	-1.693958789298e-08	-1.062141741419e-08	2.625780984744e-08	6.660296646217e-08	9.714703778064e-08	1.203987053702e-07	1.407637478153e-07	1.612117349290e-07	1.880631819586e-07	-3.874276507539e-10	-5.856931071642e-09	-1.513221115492e-08	-8.423447162406e-09	2.032671125294e-08	5.492456861897e-08	8.355796901382e-08	1.068797205058e-07	1.293734414846e-07	1.587523621232e-07	-3.589106550999e-11	-1.158887224975e-09	-6.485183474788e-09	-1.305853454534e-08	-7.139409260034e-09	1.724925498008e-08	4.877432372486e-08	7.654154860887e-08	1.013805774947e-07	1.328753426516e-07	-2.164510699048e-12	-1.417258651513e-10	-1.494735567034e-09	-6.074343428914e-09	-1.133584106603e-08	-6.190606902009e-09	1.635071410691e-08	4.721661045230e-08	7.609817913087e-08	1.100228307916e-07	-7.383252049601e-14	-9.858446301092e-12	-1.875081229401e-10	-1.383519462691e-09	-5.152017003226e-09	-9.819116694275e-09	-5.326445600086e-09	1.752076753040e-08	5.054371588757e-08	8.833889293434e-08	-1.084242548906e-15	-3.067693128138e-13	-1.066082382837e-11	-1.398880164468e-10	-9.647756763794e-10	-3.843324272798e-09	-8.245159643460e-09	-4.305583083663e-09	2.189540834975e-08	6.545284738547e-08	-3.807077157667e-18	-2.446295326300e-15	-1.662590177836e-13	-4.054852905714e-12	-5.270674605543e-11	-4.249272132787e-10	-2.171868407357e-09	-6.154537018192e-09	-2.537584603088e-09	3.703065142424e-08	-5.517510543475e-22	-9.334382617346e-19	-1.467533156219e-16	-7.846207143807e-15	-2.228483572875e-13	-4.142813193122e-12	-5.528161288428e-11	-5.253893825979e-10	-2.844511404096e-09	5.150544503509e-09
1.403014798522e+02	-3.582891664230e-09	4.075085343953e-08	6.891502956446e-08	8.385786093071e-08	9.376496745257e-08	1.014853147912e-07	1.080790048789e-07	1.141413826851e-07	1.202783815763e-07	1.283413136793e-07	-8.025155619505e-09	-8.009376026101e-09	2.240762721909e-08	5.205197978326e-08	7.218457294579e-08	8.648739236468e-08	9.820941772746e-08	1.089038287475e-07	1.197225882197e-07	1.339362116458e-07	-1.754336100056e-09	-1.089103516044e-08	-8.177670883644e-09	1.544390007079e-08	4.315708115659e-08	6.459891582215e-08	8.083334769029e-08	9.496895011970e-08	1.091453355364e-07	1.277598559970e-07	-2.521235108542e-10	-4.037765126172e-09	-1.116345308168e-08	-7.296972818492e-09	1.361459912760e-08	3.979374210727e-08	6.161371071372e-08	7.930407095750e-08	9.632499260754e-08	1.185506646047e-07	-2.529654507233e-11	-8.544083238139e-10	-4.957084431484e-09	-1.030803893979e-08	-6.014831381093e-09	1.306109268321e-08	3.792914673050e-08	5.978750502478e-08	7.930629979116e-08	1.040585652509e-07	-1.629937509521e-12	-1.095569614027e-10	-1.173866491039e-09	-4.816705027254e-09	-9.021201433595e-09	-4.896895037546e-09	1.304037071689e-08	3.740516509660e-08	6.010506658658e-08	8.679623518999e-08	-5.785949834978e-14	-7.799566929634e-12	-1.488036804066e-10	-1.097216346460e-09	-4.067633235625e-09	-7.675789844025e-09	-3.997735502817e-09	1.391760510815e-08	3.949080951751e-08	6.871264486821e-08	-8.609109794557e-16	-2.431659446908e-13	-8.417632685282e-12	-1.098686084366e-10	-7.525028358751e-10	-2.970655477071e-09	-6.292535752119e-09	-3.133994566562e-09	1.687465148343e-08	4.985885842919e-08	-2.991920357966e-18	-1.910240123361e-15	-1.290332384991e-13	-3.127956777764e-12	-4.040360983327e-11	-3.234983746011e-10	-1.640538823750e-09	-4.605234404502e-09	-1.824009054321e-09	2.772195374521e-08	-4.210670407468e-22	-7.090493067119e-19	-1.110232926982e-16	-5.913827712120e-15	-1.673791592717e-13	-3.101169826376e-12	-4.124597121078e-11	-3.908206430494e-10	-2.112933989819e-09	3.812318834370e-09
1.914303317860e+02	-2.431048924480e-09	2.297004687515e-08	3.975088027427e-08	4.877857613258e-08	5.471748137459e-08	5.933618297726e-08	6.328045698110e-08	6.690690290040e-08	7.057798544112e-08	7.540113912645e-08	-4.969771535777e-09	-5.763139221271e-09	1.376185649582e-08	3.312250731170e-08	4.604590766049e-08	5.520956899843e-08	6.273885637287e-08	6.961162419771e-08	7.656440256642e-08	8.569891167407e-08	-1.154313457050e-09	-7.128647972667e-09	-4.853544389813e-09	1.056533453154e-08	2.786780495706e-08	4.117852103172e-08	5.133109875399e-08	6.018859709776e-08	6.906931118220e-08	8.072953192796e-08	-1.633771658017e-10	-2.523466337309e-09	-6.719888940509e-09	-4.197996021000e-09	8.336387307532e-09	2.415886067741e-08	3.758077606504e-08	4.850667587845e-08	5.898341013738e-08	7.265062683110e-08	-1.559145737569e-11	-5.163062677874e-10	-2.987274451649e-09	-6.336926041012e-09	-4.081646270450e-09	7.458795590719e-09	2.325239295417e-08	3.745057273689e-08	5.008849380984e-08	6.604357112279e-08	-9.805079284699e-13	-6.650564030987e-11	-7.270486277595e-10	-3.079945476426e-09	-6.064873826075e-09	-3.852446405829e-09	7.945342286389e-09	2.481772320015e-08	4.074766441574e-08	5.935448483152e-08	-3.562663914068e-14	-4.945152426016e-12	-9.717511456625e-11	-7.400451382085e-10	-2.847810245005e-09	-5.635132842806e-09	-3.384739915697e-09	9.586098481231e-09	2.873122879279e-08	5.063471671744e-08	-5.651261464330e-16	-1.650771891186e-13	-5.877282096004e-12	-7.873444326525e-11	-5.534815194369e-10	-2.244544034702e-09	-4.898105052229e-09	-2.666176974014e-09	1.286093223145e-08	3.871864627364e-08	-2.140348014357e-18	-1.400113065547e-15	-9.638413665138e-14	-2.374016272099e-12	-3.110338546936e-11	-2.523102400151e-10	-1.294572852778e-09	-3.668489576685e-09	-1.479677676563e-09	2.200739756540e-08	-3.271012211817e-22	-5.551970214827e-19	-8.744506896515e-17	-4.678754953429e-15	-1.328619526057e-13	-2.467110994804e-12	-3.284102552618e-11	-3.106957043565e-10	-1.666898083051e-09	3.040615070902e-09
