# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
1.168084470542e+01	6.179620288231e-09	8.565291384931e-09	8.515998492412e-09	8.546152218594e-09	8.588835750497e-09	8.625877542113e-09	8.657904669465e-09	8.687376620618e-09	8.717212302430e-09	8.756411119499e-09	1.867823342517e-08	2.090085944693e-08	2.189545943733e-08	2.263059166701e-08	2.324377285153e-08	2.377645931397e-08	2.426738454439e-08	2.476443740183e-08	2.541748029245e-08	2.531747450927e-08	2.747875781876e-08	2.881251108360e-08	2.987166882428e-08	3.080425912850e-08	3.167071046187e-08	3.254918910950e-08	3.370345501371e-08	3.082670139770e-08	3.293251515449e-08	3.444811844743e-08	3.573988713428e-08	3.695015664671e-08	3.818363355119e-08	3.980540966839e-08	3.584955765795e-08	3.795565982785e-08	3.963506994566e-08	4.117558922930e-08	4.275617267262e-08	4.484010339318e-08	4.070464773337e-08	4.288914827327e-08	4.479344223957e-08	4.672486702946e-08	4.928521166037e-08	4.564856089780e-08	4.803456501324e-08	5.035692146621e-08	5.342752438777e-08	5.100484416801e-08	5.385740131673e-08	5.751503522432e-08	5.742530097637e-08	6.190761534852e-08	6.786453853994e-08
1.593759367225e+01	4.692815027262e-09	6.454808333673e-09	6.246380632399e-09	6.184120955032e-09	6.162775493006e-09	6.149357581027e-09	6.138215293310e-09	6.127990597025e-09	6.117640749982e-09	6.104042887063e-09	1.550981439747e-08	1.751144481751e-08	1.833530315065e-08	1.894922969529e-08	1.947025671948e-08	1.992525740854e-08	2.034492952011e-08	2.076986701414e-08	2.132816368708e-08	2.186243441895e-08	2.393663163976e-08	2.517458254067e-08	2.615656803418e-08	2.702734156398e-08	2.783857114989e-08	2.866141434843e-08	2.974260584912e-08	2.732705585858e-08	2.942066180460e-08	3.089879231489e-08	3.215675716785e-08	3.334010622018e-08	3.454799488634e-08	3.613640678922e-08	3.243309254170e-08	3.457909930589e-08	3.626871443673e-08	3.781746813171e-08	3.941066599779e-08	4.151273869382e-08	3.746436507121e-08	3.973367777511e-08	4.169432760804e-08	4.368333110352e-08	4.632427695570e-08	4.267218541127e-08	4.519210032592e-08	4.762961507541e-08	5.085570842852e-08	4.839929703933e-08	5.145825427798e-08	5.536627803693e-08	5.536679104375e-08	6.024949193232e-08	6.689985002026e-08
2.174559276041e+01	3.415057190674e-09	4.620751614098e-09	4.308337515880e-09	4.180437893190e-09	4.112695522080e-09	4.062643835672e-09	4.020158858152e-09	3.981112993960e-09	3.941587050613e-09	3.889656953282e-09	1.209736724983e-08	1.373788600866e-08	1.433037027257e-08	1.477735555509e-08	1.516822370272e-08	1.551265266024e-08	1.583079180962e-08	1.615295897679e-08	1.657623414376e-08	1.770339324128e-08	1.953603795775e-08	2.057846890600e-08	2.140349308490e-08	2.214301753945e-08	2.283489002077e-08	2.353714008682e-08	2.445991260374e-08	2.273490654925e-08	2.466518230361e-08	2.599167143819e-08	2.711787731766e-08	2.818353457408e-08	2.927376831772e-08	3.070783985355e-08	2.757662365355e-08	2.961532705308e-08	3.119235760961e-08	3.263624622004e-08	3.412714929654e-08	3.609630921808e-08	3.245968785305e-08	3.466711582932e-08	3.655095560773e-08	3.846249388373e-08	4.100640560605e-08	3.761577921771e-08	4.011716304762e-08	4.251621888115e-08	4.569576751938e-08	4.339050333086e-08	4.648444342975e-08	5.041753945414e-08	5.054484453760e-08	5.557982159749e-08	6.265055622613e-08
2.967015060279e+01	2.373505575863e-09	3.190331948268e-09	2.862848620752e-09	2.715466015722e-09	2.632081815493e-09	2.569516534315e-09	2.516318595497e-09	2.467421702535e-09	2.417923432877e-09	2.352891465121e-09	8.961457425414e-09	1.019465649837e-08	1.056239758621e-08	1.084417383585e-08	1.110330520425e-08	1.133513177657e-08	1.154978636441e-08	1.176720191565e-08	1.205285231841e-08	1.350732530851e-08	1.498889554393e-08	1.577772714639e-08	1.639907443832e-08	1.696507234993e-08	1.749803109132e-08	1.803955350404e-08	1.875117161336e-08	1.776988623831e-08	1.940378254651e-08	2.048581876772e-08	2.140079803504e-08	2.227399627538e-08	2.317035703028e-08	2.434988557413e-08	2.200711001079e-08	2.379219023426e-08	2.513995874031e-08	2.637159332885e-08	2.765018443140e-08	2.934151275425e-08	2.639553883900e-08	2.838215648682e-08	3.004905976765e-08	3.174083455424e-08	3.399965389217e-08	3.113832693956e-08	3.344404996461e-08	3.562961277326e-08	3.853167132078e-08	3.656642961516e-08	3.948305221473e-08	4.316540819195e-08	4.343970246866e-08	4.829839835896e-08	5.538418307557e-08
4.048258635629e+01	1.549171157333e-09	2.087905960537e-09	1.809460051905e-09	1.677775237292e-09	1.601637116356e-09	1.544349114090e-09	1.495635489587e-09	1.450860983935e-09	1.405535849590e-09	1.345986645893e-09	6.372569665159e-09	7.264628418737e-09	7.482255860490e-09	7.649923982906e-09	7.814104898112e-09	7.963835975013e-09	8.102925176338e-09	8.243842260624e-09	8.428987190603e-09	9.823171337351e-09	1.093702117590e-08	1.148770300567e-08	1.191748447405e-08	1.231691516772e-08	1.269623303192e-08	1.308220166445e-08	1.358945162285e-08	1.315972403329e-08	1.443318309150e-08	1.523993980313e-08	1.591774102949e-08	1.657176100359e-08	1.724621513823e-08	1.813423660731e-08	1.657297965534e-08	1.800813398481e-08	1.905923954826e-08	2.001678254276e-08	2.101798661169e-08	2.234520050222e-08	2.020092664353e-08	2.184253452460e-08	2.319002196068e-08	2.455762447738e-08	2.639179486623e-08	2.421763325196e-08	2.617170216413e-08	2.799526808757e-08	3.042263796043e-08	2.892395911773e-08	3.145739056551e-08	3.462652116241e-08	3.503093878755e-08	3.936474411313e-08	4.597599761586e-08
5.523530433110e+01	9.661491198147e-10	1.252861381260e-09	1.020364054228e-09	9.071387504277e-10	8.396028765671e-10	7.884151043264e-10	7.448558625013e-10	7.048173794177e-10	6.642864770222e-10	6.110360456933e-10	4.312641321196e-09	4.959613848040e-09	5.101140185939e-09	5.208764596519e-09	5.318238776729e-09	5.419394775387e-09	5.513593503997e-09	5.609052433452e-09	5.734472890480e-09	6.863271693715e-09	7.678649461427e-09	8.063226936891e-09	8.359813591412e-09	8.639301288515e-09	8.906540131275e-09	9.178815345458e-09	9.536678176381e-09	9.349455605907e-09	1.029265622389e-08	1.086935039949e-08	1.134994130791e-08	1.181812761468e-08	1.230310578238e-08	1.294203371381e-08	1.192901303418e-08	1.300917323130e-08	1.377805275743e-08	1.447542793091e-08	1.520993612301e-08	1.618589910229e-08	1.471756339747e-08	1.597586632428e-08	1.698523677928e-08	1.800904956429e-08	1.938911796096e-08	1.786270973293e-08	1.939029413119e-08	2.079079707009e-08	2.266003561257e-08	2.162302714050e-08	2.364642271768e-08	2.614941915664e-08	2.661581292290e-08	3.016565924445e-08	3.584816278881e-08
7.536422741615e+01	5.909889833429e-10	7.211896572381e-10	5.209847842054e-10	4.222982594207e-10	3.621465743853e-10	3.162151198606e-10	2.770862820301e-10	2.411171601395e-10	2.047055591901e-10	1.568671594005e-10	2.726499909848e-09	3.148037318497e-09	3.215732571896e-09	3.269539818624e-09	3.330157199370e-09	3.387584704425e-09	3.441282218085e-09	3.495718208461e-09	3.567240869597e-09	4.535054642974e-09	5.118557972913e-09	5.386003978394e-09	5.590992602716e-09	5.785414803490e-09	5.971961739632e-09	6.162164095042e-09	6.412169422609e-09	6.347684737993e-09	7.035221091101e-09	7.449827037010e-09	7.793506165297e-09	8.129417909004e-09	8.478113429898e-09	8.937653077320e-09	8.242836510572e-09	9.035027432721e-09	9.591601711505e-09	1.009452219609e-08	1.062609288824e-08	1.133341183758e-08	1.030369387660e-08	1.123158070744e-08	1.196589267965e-08	1.270968376825e-08	1.371565134065e-08	1.264576116950e-08	1.378052538873e-08	1.480749106249e-08	1.618040581452e-08	1.547450201697e-08	1.699306675429e-08	1.885344519071e-08	1.928330021808e-08	2.198820815548e-08	2.648952918192e-08
1.028285594298e+02	3.387372814433e-10	4.101843349733e-10	2.720762659214e-10	2.007939390557e-10	1.575418348646e-10	1.246437818053e-10	9.663327775158e-11	7.088554094532e-11	4.482109008121e-11	1.057701510891e-11	1.661318076443e-09	1.898708761395e-09	1.901007849628e-09	1.906773356084e-09	1.925622742599e-09	1.946089785982e-09	1.965590650251e-09	1.985389691751e-09	2.011404653376e-09	2.807218380248e-09	3.174681072734e-09	3.322136370283e-09	3.434495043050e-09	3.545508052389e-09	3.653496125931e-09	3.763830772525e-09	3.908875121692e-09	4.033093585384e-09	4.500445495502e-09	4.771228585234e-09	4.995062679176e-09	5.215933361701e-09	5.445972074515e-09	5.749255624494e-09	5.366963311144e-09	5.926566708819e-09	6.314046017296e-09	6.663771665725e-09	7.034474059485e-09	7.528162468540e-09	6.847560861574e-09	7.515971249144e-09	8.041534708507e-09	8.573554676685e-09	9.293973330174e-09	8.549397921455e-09	9.375241542722e-09	1.011930501290e-08	1.111418574988e-08	1.061970721214e-08	1.173136276911e-08	1.308791385757e-08	1.342460981115e-08	1.541460357935e-08	1.878212889291e-08
1.403014798522e+02	1.906144611361e-10	2.161732271888e-10	1.249438917383e-10	7.805073003968e-11	4.910320711202e-11	2.703142851498e-11	8.242828682646e-12	-9.027060468657e-12	-2.650932922185e-11	-4.947793480293e-11	9.630760323097e-10	1.112815788241e-09	1.111675965639e-09	1.110507585790e-09	1.118708251871e-09	1.128847385870e-09	1.138693462264e-09	1.148706676459e-09	1.161864262896e-09	1.682572941375e-09	1.904856649741e-09	1.981340409282e-09	2.036618214537e-09	2.094839665498e-09	2.152988977281e-09	2.212661853346e-09	2.291127944668e-09	2.440980649931e-09	2.723386432395e-09	2.871817069873e-09	2.992287881081e-09	3.114981920604e-09	3.244318197883e-09	3.415071973239e-09	3.284272572472e-09	3.635596659885e-09	3.865050443996e-09	4.071197529495e-09	4.293192494759e-09	4.590059470419e-09	4.255086803851e-09	4.693031889431e-09	5.026232896201e-09	5.364037430037e-09	5.824538166484e-09	5.409087102050e-09	5.970337417513e-09	6.467797295873e-09	7.134964519323e-09	6.851684199192e-09	7.629410201013e-09	8.572685022356e-09	8.848468160569e-09	1.027224368246e-08	1.273083458862e-08
1.914303317860e+02	1.027620634894e-10	1.129882914392e-10	5.625696034440e-11	2.619121215963e-11	7.735424626998e-12	-6.315801553952e-12	-1.827885318995e-11	-2.927523072606e-11	-4.040684636776e-11	-5.503181816386e-11	5.406877616463e-10	6.184223756271e-10	6.067070428157e-10	5.994126169812e-10	5.995588501626e-10	6.015645794498e-10	6.037227371331e-10	6.059363536031e-10	6.088460019634e-10	9.568728347170e-10	1.088010537221e-09	1.131821877591e-09	1.163409886827e-09	1.196785540001e-09	1.230259711523e-09	1.264666797295e-09	1.309917862475e-09	1.422308179325e-09	1.598364406571e-09	1.690853924334e-09	1.764685989343e-09	1.839666258716e-09	1.918952982992e-09	2.023712201919e-09	1.946594797022e-09	2.163382421676e-09	2.301943349367e-09	2.424685720592e-09	2.557825348995e-09	2.736541867463e-09	2.545473381498e-09	2.812508761804e-09	3.008915845206e-09	3.207136274289e-09	3.479987296077e-09	3.259118820008e-09	3.602737239002e-09	3.897388942688e-09	4.294699601898e-09	4.166405937626e-09	4.652462359552e-09	5.229896417031e-09	5.458847811532e-09	6.380727028152e-09	8.078767405181e-09
