# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
1.168084470542e+01	3.088592929833e-05	7.878616403983e-06	1.189164528665e-06	1.308272994461e-07	1.050240151398e-08	5.641132903490e-10	1.724567567222e-11	2.256481052615e-13	6.904612904226e-16	8.316632581274e-20	1.509348617426e-05	7.388623208630e-06	1.958670161859e-06	3.309823715392e-07	3.574807867186e-08	2.217368590140e-09	6.137141467920e-11	4.278418405228e-13	1.369991470657e-16	9.640023336515e-06	5.668371838218e-06	1.883582934546e-06	3.723515435912e-07	4.117010738350e-08	2.070872150437e-09	2.823920206613e-11	2.101916886036e-14	6.815125880643e-06	4.319192162981e-06	1.546482684523e-06	3.004872820449e-07	2.656861279867e-08	6.715747593133e-10	1.098019622412e-12	5.070994039379e-06	3.286953769773e-06	1.141255894633e-06	1.809198077131e-07	8.539609740453e-09	3.049966066295e-11	3.867782699231e-06	2.461098262442e-06	7.304680891150e-07	6.773765843624e-08	5.550232988656e-10	2.967623190253e-06	1.751254985617e-06	3.473526027301e-07	7.266443049138e-09	2.234966580764e-06	1.079545561105e-06	6.854810802771e-08	1.561876650428e-06	4.008701637688e-07	6.754834067917e-07
1.593759367225e+01	2.989389272029e-05	8.466046480024e-06	1.318561460541e-06	1.477915279726e-07	1.203760814837e-08	6.550373217068e-10	2.028131568058e-11	2.684754851522e-13	8.300908767584e-16	1.011674938658e-19	1.665799602290e-05	8.309086839986e-06	2.234555521526e-06	3.824525894129e-07	4.181308670714e-08	2.623507016194e-09	7.332679631187e-11	5.158705788608e-13	1.669461549665e-16	1.097617233193e-05	6.527873825454e-06	2.193058441544e-06	4.382351761318e-07	4.893291483255e-08	2.482358498453e-09	3.413318363263e-11	2.565486133527e-14	7.922071146283e-06	5.068046664074e-06	1.830973488838e-06	3.586166229455e-07	3.194326478951e-08	8.135948324159e-10	1.342267625734e-12	5.995709909558e-06	3.913535162621e-06	1.367562430735e-06	2.181853038378e-07	1.036935918506e-08	3.734307712845e-11	4.629608871322e-06	2.961442176192e-06	8.838421469941e-07	8.245867458919e-08	6.807184689353e-10	3.586703908632e-06	2.126698264810e-06	4.240674456988e-07	8.929822744120e-09	2.725247731957e-06	1.322540951291e-06	8.445282223168e-08	1.921618129203e-06	4.956546956365e-07	8.400573367284e-07
2.174559276041e+01	2.644906910507e-05	8.409398792716e-06	1.370075831587e-06	1.580239733451e-07	1.314340106612e-08	7.268312886805e-10	2.279152582950e-11	3.053665247030e-13	9.570370388578e-16	1.187278028766e-19	1.718901024252e-05	8.823038709850e-06	2.424056315414e-06	4.219310452464e-07	4.674451559500e-08	2.965809827613e-09	8.384199685437e-11	5.971902260518e-13	1.965279429700e-16	1.187363948313e-05	7.171799464206e-06	2.440319149848e-06	4.928595742986e-07	5.559332698892e-08	2.850617219110e-09	3.965381608740e-11	3.028564154892e-14	8.800210711503e-06	5.683296151081e-06	2.071365605718e-06	4.094587136604e-07	3.683180790321e-08	9.484495352207e-10	1.588751573314e-12	6.773330397879e-06	4.455246008851e-06	1.569728519926e-06	2.526526182931e-07	1.213285280489e-08	4.431368676331e-11	5.306126874314e-06	3.418592871269e-06	1.028398238196e-06	9.689425801944e-08	8.098877837577e-10	4.166338261508e-06	2.488797327577e-06	5.008140155768e-07	1.065469645027e-08	3.211726493458e-06	1.570758966861e-06	1.011153764083e-07	2.296405370167e-06	5.963084877223e-07	1.018503342009e-06
2.967015060279e+01	2.130823005441e-05	7.507574138274e-06	1.295886511548e-06	1.554013500420e-07	1.330929824413e-08	7.535890489570e-10	2.411793105866e-11	3.293171068252e-13	1.051826578925e-15	1.331316978842e-19	1.610979620205e-05	8.594411729921e-06	2.432385930947e-06	4.337233697755e-07	4.904570880711e-08	3.168732882240e-09	9.110033174218e-11	6.598703006974e-13	2.209352553501e-16	1.186751622354e-05	7.327399053685e-06	2.541480730217e-06	5.222042779706e-07	5.985021346965e-08	3.116024570774e-09	4.400805725871e-11	3.412582957401e-14	9.140473715955e-06	5.993122868329e-06	2.215566709760e-06	4.440064627661e-07	4.048420688889e-08	1.056685820306e-09	1.794366471963e-12	7.228838549797e-06	4.810793998307e-06	1.714806760841e-06	2.792626544286e-07	1.356749097771e-08	5.017363807760e-11	5.784672711174e-06	3.763391096298e-06	1.143345316282e-06	1.087635001943e-07	9.196021432106e-10	4.623085753709e-06	2.783492851771e-06	5.645560423307e-07	1.214030800630e-08	3.613970116374e-06	1.780275724495e-06	1.157402315401e-07	2.622065452608e-06	6.870169496570e-07	1.186480195459e-06
4.048258635629e+01	1.615774552517e-05	5.957275092449e-06	1.087326607493e-06	1.365326786683e-07	1.213749327772e-08	7.090930424597e-10	2.333444532815e-11	3.271275801948e-13	1.073048010195e-15	1.400451409972e-19	1.338416358299e-05	7.463530045033e-06	2.192338188889e-06	4.034719752716e-07	4.690332946868e-08	3.107002436879e-09	9.145522811916e-11	6.783700855502e-13	2.334669365458e-16	1.064212138287e-05	6.761282562488e-06	2.406012322877e-06	5.061485657434e-07	5.931055099927e-08	3.154694010194e-09	4.553360161061e-11	3.621054891839e-14	8.621837416206e-06	5.770885908135e-06	2.175807336272e-06	4.444777321684e-07	4.130859957651e-08	1.099831889791e-09	1.911607602780e-12	7.077222828077e-06	4.787431561826e-06	1.734564312508e-06	2.872410644160e-07	1.420620019142e-08	5.366912535680e-11	5.834447025830e-06	3.848429365904e-06	1.186189621472e-06	1.146270758473e-07	9.879761816503e-10	4.782310664043e-06	2.915271802897e-06	5.994503315639e-07	1.310932936492e-08	3.825317645014e-06	1.907184901536e-06	1.257815827794e-07	2.839680690091e-06	7.533824918632e-07	1.319379059367e-06
5.523530433110e+01	1.213775702305e-05	4.479809102474e-06	8.234228677145e-07	1.062951671288e-07	9.764227322665e-09	5.897197091745e-10	2.005468501013e-11	2.905654842704e-13	9.867197376676e-16	1.342099229866e-19	1.010138962117e-05	5.762362058160e-06	1.744316570868e-06	3.313747497549e-07	3.975277789057e-08	2.714910466453e-09	8.234560182990e-11	6.301995377548e-13	2.251419270737e-16	8.427953957209e-06	5.505199699670e-06	2.015197080360e-06	4.360064974917e-07	5.252529873038e-08	2.871951702738e-09	4.266698332336e-11	3.511924095527e-14	7.191058797773e-06	4.931510683965e-06	1.904992510948e-06	3.987602735651e-07	3.799626732354e-08	1.038903599856e-09	1.864332152518e-12	6.172375678178e-06	4.262373133892e-06	1.577297597865e-06	2.670390463704e-07	1.352886265044e-08	5.263924184751e-11	5.285435824374e-06	3.550077898596e-06	1.115600806897e-06	1.101390965617e-07	9.749691285180e-10	4.479989632703e-06	2.777240021392e-06	5.819516513029e-07	1.302931038466e-08	3.697533552102e-06	1.874598224724e-06	1.261462675238e-07	2.834096584540e-06	7.652405194836e-07	1.367916702455e-06
7.536422741615e+01	8.618595884475e-06	3.484917831715e-06	6.316916188995e-07	7.982342882607e-08	7.281535383360e-09	4.427798276576e-10	1.531671360445e-11	2.275352090025e-13	7.988281743379e-16	1.138962165593e-19	7.785782798525e-06	4.347827240490e-06	1.301992205664e-06	2.478990119283e-07	3.011688005149e-08	2.098146013892e-09	6.528311890078e-11	5.158447522940e-13	1.925273778936e-16	6.295054681968e-06	4.110787955068e-06	1.517891383901e-06	3.335792303467e-07	4.103443861976e-08	2.301500457344e-09	3.526447394564e-11	3.024392080110e-14	5.406511764649e-06	3.753682338429e-06	1.474530258354e-06	3.151048042129e-07	3.077408802103e-08	8.666684583496e-10	1.616655212399e-12	4.763406219315e-06	3.345046503650e-06	1.262580314172e-06	2.187786187940e-07	1.139519968799e-08	4.597090691845e-11	4.215025941657e-06	2.884019500839e-06	9.259768869418e-07	9.377299457460e-08	8.580553338642e-10	3.701691094625e-06	2.340213595570e-06	5.018001635045e-07	1.157125751014e-08	3.171184178209e-06	1.641620023849e-06	1.133360601531e-07	2.530515575654e-06	6.990600120178e-07	1.284506336090e-06
1.028285594298e+02	5.622812773195e-06	2.401495663670e-06	4.768325792951e-07	6.265579732363e-08	5.715539222528e-09	3.416800577204e-10	1.159595788398e-11	1.698513328603e-13	5.942623411046e-16	8.615423793324e-20	5.795514476066e-06	3.391768099766e-06	1.024580548024e-06	1.926695215431e-07	2.298046276659e-08	1.575875254917e-09	4.858794546855e-11	3.845013575787e-13	1.462914317451e-16	4.956816389235e-06	3.209634540217e-06	1.166361819368e-06	2.522730684590e-07	3.066592271765e-08	1.711540859366e-09	2.635970070459e-11	2.308602964702e-14	4.164885273927e-06	2.850910821001e-06	1.106623059516e-06	2.347015387075e-07	2.289964022589e-08	6.501311664579e-10	1.240033324932e-12	3.580771329804e-06	2.495773530226e-06	9.389844007633e-07	1.631382619723e-07	8.586504946591e-09	3.544948670631e-11	3.135209042517e-06	2.146822527028e-06	6.932669980835e-07	7.107753420879e-08	6.657622877711e-10	2.766888969617e-06	1.763769066587e-06	3.834368313531e-07	9.047565489998e-09	2.414509811963e-06	1.268801755991e-06	8.955946691015e-08	1.988429563695e-06	5.616028701634e-07	1.064160505763e-06
1.403014798522e+02	3.694610000769e-06	1.549049526649e-06	3.006468421690e-07	4.126450553435e-08	4.036945583800e-09	2.565826366691e-10	9.053712837212e-12	1.346179170598e-13	4.666025973744e-16	6.569729823161e-20	3.652418047967e-06	2.198192278166e-06	7.067623389723e-07	1.416331846217e-07	1.769019999341e-08	1.243055258680e-09	3.846896358073e-11	2.999588949837e-13	1.110566280129e-16	3.384875764147e-06	2.321949872138e-06	8.845044985031e-07	1.972081032472e-07	2.428357743142e-08	1.350228043418e-09	2.043818367499e-11	1.745700961870e-14	3.139829611733e-06	2.213595742722e-06	8.735240669565e-07	1.858819003162e-07	1.797284039646e-08	5.010913373720e-10	9.342947649710e-13	2.821835434463e-06	1.977571003506e-06	7.410761236528e-07	1.271886089893e-07	6.578054054056e-09	2.661830531673e-11	2.477900445094e-06	1.682182557295e-06	5.360634824012e-07	5.409880109232e-08	4.982643559531e-10	2.145686341332e-06	1.350855803640e-06	2.897724222516e-07	6.749635492128e-09	1.830040944610e-06	9.516673296936e-07	6.662231998777e-08	1.481441619339e-06	4.172731257111e-07	7.965396786655e-07
1.914303317860e+02	2.382141852501e-06	1.004605773401e-06	2.019259836620e-07	2.715948177374e-08	2.539305190899e-09	1.580510587988e-10	5.680725625063e-12	8.908871590031e-14	3.340116163687e-16	5.086170642674e-20	2.443852237500e-06	1.461657565848e-06	4.511326425735e-07	8.762995097567e-08	1.097310284415e-08	7.985088544863e-10	2.622853660690e-11	2.196624668768e-13	8.665859544499e-17	2.174690731261e-06	1.444428128157e-06	5.458392428666e-07	1.242007375662e-07	1.598636190307e-08	9.444412948075e-10	1.523521967578e-11	1.370428932283e-14	1.935910985316e-06	1.381940113605e-06	5.630967396019e-07	1.257477585757e-07	1.287432758502e-08	3.791637055887e-10	7.369515474819e-13	1.807289278786e-06	1.315803567820e-06	5.169861341681e-07	9.327517434908e-08	5.044821339498e-09	2.107392367500e-11	1.713473841032e-06	1.212884408776e-06	4.023838944233e-07	4.201208960672e-08	3.955474830382e-10	1.598472677205e-06	1.036554711304e-06	2.275919355785e-07	5.365827140634e-09	1.431175227801e-06	7.539794654339e-07	5.291568311888e-08	1.177154413257e-06	3.293794119171e-07	6.172078652915e-07
2.611916279594e+02	1.566349973312e-06	6.436573356272e-07	1.265329572049e-07	1.702139822487e-08	1.649004149254e-09	1.066634377458e-10	3.852262652999e-12	5.819617318889e-14	2.061288489125e-16	3.107054277601e-20	1.537615702452e-06	9.127608525006e-07	2.888606780034e-07	5.838926652108e-08	7.457643977565e-09	5.335005683932e-10	1.673809602982e-11	1.340791557291e-13	5.329615773250e-17	1.384633926755e-06	9.526047495016e-07	3.696577161745e-07	8.400623978603e-08	1.048498462797e-08	5.916439371118e-10	9.252882757767e-12	8.497419373342e-15	1.308083909897e-06	9.383807097186e-07	3.752525432464e-07	8.074274196362e-08	7.946490605868e-09	2.300797960240e-10	4.614443743565e-13	1.210017573841e-06	8.558819240242e-07	3.244804402157e-07	5.693763532405e-08	3.069869586324e-09	1.335175884289e-11	1.082121804621e-06	7.458940352753e-07	2.442535289980e-07	2.575267912687e-08	2.542987211945e-10	9.711763173422e-07	6.308864479362e-07	1.414787859512e-07	3.516904361850e-09	8.837140848266e-07	4.804274485728e-07	3.564242934744e-08	7.816009371855e-07	2.312734460450e-07	4.608071520509e-07
