# ells	P1-E1	P1-E2	P1-E3	P1-E4	P1-E5	P1-E6	P1-E7	P1-E8	P1-E9	P1-E10	P2-E1	P2-E2	P2-E3	P2-E4	P2-E5	P2-E6	P2-E7	P2-E8	P2-E9	P2-E10	P3-E1	P3-E2	P3-E3	P3-E4	P3-E5	P3-E6	P3-E7	P3-E8	P3-E9	P3-E10	P4-E1	P4-E2	P4-E3	P4-E4	P4-E5	P4-E6	P4-E7	P4-E8	P4-E9	P4-E10	P5-E1	P5-E2	P5-E3	P5-E4	P5-E5	P5-E6	P5-E7	P5-E8	P5-E9	P5-E10	P6-E1	P6-E2	P6-E3	P6-E4	P6-E5	P6-E6	P6-E7	P6-E8	P6-E9	P6-E10	P7-E1	P7-E2	P7-E3	P7-E4	P7-E5	P7-E6	P7-E7	P7-E8	P7-E9	P7-E10	P8-E1	P8-E2	P8-E3	P8-E4	P8-E5	P8-E6	P8-E7	P8-E8	P8-E9	P8-E10	P9-E1	P9-E2	P9-E3	P9-E4	P9-E5	P9-E6	P9-E7	P9-E8	P9-E9	P9-E10	P10-E1	P10-E2	P10-E3	P10-E4	P10-E5	P10-E6	P10-E7	P10-E8	P10-E9	P10-E10
1.168084470542e+01	8.919458310015e-08	5.515970669723e-07	7.516767965321e-07	8.571919864911e-07	9.292393844633e-07	9.859856606765e-07	1.034538007154e-06	1.079185224600e-06	1.124382306018e-06	1.183763294155e-06	-3.998096875596e-08	-1.736899177323e-08	1.269699437800e-07	2.439630552262e-07	3.190971986083e-07	3.733583510697e-07	4.185410782810e-07	4.599185392367e-07	5.017926284325e-07	5.568072864092e-07	-6.913036281036e-09	-3.481263877508e-08	-1.349801463742e-08	6.325621982158e-08	1.396293870439e-07	1.957379100454e-07	2.387274693871e-07	2.767233059013e-07	3.149611625022e-07	3.651826350012e-07	-7.911636411106e-10	-1.089047651069e-08	-2.538124570605e-08	-9.958111852270e-09	3.995236345507e-08	9.547324421548e-08	1.400413600053e-07	1.765037188266e-07	2.119624352626e-07	2.583479538691e-07	-6.468910121843e-11	-1.949826823901e-09	-1.020055056251e-08	-1.883016177637e-08	-7.483724836130e-09	2.914108245922e-08	7.301554237201e-08	1.105583593667e-07	1.443681161258e-07	1.875185910802e-07	-3.511331950648e-12	-2.165502847172e-10	-2.163215478130e-09	-8.274301681432e-09	-1.421995562913e-08	-5.667402127500e-09	2.374877143287e-08	6.109249662241e-08	9.524317561575e-08	1.357681292073e-07	-1.080561787700e-13	-1.364875724106e-11	-2.474997621166e-10	-1.737944181918e-09	-6.108720133317e-09	-1.074607331999e-08	-4.218335882818e-09	2.152620484764e-08	5.610437410987e-08	9.531133524428e-08	-1.418793309988e-15	-3.816011651002e-13	-1.269989704896e-11	-1.596978331017e-10	-1.051076498538e-09	-3.959189511605e-09	-7.853681558965e-09	-2.873202141441e-09	2.225234961561e-08	6.150576553560e-08	-4.359992352669e-18	-2.683762916841e-15	-1.756298578537e-13	-4.129768867293e-12	-5.165888530563e-11	-3.985860809946e-10	-1.929403154750e-09	-5.057076845336e-09	-1.193200931445e-09	3.022851553555e-08	-5.258466572037e-22	-8.629940599973e-19	-1.319036799795e-16	-6.858299020509e-15	-1.892497931496e-13	-3.408277711800e-12	-4.378793675562e-11	-3.957858045891e-10	-1.975707088347e-09	3.853918218068e-09
1.593759367225e+01	5.702527260578e-08	4.957324410636e-07	6.982728943172e-07	8.047048972522e-07	8.770277832595e-07	9.339240373766e-07	9.825972947707e-07	1.027355193112e-06	1.072664299751e-06	1.132192468603e-06	-4.334889449907e-08	-2.185146190007e-08	1.360544467265e-07	2.662726282941e-07	3.501447565958e-07	4.105929427414e-07	4.608679317658e-07	5.068978872858e-07	5.534793252113e-07	6.146785088015e-07	-7.711896384327e-09	-3.960911569203e-08	-1.651182467393e-08	7.070477436606e-08	1.584576827859e-07	2.231211914660e-07	2.726128391038e-07	3.163117522617e-07	3.602795311178e-07	4.180257996775e-07	-9.007116721785e-10	-1.254275947517e-08	-2.960668011718e-08	-1.218722240535e-08	4.581215004062e-08	1.108536681253e-07	1.631990117256e-07	2.059927606826e-07	2.475768238515e-07	3.019685408053e-07	-7.478934771718e-11	-2.272648759144e-09	-1.197903288995e-08	-2.231539375631e-08	-9.197354816603e-09	3.403764732414e-08	8.616563240390e-08	1.308605383185e-07	1.710815993276e-07	2.223897234267e-07	-4.109718471912e-12	-2.550532106942e-10	-2.561470751296e-09	-9.852374077444e-09	-1.705331262686e-08	-7.003240378305e-09	2.816089171369e-08	7.304028186055e-08	1.141355483222e-07	1.628639097562e-07	-1.278186268414e-13	-1.622748945651e-11	-2.954707898184e-10	-2.083149742369e-09	-7.354467749137e-09	-1.301298350758e-08	-5.243471248083e-09	2.586698039187e-08	6.783757113149e-08	1.154443570692e-07	-1.695086103908e-15	-4.577517105999e-13	-1.528359240865e-11	-1.927712398120e-10	-1.272804810473e-09	-4.811905433502e-09	-9.592235039417e-09	-3.599612695032e-09	2.707142416494e-08	7.514758737354e-08	-5.261973370122e-18	-3.248466208879e-15	-2.131101761975e-13	-5.022633607109e-12	-6.297533699882e-11	-4.871689969049e-10	-2.365586284595e-09	-6.227491375561e-09	-1.528441906921e-09	3.722969720145e-08	-6.421261373173e-22	-1.055698740922e-18	-1.616178557042e-16	-8.416429155289e-15	-2.326149634471e-13	-4.196487619534e-12	-5.402401205584e-11	-4.895993300594e-10	-2.454307225386e-09	4.770612564960e-09
2.174559276041e+01	3.050362611755e-08	4.093228235249e-07	5.975684155319e-07	6.962973505306e-07	7.629837184602e-07	8.153622453864e-07	8.601610781487e-07	9.013555408687e-07	9.430573015530e-07	9.978460534315e-07	-4.344213664576e-08	-2.607913165920e-08	1.341116261243e-07	2.694388127886e-07	3.569786091099e-07	4.198987914840e-07	4.721424084507e-07	5.199583267580e-07	5.683456126165e-07	6.319172716450e-07	-8.035992999086e-09	-4.239202753973e-08	-1.934933687331e-08	7.382409885084e-08	1.690314184676e-07	2.394988748029e-07	2.933569455768e-07	3.408438068150e-07	3.886080803936e-07	4.513392211923e-07	-9.649119554943e-10	-1.365009622336e-08	-3.278720466140e-08	-1.437326520297e-08	4.952651457185e-08	1.220145911275e-07	1.805649889721e-07	2.283825111712e-07	2.747988970564e-07	3.355006942956e-07	-8.182123332461e-11	-2.514569184354e-09	-1.339467879421e-08	-2.527168043275e-08	-1.092696404317e-08	3.777500200813e-08	9.701176197632e-08	1.479428999681e-07	1.937312580834e-07	2.521020971891e-07	-4.573766133220e-12	-2.863805967751e-10	-2.897519555690e-09	-1.122981649860e-08	-1.962371781097e-08	-8.378051848741e-09	3.190961773265e-08	8.370880338167e-08	1.312265106994e-07	1.875110793344e-07	-1.443843938896e-13	-1.845867273427e-11	-3.379543261510e-10	-2.395561476398e-09	-8.508279931140e-09	-1.517501421274e-08	-6.329627178767e-09	2.984804076477e-08	7.894988486633e-08	1.346744463976e-07	-1.940783299689e-15	-5.269483294861e-13	-1.767190061697e-11	-2.238273525232e-10	-1.484338824688e-09	-5.639498251310e-09	-1.131653774146e-08	-4.389846212963e-09	3.176836889436e-08	8.870111135293e-08	-6.108127783934e-18	-3.786048590038e-15	-2.492141083306e-13	-5.891859610323e-12	-7.410785272928e-11	-5.753001858672e-10	-2.805304525389e-09	-7.428643972881e-09	-1.918277721621e-09	4.441994306498e-08	-7.573585147885e-22	-1.248121773490e-18	-1.914909739570e-16	-9.993137469812e-15	-2.767858537049e-13	-5.004991852510e-12	-6.460910055735e-11	-5.876142281208e-10	-2.962252908602e-09	5.730659846497e-09
2.967015060279e+01	1.549897353154e-08	3.143457179834e-07	4.727257391522e-07	5.560079891035e-07	6.119103983579e-07	6.557329766500e-07	6.932033448673e-07	7.276581846609e-07	7.625372952587e-07	8.083622881292e-07	-3.909786690030e-08	-2.840978406843e-08	1.180247556880e-07	2.459862488055e-07	3.293167803305e-07	3.889971156007e-07	4.384329953999e-07	4.836563510015e-07	5.294179509651e-07	5.895398634177e-07	-7.617051289851e-09	-4.167329808542e-08	-2.128791884248e-08	7.008486615666e-08	1.655027864936e-07	2.365744716758e-07	2.907947221530e-07	3.385063470265e-07	3.864752944804e-07	4.494732352195e-07	-9.501083556256e-10	-1.373494370707e-08	-3.378210800941e-08	-1.603232157304e-08	4.934572260368e-08	1.246982514091e-07	1.858814766812e-07	2.357841878373e-07	2.841517930734e-07	3.473894692126e-07	-8.292686109121e-11	-2.588219443661e-09	-1.398568351521e-08	-2.684340974081e-08	-1.234854059925e-08	3.900455677060e-08	1.022560125122e-07	1.568565106988e-07	2.058772329523e-07	2.683092961980e-07	-4.745127794688e-12	-3.007130815479e-10	-3.073644550635e-09	-1.203909085367e-08	-2.132217583112e-08	-9.585936455690e-09	3.392562871664e-08	9.044583479211e-08	1.424294738861e-07	2.039149259055e-07	-1.528592560432e-13	-1.973313797666e-11	-3.641199115089e-10	-2.600749748442e-09	-9.314037620957e-09	-1.679341271749e-08	-7.331880668083e-09	3.254933207171e-08	8.714422250087e-08	1.491505221752e-07	-2.094061479189e-15	-5.729182271670e-13	-1.933112526951e-11	-2.462459786406e-10	-1.642872753178e-09	-6.285185036847e-09	-1.273014206341e-08	-5.163895548512e-09	3.547255759868e-08	9.985766371163e-08	-6.717462633834e-18	-4.186836047351e-15	-2.768930666142e-13	-6.575066090028e-12	-8.307181469927e-11	-6.480772010834e-10	-3.178753541791e-09	-8.485395498450e-09	-2.337766272369e-09	5.075215619436e-08	-8.516946376491e-22	-1.408294968431e-18	-2.167194324454e-16	-1.134264499222e-14	-3.150852670099e-13	-5.715466488741e-12	-7.405181363341e-11	-6.767239633316e-10	-3.437766269866e-09	6.607346321538e-09
4.048258635629e+01	8.255162981387e-09	2.330150518242e-07	3.552898844658e-07	4.200559315434e-07	4.633742503358e-07	4.972756178552e-07	5.262546404445e-07	5.529008283404e-07	5.798751038117e-07	6.153145382940e-07	-3.119169239418e-08	-2.637428928351e-08	9.194420504568e-08	1.993916991736e-07	2.700547692197e-07	3.204819697371e-07	3.621290716546e-07	4.002013452986e-07	4.387241788916e-07	4.893356290148e-07	-6.397247450673e-09	-3.649243750487e-08	-2.109238030411e-08	5.868155650152e-08	1.444523522548e-07	2.089337305525e-07	2.580230221847e-07	3.011018197777e-07	3.443850013259e-07	4.012263912212e-07	-8.344571643971e-10	-1.240026456395e-08	-3.146235112213e-08	-1.645718586378e-08	4.386541486484e-08	1.149701418387e-07	1.731492358822e-07	2.205229019269e-07	2.663410618314e-07	3.262234549045e-07	-7.558797873939e-11	-2.408729221091e-09	-1.327274837023e-08	-2.608299380356e-08	-1.299222983684e-08	3.640754107275e-08	9.834984002198e-08	1.521317528722e-07	2.003290379732e-07	2.616287566911e-07	-4.463866682597e-12	-2.876552094861e-10	-2.982158046167e-09	-1.185411909451e-08	-2.138751390525e-08	-1.028415909747e-08	3.299830289820e-08	9.004596991767e-08	1.427104665477e-07	2.048757587026e-07	-1.478989857907e-13	-1.935432329107e-11	-3.610403107583e-10	-2.606233526106e-09	-9.442319565427e-09	-1.728293308344e-08	-8.008301627758e-09	3.281930655665e-08	8.937455062445e-08	1.536794262321e-07	-2.080479391162e-15	-5.752923286338e-13	-1.957765911825e-11	-2.513859744019e-10	-1.691227757901e-09	-6.531723474156e-09	-1.339625681395e-08	-5.754569788829e-09	3.695215381071e-08	1.052145807863e-07	-6.854140641683e-18	-4.305000650377e-15	-2.865502449603e-13	-6.845151365475e-12	-8.700826824384e-11	-6.833259404962e-10	-3.378520366106e-09	-9.120119378203e-09	-2.736856379988e-09	5.458179247753e-08	-8.959104608913e-22	-1.488130195672e-18	-2.299511646250e-16	-1.208361553128e-14	-3.370506909982e-13	-6.141304978667e-12	-7.998964180654e-11	-7.360190833526e-10	-3.779957271092e-09	7.197961036625e-09
5.523530433110e+01	1.603896067174e-09	1.692884158745e-07	2.611733401118e-07	3.098841983934e-07	3.424815487104e-07	3.679831212557e-07	3.897793396641e-07	4.098206565523e-07	4.301087215840e-07	4.567636560704e-07	-2.342618248043e-08	-2.002578935333e-08	6.847156205199e-08	1.501985983600e-07	2.044359891320e-07	2.431117112204e-07	2.749881337008e-07	3.041112885738e-07	3.335771655934e-07	3.722894512337e-07	-4.850659116870e-09	-2.831593646627e-08	-1.778625047676e-08	4.392790202436e-08	1.120999845967e-07	1.639034610780e-07	2.032948894528e-07	2.377659685546e-07	2.723746384216e-07	3.178215656765e-07	-6.498766876016e-10	-9.880691730760e-09	-2.581943440245e-08	-1.479682519867e-08	3.422904655745e-08	9.353580589776e-08	1.425449061250e-07	1.823948177570e-07	2.208358377010e-07	2.710522592996e-07	-6.077339197736e-11	-1.977861567070e-09	-1.113257076749e-08	-2.247411913974e-08	-1.220542952359e-08	2.985611637701e-08	8.381759155776e-08	1.310499726236e-07	1.732887408489e-07	2.269121007839e-07	-3.707782189320e-12	-2.435205697064e-10	-2.567372749402e-09	-1.039123747702e-08	-1.919023677475e-08	-9.996797305786e-09	2.842965867883e-08	8.009171541687e-08	1.280441370204e-07	1.844969069802e-07	-1.268939365031e-13	-1.688535627405e-11	-3.193516950890e-10	-2.337116383947e-09	-8.597509903202e-09	-1.605540553456e-08	-8.018216658893e-09	2.964306411979e-08	8.269386530241e-08	1.431241478943e-07	-1.844812402498e-15	-5.172589025259e-13	-1.780361018088e-11	-2.310738242628e-10	-1.572298535772e-09	-6.151895631786e-09	-1.283904994722e-08	-5.947576454383e-09	3.491874771858e-08	1.010701025266e-07	-6.295669390158e-18	-3.995747183762e-15	-2.683327624146e-13	-6.463402774621e-12	-8.285649716628e-11	-6.569013071759e-10	-3.284963724076e-09	-9.007767070192e-09	-3.011272573126e-09	5.395861538048e-08	-8.583739090797e-22	-1.435013544524e-18	-2.230505384331e-16	-1.178797931224e-14	-3.307103412784e-13	-6.063446975077e-12	-7.955342264577e-11	-7.389619017906e-10	-3.852482734956e-09	7.240377699577e-09
7.536422741615e+01	-2.109771688771e-09	1.144337842200e-07	1.826693011429e-07	2.185506661137e-07	2.424727741151e-07	2.611798894303e-07	2.771683439848e-07	2.918694514489e-07	3.067515553287e-07	3.263040111598e-07	-1.822773102501e-08	-1.520587332299e-08	5.351512734314e-08	1.158794520950e-07	1.571429595240e-07	1.866337044998e-07	2.109621588944e-07	2.331909614930e-07	2.556812358825e-07	2.852289521764e-07	-3.710687963931e-09	-2.126883873076e-08	-1.292488809737e-08	3.334291130783e-08	8.431063030842e-08	1.231658765951e-07	1.527575797271e-07	1.786411013182e-07	2.046203855066e-07	2.387343961331e-07	-4.878539066965e-10	-7.375656529671e-09	-1.929150240965e-08	-1.127646257324e-08	2.523973725605e-08	6.991593119395e-08	1.070920814125e-07	1.373294589602e-07	1.664519976792e-07	2.044813507460e-07	-4.535414345069e-11	-1.480815143983e-09	-8.395912924296e-09	-1.718356246265e-08	-9.809628042857e-09	2.211241915538e-08	6.378851211823e-08	1.005503660800e-07	1.333879817733e-07	1.750078738347e-07	-2.785354727131e-12	-1.845561028677e-10	-1.965216624233e-09	-8.055338797252e-09	-1.515361406574e-08	-8.415015332869e-09	2.165406615854e-08	6.287601208231e-08	1.013807200511e-07	1.465974086712e-07	-9.690448994965e-14	-1.304557339943e-11	-2.494090390850e-10	-1.846762299980e-09	-6.890101558345e-09	-1.312396398002e-08	-7.043177434781e-09	2.352576079975e-08	6.741444311163e-08	1.175375421098e-07	-1.443520948817e-15	-4.096972046070e-13	-1.425309413207e-11	-1.869768020481e-10	-1.287351006161e-09	-5.108642883334e-09	-1.087246050225e-08	-5.460084461727e-09	2.909393850934e-08	8.591922707652e-08	-5.089881100895e-18	-3.265757656278e-15	-2.214238640091e-13	-5.383030659132e-12	-6.967784166274e-11	-5.585366448679e-10	-2.831218957115e-09	-7.914949875840e-09	-2.992744389893e-09	4.750125814973e-08	-7.269242051517e-22	-1.224532703699e-18	-1.916800348285e-16	-1.020073057407e-14	-2.882419686533e-13	-5.326649759694e-12	-7.054725852656e-11	-6.635139674972e-10	-3.529191606144e-09	6.512401951441e-09
1.028285594298e+02	-1.100434376391e-09	7.416102566252e-08	1.196514242241e-07	1.439591357587e-07	1.600539761478e-07	1.726066202933e-07	1.833312128092e-07	1.931920514214e-07	2.031742861328e-07	2.162891791504e-07	-1.270961930006e-08	-1.319848037546e-08	3.623216608346e-08	8.323962910162e-08	1.143685132607e-07	1.364927629953e-07	1.547158053001e-07	1.713638722087e-07	1.882077330804e-07	2.103371950644e-07	-2.807540944169e-09	-1.668270453664e-08	-1.050359363098e-08	2.581880283978e-08	6.564676389457e-08	9.582719938491e-08	1.187988269424e-07	1.389140049592e-07	1.591100662499e-07	1.856305962808e-07	-3.817870345697e-10	-5.781709520470e-09	-1.497672641275e-08	-8.399849649088e-09	2.003688210052e-08	5.432416115298e-08	8.271450838476e-08	1.058344263033e-07	1.281302445493e-07	1.572499880089e-07	-3.545901556776e-11	-1.147046981945e-09	-6.429838901489e-09	-1.297024446997e-08	-7.122487030369e-09	1.708526848523e-08	4.840475898414e-08	7.599799406249e-08	1.006792665154e-07	1.319719085560e-07	-2.144452647098e-12	-1.406040812340e-10	-1.484344724590e-09	-6.036923866056e-09	-1.127488047264e-08	-6.171793450478e-09	1.623923354578e-08	4.694619423390e-08	7.568411617911e-08	1.094372406496e-07	-7.330752539208e-14	-9.795713099070e-12	-1.864062040547e-10	-1.375984185338e-09	-5.126349005080e-09	-9.776080873839e-09	-5.313546824839e-09	1.742881761805e-08	5.031684074166e-08	8.795907865804e-08	-1.077959157041e-15	-3.051226453264e-13	-1.060731329942e-11	-1.392314936779e-10	-9.605741754351e-10	-3.828046242060e-09	-8.216321582886e-09	-4.297348753878e-09	2.181147740141e-08	6.522444022343e-08	-3.789122164268e-18	-2.435520688604e-15	-1.655702764828e-13	-4.039028194406e-12	-5.251332858412e-11	-4.234683071901e-10	-2.164916972529e-09	-6.136003059522e-09	-2.533693848952e-09	3.692079908589e-08	-5.498134197314e-22	-9.303036294194e-19	-1.462783807209e-16	-7.821533899313e-15	-2.221612389873e-13	-4.130228965118e-12	-5.511856297601e-11	-5.240210288077e-10	-2.840619185040e-09	5.139415325269e-09
1.403014798522e+02	-6.462651915800e-10	4.895850614767e-08	7.867425127165e-08	9.447544140165e-08	1.049822594374e-07	1.131784003103e-07	1.201797076737e-07	1.266169594642e-07	1.331334507935e-07	1.416949690366e-07	-8.180952398156e-09	-8.009296218461e-09	2.302506396043e-08	5.302444806506e-08	7.332535192543e-08	8.775808990871e-08	9.959640049064e-08	1.103988559763e-07	1.213270839662e-07	1.356845330864e-07	-1.776907285158e-09	-1.092778851617e-08	-8.008097960215e-09	1.569185015539e-08	4.328403987814e-08	6.460192304272e-08	8.075513333567e-08	9.482660722630e-08	1.089396923163e-07	1.274711541658e-07	-2.526243577586e-10	-4.017066352620e-09	-1.103786737063e-08	-7.141736359754e-09	1.355323618057e-08	3.942083978053e-08	6.098679546046e-08	7.847642953279e-08	9.530453090811e-08	1.172781113750e-07	-2.511228169268e-11	-8.452021331898e-10	-4.894301670120e-09	-1.017062168239e-08	-5.938750164888e-09	1.288434763679e-08	3.744634799662e-08	5.904980035348e-08	7.834078073223e-08	1.028010193425e-07	-1.610337793970e-12	-1.081476470239e-10	-1.158791320897e-09	-4.757604524179e-09	-8.921331023460e-09	-4.866126877715e-09	1.286050955633e-08	3.698235822431e-08	5.946902899137e-08	8.590306266024e-08	-5.711117342049e-14	-7.702643624140e-12	-1.470542736932e-10	-1.085264766982e-09	-4.028209418241e-09	-7.615564898302e-09	-3.992402838800e-09	1.377317643226e-08	3.917159695009e-08	6.819622400566e-08	-8.508898345567e-16	-2.405623103010e-13	-8.335404554399e-12	-1.089046545935e-10	-7.467285947659e-10	-2.951502645467e-09	-6.261060073227e-09	-3.133336524173e-09	1.677227277139e-08	4.960754059526e-08	-2.965426584794e-18	-1.895284144549e-15	-1.281330812948e-13	-3.108470858554e-12	-4.017984019604e-11	-3.219238440829e-10	-1.633629568332e-09	-4.588881930566e-09	-1.825177759836e-09	2.762555386205e-08	-4.189269493875e-22	-7.057454298700e-19	-1.105430411023e-16	-5.889855300054e-15	-1.667390276351e-13	-3.090005392861e-12	-4.111019254835e-11	-3.897844386024e-10	-2.110670524102e-09	3.804694175025e-09
1.914303317860e+02	9.365579924780e-11	3.217395557774e-08	5.134842720218e-08	6.162473391934e-08	6.843564943758e-08	7.374560540963e-08	7.828172570445e-08	8.245243857958e-08	8.667449208869e-08	9.222152441770e-08	-5.323825364343e-09	-5.642797638618e-09	1.500119831660e-08	3.502085999833e-08	4.837735290390e-08	5.786726069002e-08	6.567024134199e-08	7.279398802451e-08	8.000081280185e-08	8.946909473977e-08	-1.192067557196e-09	-7.245831333569e-09	-4.864379619349e-09	1.082754314462e-08	2.843729804611e-08	4.197482035291e-08	5.229471968073e-08	6.130031382143e-08	7.033079203874e-08	8.218781866750e-08	-1.662357827109e-10	-2.564348770594e-09	-6.830213919488e-09	-4.247566460654e-09	8.518386803422e-09	2.456547389507e-08	3.813620443075e-08	4.918190721802e-08	5.978050082671e-08	7.360852464277e-08	-1.584906553604e-11	-5.246368833003e-10	-3.028950697767e-09	-6.392111968554e-09	-4.046483407005e-09	7.624136927197e-09	2.348380693265e-08	3.770999612664e-08	5.038127454668e-08	6.638567299525e-08	-9.955131963394e-13	-6.730598811173e-11	-7.328560006836e-10	-3.089199143720e-09	-6.045448264719e-09	-3.783492724173e-09	8.001419328351e-09	2.478961154153e-08	4.063158880231e-08	5.914471730853e-08	-3.594589364242e-14	-4.966241183904e-12	-9.721385624298e-11	-7.377709183876e-10	-2.830111995362e-09	-5.583583581098e-09	-3.331580188808e-09	9.532276238877e-09	2.849793596899e-08	5.019962429601e-08	-5.649666240577e-16	-1.644665155551e-13	-5.842391118184e-12	-7.813719837436e-11	-5.485638236644e-10	-2.222301793285e-09	-4.845858009334e-09	-2.635785705660e-09	1.272821873343e-08	3.832780174284e-08	-2.124230444583e-18	-1.387870069870e-15	-9.546838574838e-14	-2.350244132638e-12	-3.078174959768e-11	-2.496729506962e-10	-1.281331354755e-09	-3.633876480759e-09	-1.477602869624e-09	2.181093471995e-08	-3.236727958264e-22	-5.493891549797e-19	-8.654271598154e-17	-4.631554302826e-15	-1.315624779554e-13	-2.444015433478e-12	-3.255605139429e-11	-3.084577479613e-10	-1.661201420334e-09	3.022923188807e-09
