# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
1.168084470542e+01	3.086754877098e-05	7.883094760598e-06	1.188807483463e-06	1.305735050070e-07	1.047633253582e-08	5.628360166345e-10	1.721198435140e-11	2.252747893923e-13	6.896320248110e-16	8.315512921818e-20	1.509316545551e-05	7.377230571764e-06	1.953924285041e-06	3.301962131039e-07	3.567352779857e-08	2.213367600468e-09	6.127838667445e-11	4.274318883296e-13	1.369910241571e-16	9.617131334632e-06	5.654550482730e-06	1.879441786785e-06	3.716312507738e-07	4.110085114320e-08	2.068034101563e-09	2.821918202189e-11	2.101866670269e-14	6.799871366543e-06	4.310519602810e-06	1.543719747169e-06	3.000205138811e-07	2.653710897177e-08	6.712569659238e-10	1.098010280962e-12	5.061757777626e-06	3.281591649622e-06	1.139673759264e-06	1.807510036694e-07	8.537322406823e-09	3.049958485399e-11	3.862213383954e-06	2.458327096097e-06	7.300286348104e-07	6.773008895561e-08	5.550230271156e-10	2.965496421099e-06	1.750799027833e-06	3.473432841966e-07	7.266442863834e-09	2.234847938705e-06	1.079542887274e-06	6.854811219641e-08	1.561876652005e-06	4.008702376823e-07	6.754836603972e-07
1.593759367225e+01	2.985223038036e-05	8.468340886775e-06	1.319712909882e-06	1.479799095727e-07	1.205539896488e-08	6.556873892871e-10	2.026780087427e-11	2.679560580780e-13	8.285692889677e-16	1.010250725309e-19	1.667096778222e-05	8.318859937226e-06	2.237767324105e-06	3.829413996558e-07	4.181835203675e-08	2.619639245156e-09	7.318112734426e-11	5.149795799630e-13	1.667214730876e-16	1.099169032331e-05	6.537024290843e-06	2.194588225173e-06	4.378990998483e-07	4.884237648283e-08	2.477583847020e-09	3.407729905601e-11	2.562176400435e-14	7.928962195374e-06	5.066424363592e-06	1.828158333624e-06	3.579073517062e-07	3.188482347770e-08	8.123301298388e-10	1.340607853072e-12	5.987365051204e-06	3.905949947085e-06	1.364919807348e-06	2.178099834924e-07	1.035409838334e-08	3.729891358503e-11	4.620542114228e-06	2.956110257520e-06	8.824283219965e-07	8.234467015014e-08	6.799526139594e-10	3.580820111562e-06	2.123575799915e-06	4.235240015976e-07	8.920368773743e-09	2.721640036511e-06	1.321002697275e-06	8.437057473964e-08	1.919656911224e-06	4.952460802274e-07	8.397409682404e-07
2.174559276041e+01	2.639170740479e-05	8.404617258387e-06	1.370444458487e-06	1.581516670412e-07	1.315937013283e-08	7.279560240835e-10	2.283357502092e-11	3.060181005051e-13	9.593308938014e-16	1.188472022497e-19	1.719145156970e-05	8.829000615662e-06	2.426694054180e-06	4.225325317427e-07	4.682489616154e-08	2.971711820207e-09	8.403065455363e-11	5.986208005832e-13	1.966022252390e-16	1.188590942975e-05	7.181407512848e-06	2.444252141555e-06	4.937783025652e-07	5.571046310983e-08	2.857275057106e-09	3.974416234815e-11	3.027958132736e-14	8.814054296828e-06	5.693488615528e-06	2.075523104117e-06	4.103671827915e-07	3.691978975911e-08	9.503465605873e-10	1.587668275511e-12	6.786696260697e-06	4.464840183237e-06	1.573380765650e-06	2.532515834142e-07	1.215114274426e-08	4.426778064460e-11	5.318324860404e-06	3.426789951268e-06	1.030616422531e-06	9.696630949742e-08	8.088710117971e-10	4.175805967435e-06	2.492472225393e-06	5.006920128373e-07	1.064043304278e-08	3.212213951626e-06	1.569065684177e-06	1.009845063768e-07	2.293391082311e-06	5.956200613404e-07	1.017560906317e-06
2.967015060279e+01	2.124718434621e-05	7.491216175744e-06	1.294767000828e-06	1.554077919655e-07	1.331750659985e-08	7.543894437568e-10	2.415309621381e-11	3.299188687209e-13	1.054134917452e-15	1.334811265527e-19	1.609225430337e-05	8.592981987742e-06	2.433467486583e-06	4.341134564962e-07	4.910909312394e-08	3.173948557671e-09	9.128005938383e-11	6.613887330233e-13	2.215294631402e-16	1.187189459759e-05	7.333146560362e-06	2.544399332362e-06	5.229787170637e-07	5.995757640795e-08	3.122534191290e-09	4.411327699211e-11	3.421962861091e-14	9.150498012157e-06	6.001454136909e-06	2.219261810812e-06	4.448650727868e-07	4.057315524140e-08	1.059300532217e-09	1.799401775885e-12	7.240582454470e-06	4.819703559160e-06	1.718368387272e-06	2.799072882757e-07	1.360221021542e-08	5.031737885882e-11	5.796457389388e-06	3.771773653320e-06	1.146122446828e-06	1.090518866219e-07	9.222951162879e-10	4.634125167099e-06	2.790625855662e-06	5.661133030317e-07	1.217676048603e-08	3.623776009722e-06	1.785415076158e-06	1.160986548487e-07	2.630051530835e-06	6.892345617229e-07	1.189928753167e-06
4.048258635629e+01	1.614863356881e-05	5.938335235078e-06	1.084404712668e-06	1.362753285579e-07	1.212595227614e-08	7.090742361356e-10	2.335210260945e-11	3.275630874117e-13	1.075001262650e-15	1.403793284889e-19	1.334653229047e-05	7.447712027109e-06	2.189558518494e-06	4.033229711938e-07	4.692409797799e-08	3.110315751752e-09	9.159490557990e-11	6.797004258405e-13	2.340436433594e-16	1.062721138128e-05	6.757154347896e-06	2.406378109470e-06	5.065518144363e-07	5.938667930126e-08	3.159997787858e-09	4.562829934990e-11	3.630273636664e-14	8.622224639629e-06	5.774520987309e-06	2.178199649835e-06	4.451334553776e-07	4.138394573639e-08	1.102240295992e-09	1.916613212251e-12	7.084534733508e-06	4.793964796073e-06	1.737452909824e-06	2.878071874444e-07	1.423888434004e-08	5.381356854085e-11	5.843856267976e-06	3.855602451928e-06	1.188716182547e-06	1.149045937260e-07	9.907115363301e-10	4.792237900676e-06	2.921992760809e-06	6.009837525901e-07	1.314678103783e-08	3.834883597527e-06	1.912368547549e-06	1.261547043731e-07	2.847935960238e-06	7.557327734931e-07	1.323821711074e-06
5.523530433110e+01	1.217350844824e-05	4.472781600906e-06	8.214067454214e-07	1.060036609896e-07	9.740147273628e-09	5.885320898282e-10	2.002571458666e-11	2.903761876163e-13	9.871499448790e-16	1.344545564666e-19	1.007805085851e-05	5.746620964650e-06	1.739803327705e-06	3.306482126624e-07	3.968512818083e-08	2.711991876439e-09	8.232531564527e-11	6.306932962107e-13	2.255929730104e-16	8.405751916577e-06	5.492476912019e-06	2.011369086618e-06	4.354001747869e-07	5.248707273398e-08	2.872255256254e-09	4.271307515013e-11	3.519477370452e-14	7.176917368354e-06	4.923861476787e-06	1.903039704871e-06	3.986190156498e-07	3.801327950028e-08	1.040310407858e-09	1.868577833705e-12	6.165464948481e-06	4.259900200568e-06	1.577406093055e-06	2.672552031358e-07	1.355080857075e-08	5.276510866761e-11	5.285154072996e-06	3.552011464505e-06	1.116946123780e-06	1.103477617876e-07	9.774076901997e-10	4.484787329429e-06	2.781776998386e-06	5.832129304186e-07	1.306342737052e-08	3.705147010837e-06	1.879148600971e-06	1.264943007759e-07	2.841700757908e-06	7.675002191846e-07	1.372374647358e-06
7.536422741615e+01	8.686456635065e-06	3.493544202145e-06	6.314551426293e-07	7.974295767118e-08	7.272776891854e-09	4.420627255833e-10	1.528768181928e-11	2.271386431481e-13	7.977891992276e-16	1.138376242090e-19	7.785172172111e-06	4.343820252289e-06	1.300517708572e-06	2.475406395538e-07	3.006210725145e-08	2.094245482024e-09	6.517916705122e-11	5.152607574406e-13	1.924567632146e-16	6.288088393398e-06	4.105309695838e-06	1.515309897609e-06	3.329502424988e-07	4.096204620304e-08	2.298171757902e-09	3.523005068277e-11	3.023725162070e-14	5.397587088462e-06	3.746667485001e-06	1.471806698647e-06	3.145904363738e-07	3.073431190516e-08	8.659578737080e-10	1.616550746859e-12	4.754510843068e-06	3.339307423810e-06	1.260734699106e-06	2.185343514707e-07	1.138778978476e-08	4.597598523592e-11	4.208646478894e-06	2.880421746695e-06	9.251390996083e-07	9.373091800161e-08	8.583294088600e-10	3.698062696571e-06	2.338709039397e-06	5.017064903225e-07	1.157805881470e-08	3.170224464881e-06	1.641930233708e-06	1.134448034736e-07	2.532443099063e-06	7.001249849709e-07	1.287682858087e-06
1.028285594298e+02	5.666629428416e-06	2.413665238127e-06	4.797217014411e-07	6.286496717461e-08	5.722024115393e-09	3.418335919960e-10	1.159544126670e-11	1.698248794292e-13	5.941146826650e-16	8.609268742796e-20	5.831142339310e-06	3.406124739993e-06	1.026285878562e-06	1.927940116753e-07	2.298398556244e-08	1.575632928499e-09	4.858123548856e-11	3.843568012496e-13	1.461848240671e-16	4.966410891334e-06	3.212227522700e-06	1.166756109321e-06	2.522593174553e-07	3.066105604793e-08	1.711242329532e-09	2.634665412623e-11	2.306937774972e-14	4.166564830618e-06	2.851016752532e-06	1.106448763858e-06	2.346677606310e-07	2.289369419311e-08	6.497446145941e-10	1.239168010225e-12	3.580242232473e-06	2.495393861783e-06	9.388250434200e-07	1.630749839817e-07	8.580745628520e-09	3.542605801520e-11	3.134730718188e-06	2.146200285237e-06	6.928916998481e-07	7.102668469061e-08	6.653563248684e-10	2.765530586361e-06	1.762581287226e-06	3.831640215618e-07	9.042696913184e-09	2.412770580435e-06	1.267989186121e-06	8.952112184785e-08	1.987462056615e-06	5.614782157140e-07	1.064444698496e-06
1.403014798522e+02	3.753632082937e-06	1.566581991907e-06	3.018899963574e-07	4.141799312423e-08	4.059974311287e-09	2.582754834790e-10	9.102333015532e-12	1.349955762027e-13	4.674356202826e-16	6.578073439307e-20	3.671291179752e-06	2.205458461638e-06	7.103631360254e-07	1.425398877968e-07	1.779850085035e-08	1.248089102086e-09	3.855104413623e-11	3.004903830323e-13	1.111805807237e-16	3.401169486221e-06	2.336271585588e-06	8.902252561066e-07	1.982265038962e-07	2.435743597746e-08	1.352764613797e-09	2.047325782135e-11	1.747439967622e-14	3.160338334935e-06	2.226236037744e-06	8.769320348263e-07	1.863109617606e-07	1.800508423405e-08	5.018920463801e-10	9.351426714465e-13	2.833722984650e-06	1.982896666249e-06	7.424832837302e-07	1.274124523205e-07	6.587425912233e-09	2.664083407474e-11	2.482780324146e-06	1.685184800008e-06	5.369551076908e-07	5.416421401129e-08	4.986658732785e-10	2.149361986808e-06	1.352767098023e-06	2.900593721180e-07	6.754873093767e-09	1.832004019595e-06	9.524636177891e-07	6.667115639796e-08	1.482562309761e-06	4.175282151684e-07	7.968276681153e-07
1.914303317860e+02	2.423605834231e-06	1.017095948114e-06	2.049012157456e-07	2.755269157388e-08	2.563412345903e-09	1.586430041387e-10	5.694902346576e-12	8.953743173221e-14	3.361833409274e-16	5.121861376726e-20	2.478608942484e-06	1.483618319694e-06	4.563027204936e-07	8.813191984127e-08	1.099985587264e-08	8.014860878022e-10	2.637960174951e-11	2.211788990057e-13	8.723120345974e-17	2.201319892775e-06	1.454919833466e-06	5.475488292486e-07	1.245388171533e-07	1.606291840078e-08	9.502612339717e-10	1.534503038740e-11	1.378831227487e-14	1.942731228147e-06	1.385246446999e-06	5.652815887903e-07	1.264491987779e-07	1.295836801906e-08	3.819447616013e-10	7.410865242020e-13	1.813718681718e-06	1.322592491541e-06	5.201528174109e-07	9.392127938216e-08	5.081284868767e-09	2.118053185262e-11	1.723738639301e-06	1.220928182637e-06	4.053098922836e-07	4.229837355856e-08	3.973177659048e-10	1.609966244612e-06	1.044034539707e-06	2.289613716559e-07	5.386587628150e-09	1.440310028404e-06	7.576381914003e-07	5.309077771745e-08	1.181405626651e-06	3.303582449011e-07	6.187840637052e-07
