# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
1.168084470542e+01	6.182407429182e-09	8.542764075321e-09	8.489271041235e-09	8.516799523936e-09	8.557593004356e-09	8.593132528105e-09	8.623873010488e-09	8.652161723793e-09	8.680799592236e-09	8.718424693636e-09	1.858995647210e-08	2.079842628367e-08	2.178478749785e-08	2.251400886920e-08	2.312249231923e-08	2.365115537462e-08	2.413838056225e-08	2.463168779977e-08	2.527980960622e-08	2.519764440139e-08	2.734901025403e-08	2.867566051343e-08	2.972917287814e-08	3.065692827355e-08	3.151893332842e-08	3.239291093510e-08	3.354126326570e-08	3.068615190380e-08	3.278423280999e-08	3.429368880735e-08	3.558019250754e-08	3.678562029611e-08	3.801419588102e-08	3.962953253565e-08	3.569309580459e-08	3.779269513944e-08	3.946653501042e-08	4.100193166272e-08	4.257732949574e-08	4.465444728205e-08	4.053489844034e-08	4.271358700444e-08	4.461253546822e-08	4.653854895850e-08	4.909178422711e-08	4.546698134616e-08	4.784745002885e-08	5.016420241016e-08	5.322744267389e-08	5.081201994567e-08	5.365879672106e-08	5.730883574871e-08	5.722073832056e-08	6.169522370116e-08	6.764401241375e-08
1.593759367225e+01	4.741287546760e-09	6.483691098735e-09	6.273093357262e-09	6.209256341542e-09	6.186743212225e-09	6.172395068844e-09	6.160456019435e-09	6.149498596657e-09	6.138406997702e-09	6.123834602861e-09	1.546881057738e-08	1.745454686254e-08	1.826947148460e-08	1.887693023325e-08	1.939280503479e-08	1.984339276600e-08	2.025900659439e-08	2.067983581627e-08	2.123273494333e-08	2.178279431145e-08	2.384453578408e-08	2.507365021614e-08	2.604861581840e-08	2.691337748592e-08	2.771907845344e-08	2.853632494163e-08	2.961016335207e-08	2.722045979418e-08	2.930389893581e-08	3.077397426014e-08	3.202504084535e-08	3.320204619297e-08	3.440351307095e-08	3.598348788555e-08	3.230528697264e-08	3.444255325748e-08	3.612468224066e-08	3.766655135106e-08	3.925277998267e-08	4.134569639109e-08	3.731854290549e-08	3.957991026068e-08	4.153325245425e-08	4.351485832375e-08	4.614608518124e-08	4.251008030238e-08	4.502232655777e-08	4.745207744819e-08	5.066797062302e-08	4.822152376202e-08	5.127238175488e-08	5.516976383364e-08	5.517248128445e-08	6.004409537312e-08	6.668278520467e-08
2.174559276041e+01	3.512515080327e-09	4.708223024922e-09	4.396330928972e-09	4.268378701374e-09	4.200518028505e-09	4.150363440557e-09	4.107789786162e-09	4.068662354104e-09	4.029053838511e-09	3.977015254991e-09	1.212103799097e-08	1.374662464356e-08	1.433140558407e-08	1.477271517303e-08	1.515899806385e-08	1.549948915250e-08	1.581400633958e-08	1.613250691865e-08	1.655096483379e-08	1.768673040613e-08	1.950611941367e-08	2.053944459629e-08	2.135718260937e-08	2.209043661201e-08	2.277654048288e-08	2.347295064084e-08	2.438805052572e-08	2.268749019877e-08	2.460591655044e-08	2.592311314948e-08	2.704136130042e-08	2.809970046246e-08	2.918252376321e-08	3.060685910057e-08	2.750341359065e-08	2.953130859205e-08	3.109917113128e-08	3.253463118557e-08	3.401699452196e-08	3.597493422388e-08	3.236376070598e-08	3.456111462294e-08	3.643569064216e-08	3.833784590715e-08	4.086942992147e-08	3.749889019623e-08	3.999026757409e-08	4.237920312727e-08	4.554545662123e-08	4.325292624083e-08	4.633607473740e-08	5.025499334994e-08	5.038501664434e-08	5.540493835277e-08	6.245946981174e-08
2.967015060279e+01	2.516759195622e-09	3.336533312671e-09	3.012645490007e-09	2.866982262018e-09	2.784713604659e-09	2.723020406479e-09	2.670568238612e-09	2.622357121746e-09	2.573553074961e-09	2.509433192234e-09	9.061277368391e-09	1.028310668089e-08	1.064576520865e-08	1.092371764784e-08	1.117968284739e-08	1.140877150386e-08	1.162090533586e-08	1.183576889621e-08	1.211806642496e-08	1.357121258957e-08	1.504072104054e-08	1.582175212783e-08	1.643686077265e-08	1.699743119272e-08	1.752537660835e-08	1.806182088751e-08	1.876676702987e-08	1.780360875247e-08	1.942580815075e-08	2.049901008580e-08	2.140642941521e-08	2.227262214865e-08	2.316187249902e-08	2.433205712814e-08	2.201395769841e-08	2.378768266613e-08	2.512604971547e-08	2.634903239021e-08	2.761881609994e-08	2.929856215122e-08	2.637737324518e-08	2.835274825825e-08	3.000948550783e-08	3.169093374851e-08	3.393615848007e-08	3.109583146693e-08	3.338977898962e-08	3.556349612079e-08	3.844997045591e-08	3.649876977840e-08	3.940200998035e-08	4.306682172627e-08	4.334378820048e-08	4.818307374561e-08	5.524708490339e-08
4.048258635629e+01	1.734882117273e-09	2.294430621287e-09	2.022743614681e-09	1.894739610801e-09	1.821112236257e-09	1.765801094218e-09	1.718778921432e-09	1.675559832506e-09	1.631809273151e-09	1.574328781776e-09	6.560517325921e-09	7.446988961388e-09	7.663247862551e-09	7.829763669003e-09	7.992857126609e-09	8.141616654723e-09	8.279807471039e-09	8.419814768237e-09	8.603764384104e-09	9.986783329053e-09	1.109221594521e-08	1.163804408776e-08	1.206393269799e-08	1.245989529532e-08	1.283598482123e-08	1.321867973363e-08	1.372162820936e-08	1.329948586211e-08	1.456355020637e-08	1.536358261221e-08	1.603563871197e-08	1.668428064962e-08	1.735325600912e-08	1.823407485855e-08	1.668945396950e-08	1.811463567490e-08	1.915776219739e-08	2.010797372564e-08	2.110166566720e-08	2.241898469770e-08	2.029423622103e-08	2.192533721244e-08	2.326353914874e-08	2.462169902767e-08	2.644339233100e-08	2.428721793351e-08	2.622967485232e-08	2.804175808116e-08	3.045398488344e-08	2.896776995641e-08	3.148737297558e-08	3.463854416686e-08	3.504437723036e-08	3.935691614933e-08	4.594204105914e-08
5.523530433110e+01	1.178255061284e-09	1.508869119274e-09	1.287308793990e-09	1.180273022653e-09	1.117070876796e-09	1.069310682082e-09	1.028685366980e-09	9.913449081476e-10	9.535452626080e-10	9.038832192387e-10	4.591803081740e-09	5.240467953954e-09	5.384945368240e-09	5.494588950767e-09	5.605507487749e-09	5.707858276323e-09	5.803149987053e-09	5.899714920123e-09	6.026588450668e-09	7.134418064569e-09	7.946770917210e-09	8.330374766663e-09	8.626183426128e-09	8.904862508483e-09	9.171309672058e-09	9.442775841132e-09	9.799575167569e-09	9.608282092987e-09	1.054640745310e-08	1.111992802914e-08	1.159784355660e-08	1.206344804705e-08	1.254576497027e-08	1.318118992965e-08	1.217327690265e-08	1.324707776963e-08	1.401122815025e-08	1.470426960206e-08	1.543426532460e-08	1.640426146919e-08	1.494565388647e-08	1.619651606676e-08	1.719958404307e-08	1.821696616207e-08	1.958847271080e-08	1.807277257932e-08	1.959139436062e-08	2.098324266175e-08	2.284100814491e-08	2.181204475193e-08	2.382394014969e-08	2.631214621026e-08	2.677835930960e-08	3.030930124189e-08	3.596667653663e-08
7.536422741615e+01	8.094867896518e-10	9.988746875917e-10	8.132512019170e-10	7.227864708579e-10	6.684012101383e-10	6.270364181436e-10	5.918173535670e-10	5.594436926574e-10	5.266718408185e-10	4.836154274655e-10	3.085340001138e-09	3.521268730742e-09	3.599370290685e-09	3.660488626891e-09	3.726772794541e-09	3.789018915173e-09	3.847142967443e-09	3.906059634114e-09	3.983469094940e-09	4.911088178529e-09	5.499189142905e-09	5.771062624462e-09	5.979578346346e-09	6.176907252316e-09	6.366086982109e-09	6.558947675350e-09	6.812445048280e-09	6.727199325252e-09	7.415568825757e-09	7.831595089172e-09	8.176546397657e-09	8.513526245487e-09	8.863258846925e-09	9.324154582094e-09	8.620318178779e-09	9.411276016320e-09	9.967449969728e-09	1.047002839872e-08	1.100113473583e-08	1.170780530226e-08	1.067580304735e-08	1.160100087119e-08	1.233335641787e-08	1.307512773376e-08	1.407832618015e-08	1.300971151183e-08	1.414016881002e-08	1.516322553145e-08	1.653090347576e-08	1.582695587172e-08	1.733901539721e-08	1.919123462996e-08	1.961935355712e-08	2.231212766003e-08	2.679481143236e-08
1.028285594298e+02	5.508320071862e-10	6.853801038098e-10	5.594004768020e-10	4.956402931775e-10	4.576813280101e-10	4.289678020654e-10	4.045391452355e-10	3.820852757691e-10	3.593552650563e-10	3.294920545972e-10	2.063480513030e-09	2.329349697080e-09	2.350062703281e-09	2.368841922896e-09	2.397814309696e-09	2.426902852907e-09	2.454326750386e-09	2.482146056143e-09	2.518698215108e-09	3.264956541211e-09	3.649391788630e-09	3.810253251668e-09	3.933190663963e-09	4.053107227330e-09	4.169239774332e-09	4.287813223611e-09	4.443681491753e-09	4.519632113936e-09	4.997187301422e-09	5.276944642728e-09	5.508476298787e-09	5.736320944094e-09	5.973383596875e-09	6.285890511126e-09	5.870154543509e-09	6.436175597655e-09	6.829762932998e-09	7.185115303376e-09	7.561423549713e-09	8.062448319740e-09	7.360886897152e-09	8.033354341522e-09	8.563084788998e-09	9.099299104811e-09	9.825141321354e-09	9.068537460613e-09	9.896642342408e-09	1.064333881317e-08	1.164160542061e-08	1.114110377001e-08	1.225333926624e-08	1.361097636483e-08	1.394452753425e-08	1.593253350377e-08	1.929278847740e-08
1.403014798522e+02	3.820250750449e-10	4.723967047721e-10	3.912398648127e-10	3.506449327362e-10	3.263168207204e-10	3.079220689460e-10	2.922820251447e-10	2.779075418761e-10	2.633563418749e-10	2.442386421972e-10	1.378847859672e-09	1.561450389073e-09	1.579258227729e-09	1.592087773274e-09	1.611432348499e-09	1.631085961233e-09	1.649675121284e-09	1.668538544827e-09	1.693323723046e-09	2.175691183767e-09	2.423706067684e-09	2.519179421777e-09	2.589697414137e-09	2.660838515009e-09	2.730807935408e-09	2.802436828776e-09	2.896610367352e-09	2.989233476239e-09	3.292820458376e-09	3.458830033658e-09	3.594386645635e-09	3.730787989918e-09	3.873941283633e-09	4.062840840230e-09	3.874473721257e-09	4.243015657131e-09	4.487980832277e-09	4.708375892453e-09	4.944642630492e-09	5.260219072157e-09	4.877938135214e-09	5.330105608657e-09	5.676991494699e-09	6.028581550911e-09	6.507077620838e-09	6.058274500112e-09	6.631578571961e-09	7.141681158856e-09	7.825363513273e-09	7.522832327896e-09	8.311395679284e-09	9.269252244430e-09	9.538980323124e-09	1.097472094139e-08	1.344100990683e-08
1.914303317860e+02	2.667925000156e-10	3.355722557907e-10	2.850706365365e-10	2.595567645158e-10	2.445076227360e-10	2.331754219292e-10	2.235423529765e-10	2.146887841096e-10	2.057263757394e-10	1.939513587553e-10	9.369608903544e-10	1.053367452591e-09	1.062936050535e-09	1.070951593637e-09	1.083363645458e-09	1.095909216621e-09	1.107764602377e-09	1.119795054433e-09	1.135602287977e-09	1.451629021416e-09	1.614459995778e-09	1.679811367195e-09	1.728528126297e-09	1.776718623100e-09	1.823850936332e-09	1.872085402734e-09	1.935502949846e-09	1.987539523716e-09	2.189894447129e-09	2.302810809914e-09	2.394287317774e-09	2.485580863256e-09	2.581378209332e-09	2.707825247284e-09	2.569034382956e-09	2.809824928134e-09	2.968908959743e-09	3.110649770504e-09	3.262992528428e-09	3.466906615248e-09	3.219148017140e-09	3.509265984205e-09	3.727133762348e-09	3.947110224644e-09	4.248427057298e-09	3.980613981240e-09	4.347125895226e-09	4.665403036388e-09	5.093633158248e-09	4.934024169326e-09	5.444230647174e-09	6.053913471762e-09	6.273917107657e-09	7.227499533716e-09	8.954212339078e-09
