# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
1.168084470542e+01	6.292651102538e-09	8.684501179403e-09	8.630296873669e-09	8.658182766803e-09	8.699512496373e-09	8.735521366229e-09	8.766668159242e-09	8.795330819358e-09	8.824347238485e-09	8.862469697683e-09	1.886533889697e-08	2.110332056445e-08	2.210269848685e-08	2.284151042448e-08	2.345802096399e-08	2.399366839739e-08	2.448733210470e-08	2.498715865947e-08	2.564384556001e-08	2.556134957849e-08	2.774129157395e-08	2.908534455016e-08	3.015265259476e-08	3.109259611087e-08	3.196594211808e-08	3.285142150457e-08	3.401488647372e-08	3.112328586740e-08	3.324939102207e-08	3.477877921036e-08	3.608224607746e-08	3.730361030522e-08	3.854844703450e-08	4.018516678960e-08	3.619777609369e-08	3.832567992636e-08	4.002186523815e-08	4.157773760474e-08	4.317418807183e-08	4.527908263523e-08	4.110553177345e-08	4.331389835217e-08	4.523848308612e-08	4.719048092028e-08	4.977822772002e-08	4.610550373549e-08	4.851871065398e-08	5.086705706949e-08	5.397213357036e-08	5.152488180824e-08	5.441126852466e-08	5.811184000014e-08	5.802406254250e-08	6.256191377154e-08	6.859765812246e-08
1.593759367225e+01	4.798071679107e-09	6.552549198519e-09	6.341108919964e-09	6.277138982709e-09	6.254657598552e-09	6.240354506122e-09	6.228456074216e-09	6.217536152086e-09	6.206482510811e-09	6.191959993514e-09	1.558830178916e-08	1.758534271777e-08	1.840489305446e-08	1.901577342162e-08	1.953455132797e-08	1.998767780553e-08	2.040563411704e-08	2.082883559249e-08	2.138485128613e-08	2.193799754585e-08	2.401128388316e-08	2.524719739510e-08	2.622751608704e-08	2.709704190274e-08	2.790719277289e-08	2.872895566431e-08	2.980872848599e-08	2.740613649773e-08	2.950116185344e-08	3.097924991256e-08	3.223710407757e-08	3.342052794766e-08	3.462856379364e-08	3.621717969695e-08	3.251951300792e-08	3.466871844937e-08	3.636005319067e-08	3.791033772864e-08	3.950526866699e-08	4.160968533549e-08	3.756124984669e-08	3.983543085808e-08	4.179963146665e-08	4.379225220412e-08	4.643816283284e-08	4.278280760646e-08	4.530956294034e-08	4.775312739501e-08	5.098734890837e-08	4.852798818255e-08	5.159687899198e-08	5.551706096403e-08	5.552108230567e-08	6.042234163915e-08	6.710378852462e-08
2.174559276041e+01	3.549130198348e-09	4.753145896467e-09	4.442136536299e-09	4.314758946332e-09	4.247341615751e-09	4.197545624920e-09	4.155279729830e-09	4.116435372657e-09	4.077113409589e-09	4.025451314644e-09	1.218103258415e-08	1.380946252024e-08	1.439532659097e-08	1.483744893339e-08	1.522443676897e-08	1.556554781228e-08	1.588063724858e-08	1.619971755442e-08	1.661893698284e-08	1.775507890188e-08	1.957706701349e-08	2.061183553040e-08	2.143071316499e-08	2.216499604467e-08	2.285206503634e-08	2.354945641389e-08	2.446584561350e-08	2.276306656543e-08	2.468424929754e-08	2.600329093925e-08	2.712307074944e-08	2.818286416161e-08	2.926718673294e-08	3.069349620524e-08	2.758606439695e-08	2.961690786521e-08	3.118689942450e-08	3.262427861874e-08	3.410865824395e-08	3.606927558774e-08	3.245359619306e-08	3.465408671437e-08	3.653119206795e-08	3.843591060971e-08	4.097095493474e-08	3.759644111144e-08	4.009154696264e-08	4.248385752977e-08	4.565462108034e-08	4.335966866962e-08	4.644770541011e-08	5.037260097438e-08	5.050398170681e-08	5.553254011854e-08	6.260149625298e-08
2.967015060279e+01	2.546521771527e-09	3.376728790129e-09	3.055450736955e-09	2.911258460750e-09	2.830018103581e-09	2.769138832993e-09	2.717383493596e-09	2.669813198571e-09	2.621657858309e-09	2.558390267895e-09	9.109990416045e-09	1.033293211929e-08	1.069662285574e-08	1.097528106490e-08	1.123177490263e-08	1.146131049698e-08	1.167385467324e-08	1.188913380139e-08	1.217197719280e-08	1.361950798624e-08	1.508870143020e-08	1.586969097780e-08	1.648474711535e-08	1.704525221835e-08	1.757313360566e-08	1.810951363301e-08	1.881437528441e-08	1.785001161842e-08	1.947135487958e-08	2.054396131181e-08	2.145083993399e-08	2.231652594320e-08	2.320526796455e-08	2.437478562539e-08	2.205796167689e-08	2.383058030912e-08	2.516795725390e-08	2.639001158205e-08	2.765887246349e-08	2.933741252961e-08	2.641875027588e-08	2.839281477450e-08	3.004829557068e-08	3.172848317326e-08	3.397207135240e-08	3.113448050744e-08	3.342708685613e-08	3.559938501620e-08	3.848400677029e-08	3.653482584657e-08	3.943668370069e-08	4.309956746813e-08	4.337725253308e-08	4.821466904466e-08	5.527761478910e-08
4.048258635629e+01	1.757017293087e-09	2.327548913569e-09	2.059095530402e-09	1.932897364840e-09	1.860516424026e-09	1.806188565759e-09	1.760007839788e-09	1.717562534613e-09	1.674595283859e-09	1.618143926159e-09	6.609459363464e-09	7.498826123016e-09	7.717559083349e-09	7.885798476985e-09	8.050191678059e-09	8.200047367967e-09	8.339243858473e-09	8.480269200571e-09	8.665556251493e-09	1.003747992860e-08	1.114329680558e-08	1.168989160411e-08	1.211638237313e-08	1.251280205535e-08	1.288929263404e-08	1.327239155245e-08	1.377587060666e-08	1.334852501119e-08	1.461180168471e-08	1.541155475800e-08	1.608335811050e-08	1.673171661253e-08	1.740039439307e-08	1.828082110817e-08	1.673527378633e-08	1.815898278251e-08	1.920101963849e-08	2.015021145593e-08	2.114285008791e-08	2.245877905009e-08	2.033581926927e-08	2.196481862071e-08	2.330121731425e-08	2.465755367509e-08	2.647683106824e-08	2.432363699878e-08	2.626351424556e-08	2.807306207189e-08	3.048193266046e-08	2.899824507524e-08	3.151454949290e-08	3.466141504683e-08	3.506740891575e-08	3.937459213320e-08	4.595306141244e-08
5.523530433110e+01	1.194787171280e-09	1.532008564305e-09	1.312283324246e-09	1.206338331189e-09	1.143873588503e-09	1.096691395492e-09	1.056560296324e-09	1.019674285826e-09	9.823346801469e-10	9.332770516730e-10	4.637044041420e-09	5.291319338989e-09	5.439732284200e-09	5.552153333508e-09	5.665201747273e-09	5.769355994844e-09	5.866303247572e-09	5.964544024172e-09	6.093619240107e-09	7.188845915439e-09	8.003983973918e-09	8.390146415808e-09	8.687989392364e-09	8.968337087250e-09	9.236294508838e-09	9.509286761541e-09	9.868090839976e-09	9.666126404993e-09	1.060545950580e-08	1.118035805617e-08	1.165944043498e-08	1.212605567112e-08	1.260938033764e-08	1.324612733039e-08	1.223185872262e-08	1.330582582198e-08	1.407036220794e-08	1.476374889193e-08	1.549406057037e-08	1.646446043322e-08	1.500315728927e-08	1.625332407931e-08	1.725595418600e-08	1.827289656977e-08	1.964378916954e-08	1.812777549757e-08	1.964506849133e-08	2.103573394753e-08	2.289191490376e-08	2.186337990212e-08	2.387316907378e-08	2.635875902671e-08	2.682423616113e-08	3.035109700581e-08	3.600182217032e-08
7.536422741615e+01	8.231371432892e-10	1.016728804130e-09	8.307295534011e-10	7.403066999934e-10	6.859710190494e-10	6.446433565647e-10	6.094555744586e-10	5.771106431644e-10	5.443678695400e-10	5.013496627710e-10	3.121171346389e-09	3.562028656132e-09	3.643020778805e-09	3.706276742326e-09	3.774225949244e-09	3.837883181356e-09	3.897302382313e-09	3.957530033709e-09	4.036661843796e-09	4.960524171210e-09	5.553257857871e-09	5.828724469548e-09	6.040114464632e-09	6.239848260927e-09	6.431217623722e-09	6.626292135736e-09	6.882697836352e-09	6.785964515797e-09	7.477922032731e-09	7.897124278656e-09	8.244790376084e-09	8.584208819125e-09	8.936394268674e-09	9.400510382739e-09	8.685566644631e-09	9.479200976017e-09	1.003788997083e-08	1.054277900820e-08	1.107618894199e-08	1.178587233407e-08	1.074552935447e-08	1.167259854651e-08	1.240689670802e-08	1.315063810359e-08	1.415638002455e-08	1.308240964090e-08	1.421422493369e-08	1.523883676804e-08	1.660851674117e-08	1.590157161014e-08	1.741448049021e-08	1.926798915434e-08	1.969458798160e-08	2.238747627155e-08	2.686793514990e-08
1.028285594298e+02	5.602180033238e-10	6.992122603023e-10	5.734776235203e-10	5.098226574279e-10	4.720025455136e-10	4.434093973650e-10	4.190844970130e-10	3.967260644687e-10	3.740926639843e-10	3.443563841247e-10	2.093782143209e-09	2.361999527725e-09	2.383396614136e-09	2.402832750953e-09	2.432419236586e-09	2.462046104443e-09	2.489965429121e-09	2.518286276756e-09	2.555497339656e-09	3.303834312203e-09	3.691449361579e-09	3.854239345951e-09	3.978790352011e-09	4.100121924033e-09	4.217555771694e-09	4.337445837628e-09	4.495043772127e-09	4.567932640232e-09	5.049344908318e-09	5.332054990375e-09	5.566137619632e-09	5.796323180930e-09	6.035749897151e-09	6.351361417997e-09	5.927653797367e-09	6.497630496378e-09	6.894614523985e-09	7.253104269076e-09	7.632572430542e-09	8.137739798988e-09	7.426887792900e-09	8.103219636246e-09	8.636600753819e-09	9.176517484577e-09	9.907193100937e-09	9.142485377681e-09	9.974465747693e-09	1.072522036706e-08	1.172878966268e-08	1.122278555353e-08	1.233913211833e-08	1.370230402946e-08	1.403411522507e-08	1.602742657684e-08	1.939200261737e-08
1.403014798522e+02	3.896663624768e-10	4.818305629528e-10	4.000844354726e-10	3.593544674749e-10	3.349307913754e-10	3.164614663895e-10	3.007582131820e-10	2.863256691215e-10	2.717156942731e-10	2.525207760823e-10	1.400743327583e-09	1.587307388576e-09	1.607030393366e-09	1.621080811402e-09	1.641420124407e-09	1.661947934530e-09	1.681345136911e-09	1.701026903334e-09	1.726887230169e-09	2.208492466520e-09	2.459466098748e-09	2.556504782270e-09	2.628204912166e-09	2.700450723778e-09	2.771472115813e-09	2.844171202307e-09	2.939751074714e-09	3.028998485269e-09	3.334980578886e-09	3.502412261549e-09	3.639186536382e-09	3.776803526022e-09	3.921218644633e-09	4.111779339233e-09	3.920789848869e-09	4.292117396365e-09	4.539042200735e-09	4.761262252715e-09	4.999455958242e-09	5.317581324910e-09	4.931699996166e-09	5.387273291528e-09	5.737011753261e-09	6.091538819165e-09	6.573937009961e-09	6.120562067754e-09	6.698133741362e-09	7.212405346457e-09	7.901597721855e-09	7.595151634912e-09	8.389231230033e-09	9.354259200560e-09	9.623666055409e-09	1.106825824780e-08	1.354537049145e-08
1.914303317860e+02	2.724619741676e-10	3.430429534133e-10	2.923496135428e-10	2.666858281895e-10	2.515752018305e-10	2.402036409887e-10	2.305373534130e-10	2.216532417216e-10	2.126599135429e-10	2.008442741873e-10	9.541977092906e-10	1.072214774790e-09	1.081889066188e-09	1.090170253142e-09	1.102879411147e-09	1.115685342894e-09	1.127780203578e-09	1.140053177568e-09	1.156179037676e-09	1.474739864643e-09	1.639654966041e-09	1.706361485671e-09	1.756205494397e-09	1.805355757970e-09	1.853371071364e-09	1.902501623102e-09	1.967096792530e-09	2.017607204159e-09	2.223027862269e-09	2.338185328310e-09	2.431484913697e-09	2.524452070649e-09	2.621962442254e-09	2.750664789929e-09	2.606341601654e-09	2.850035320242e-09	3.011326093996e-09	3.155017780873e-09	3.309394715339e-09	3.516013231791e-09	3.262821088140e-09	3.555616105187e-09	3.775609410208e-09	3.997729387169e-09	4.301971210176e-09	4.030609655893e-09	4.400093905709e-09	4.720947451149e-09	5.152666865344e-09	4.991549986073e-09	5.505714107232e-09	6.120143807997e-09	6.341852408009e-09	7.302965479651e-09	9.042734652004e-09
