# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
1.168084470542e+01	6.182314212697e-09	8.542872027993e-09	8.489437629559e-09	8.516996604331e-09	8.557811597527e-09	8.593368215518e-09	8.624123338600e-09	8.652425515943e-09	8.681077014276e-09	8.718720022949e-09	1.859014575652e-08	2.079859964982e-08	2.178495672716e-08	2.251417520188e-08	2.312265634915e-08	2.365131743231e-08	2.413854080620e-08	2.463184620765e-08	2.527996560182e-08	2.519773138589e-08	2.734906239203e-08	2.867568892355e-08	2.972918244467e-08	3.065692170115e-08	3.151891191415e-08	3.239287449614e-08	3.354120708696e-08	3.068615567028e-08	3.278420364553e-08	3.429363349138e-08	3.558011479364e-08	3.678552198436e-08	3.801407671770e-08	3.962938597706e-08	3.569302742749e-08	3.779259562231e-08	3.946640882285e-08	4.100178094816e-08	4.257715395209e-08	4.465423911735e-08	4.053476382162e-08	4.271342232232e-08	4.461234313887e-08	4.653832864136e-08	4.909152713894e-08	4.546678369470e-08	4.784722205775e-08	5.016394374595e-08	5.322714368434e-08	5.081175919731e-08	5.365850279169e-08	5.730849822534e-08	5.722040869163e-08	6.169484716931e-08	6.764358463164e-08
1.593759367225e+01	4.740775308745e-09	6.483343449647e-09	6.272824330132e-09	6.209041802470e-09	6.186561364838e-09	6.172238305505e-09	6.160320708956e-09	6.149383014557e-09	6.138311386998e-09	6.123765231052e-09	1.546864820529e-08	1.745453842076e-08	1.826961964284e-08	1.887716515919e-08	1.939310285137e-08	1.984374409907e-08	2.025940713768e-08	2.068028617596e-08	2.123325075298e-08	2.178267332269e-08	2.384435125662e-08	2.507344063729e-08	2.604838531579e-08	2.691312872539e-08	2.771881289492e-08	2.853604237818e-08	2.960985844715e-08	2.721995834523e-08	2.930323437592e-08	3.077319227722e-08	3.202415886706e-08	3.320107226332e-08	3.440244605724e-08	3.598229857585e-08	3.230438088240e-08	3.444147600401e-08	3.612345969465e-08	3.766519521039e-08	3.925128860171e-08	4.134402732829e-08	3.731725715845e-08	3.957844767140e-08	4.153162726378e-08	4.351306852916e-08	4.614407912591e-08	4.250841418969e-08	4.502047331304e-08	4.745003476632e-08	5.066567905421e-08	4.821946083141e-08	5.127010655547e-08	5.516720975053e-08	5.516997070334e-08	6.004127554205e-08	6.667961622774e-08
2.174559276041e+01	3.511566161790e-09	4.707352909282e-09	4.395515991941e-09	4.267605371811e-09	4.199768651973e-09	4.149632199567e-09	4.107074021154e-09	4.067960817745e-09	4.028366705907e-09	3.976347046382e-09	1.212039731367e-08	1.374615265294e-08	1.433109994569e-08	1.477250998869e-08	1.515886641928e-08	1.549941920782e-08	1.581399291525e-08	1.613255068870e-08	1.655108374649e-08	1.768618685394e-08	1.950554495696e-08	2.053889332715e-08	2.135665374342e-08	2.208992310412e-08	2.277603894601e-08	2.347246083736e-08	2.438757612190e-08	2.268662805324e-08	2.460493174752e-08	2.592207223631e-08	2.704027710494e-08	2.809856923700e-08	2.918134267858e-08	3.060561238964e-08	2.750216655263e-08	2.952990976771e-08	3.109767052351e-08	3.253302957435e-08	3.401528568335e-08	3.597308416069e-08	3.236208603822e-08	3.455922910869e-08	3.643361841522e-08	3.833558304669e-08	4.086691636950e-08	3.749666432368e-08	3.998775305033e-08	4.237640494085e-08	4.554228624196e-08	4.325004088363e-08	4.633283077774e-08	5.025127938446e-08	5.038134481341e-08	5.540070600202e-08	6.245455865235e-08
2.967015060279e+01	2.515394155038e-09	3.335107336616e-09	3.011235178986e-09	2.865591054682e-09	2.783331027482e-09	2.721643874477e-09	2.669196833074e-09	2.620990427443e-09	2.572191149761e-09	2.508077532798e-09	9.060026387512e-09	1.028201592809e-08	1.064482767807e-08	1.092287298384e-08	1.117890629427e-08	1.140805214147e-08	1.162023836481e-08	1.183515493863e-08	1.211752211662e-08	1.357010352376e-08	1.503960434865e-08	1.582066978887e-08	1.643580969746e-08	1.699640379526e-08	1.752436902767e-08	1.806083292902e-08	1.876580481491e-08	1.780225910830e-08	1.942436520039e-08	2.049753226463e-08	2.140492917025e-08	2.227109554858e-08	2.316031633177e-08	2.433046166616e-08	2.201229598846e-08	2.378590057118e-08	2.512420238013e-08	2.634712658475e-08	2.761684356532e-08	2.929649917760e-08	2.637535180740e-08	2.835056302490e-08	3.000718431082e-08	3.168851485025e-08	3.393357623646e-08	3.109333666205e-08	3.338704882359e-08	3.556056759552e-08	3.844677489308e-08	3.649563623364e-08	3.939853467393e-08	4.306294068831e-08	4.333973855209e-08	4.817834904843e-08	5.524114661943e-08
4.048258635629e+01	1.733185386879e-09	2.292495604045e-09	2.020776977453e-09	1.892762856817e-09	1.819124632644e-09	1.763804271097e-09	1.716774163733e-09	1.673547775182e-09	1.629789826120e-09	1.572299625980e-09	6.558546063254e-09	7.445116528972e-09	7.661475368865e-09	7.828050394111e-09	7.991186915950e-09	8.139982444310e-09	8.278206181784e-09	8.418246782929e-09	8.602240153257e-09	9.984904705923e-09	1.109032905127e-08	1.163618214936e-08	1.206209539927e-08	1.245807679842e-08	1.283418173209e-08	1.321689181435e-08	1.371986018549e-08	1.329742810886e-08	1.456142683508e-08	1.536144312556e-08	1.603349287748e-08	1.668212323951e-08	1.735108409618e-08	1.823188345975e-08	1.668717005711e-08	1.811227132454e-08	1.915536399716e-08	2.010554552984e-08	2.109919997996e-08	2.241646706922e-08	2.029168749156e-08	2.192266737271e-08	2.326079174889e-08	2.461887348574e-08	2.644045560547e-08	2.428429284245e-08	2.622656384558e-08	2.803849966036e-08	3.045052667695e-08	2.896431634704e-08	3.148363995783e-08	3.463448943057e-08	3.504013740242e-08	3.935209564285e-08	4.593608912092e-08
5.523530433110e+01	1.176374483802e-09	1.506560323244e-09	1.284924900101e-09	1.177850715732e-09	1.114618689601e-09	1.066834356413e-09	1.026188342948e-09	9.888288473098e-10	9.510099303326e-10	9.013225677040e-10	4.589105474451e-09	5.237774506781e-09	5.382280304836e-09	5.491935741652e-09	5.602861259478e-09	5.705217454054e-09	5.800513997024e-09	5.897083803584e-09	6.023963736175e-09	7.131669154505e-09	7.943981163226e-09	8.327576351363e-09	8.623382506589e-09	8.902058045770e-09	9.168500494793e-09	9.439961543192e-09	9.796754112582e-09	9.605345301171e-09	1.054340417790e-08	1.111689927391e-08	1.159479941164e-08	1.206038524398e-08	1.254268099409e-08	1.317807777033e-08	1.217014396532e-08	1.324387686714e-08	1.400799730013e-08	1.470101244702e-08	1.543097567322e-08	1.640092682713e-08	1.494230803871e-08	1.619307502378e-08	1.719608402812e-08	1.821340695629e-08	1.958482841036e-08	1.806913055260e-08	1.958760825878e-08	2.097934561099e-08	2.283696049729e-08	2.180798592682e-08	2.381966305936e-08	2.630762542463e-08	2.677367302441e-08	3.030415747220e-08	3.596058080248e-08
7.536422741615e+01	8.076140132484e-10	9.964487535137e-10	8.107236547187e-10	7.202032375436e-10	6.657762042756e-10	6.243779496635e-10	5.891302112511e-10	5.567301797072e-10	5.239316322953e-10	4.808401456791e-10	3.082090850219e-09	3.517919406967e-09	3.595976732533e-09	3.657056533273e-09	3.723308719292e-09	3.785527113172e-09	3.843625569252e-09	3.902516310943e-09	3.979891710290e-09	4.907580970064e-09	5.495577027869e-09	5.767389623576e-09	5.975860740046e-09	6.173150681331e-09	6.362293518577e-09	6.555116607792e-09	6.808564554283e-09	6.723405835994e-09	7.411673828709e-09	7.827639022968e-09	8.172542886542e-09	8.509475729553e-09	8.859159067572e-09	9.319989814330e-09	8.616279189964e-09	9.407147067186e-09	9.963264201322e-09	1.046579107500e-08	1.099684094674e-08	1.170343566885e-08	1.067152842546e-08	1.159662158292e-08	1.232890157511e-08	1.307059692659e-08	1.407369033285e-08	1.300514978678e-08	1.413546897388e-08	1.515841227473e-08	1.652593841989e-08	1.582202367381e-08	1.733389261854e-08	1.918589690789e-08	1.961389774840e-08	2.230629805275e-08	2.678821283349e-08
1.028285594298e+02	5.490973963295e-10	6.830722796198e-10	5.569968752727e-10	4.931806519243e-10	4.551802244329e-10	4.264335584415e-10	4.019765082448e-10	3.794965265714e-10	3.567400819337e-10	3.268421419698e-10	2.059978179988e-09	2.325626959961e-09	2.346224974318e-09	2.364916963353e-09	2.393818978259e-09	2.422847022529e-09	2.450215226439e-09	2.477978144505e-09	2.514456219575e-09	3.260931817275e-09	3.645189094385e-09	3.805932227751e-09	3.928777585718e-09	4.048614817488e-09	4.164673811346e-09	4.283172642117e-09	4.438942860053e-09	4.515187026619e-09	4.992586991209e-09	5.272232541028e-09	5.503671732732e-09	5.731429526889e-09	5.968403177897e-09	6.280792973844e-09	5.865364138589e-09	6.431249390307e-09	6.824733991302e-09	7.179992982950e-09	7.556203839135e-09	8.057099476676e-09	7.355787273377e-09	8.028120033625e-09	8.557740865299e-09	9.093844489028e-09	9.819537550187e-09	9.063116243855e-09	9.891068543532e-09	1.063762860188e-08	1.163571435964e-08	1.113531030572e-08	1.224735440464e-08	1.360476810526e-08	1.393825050098e-08	1.592592265067e-08	1.928554338653e-08
1.403014798522e+02	3.805378036430e-10	4.703538305317e-10	3.891281911208e-10	3.484898192215e-10	3.241282280428e-10	3.057066021565e-10	2.900435291203e-10	2.756478668705e-10	2.610752269640e-10	2.419293590386e-10	1.375383327624e-09	1.557714207578e-09	1.575383384015e-09	1.588106887880e-09	1.607365469508e-09	1.626945198447e-09	1.645466377468e-09	1.664260977804e-09	1.688955734178e-09	2.171499231934e-09	2.419261090871e-09	2.514564332771e-09	2.584947797621e-09	2.655973207066e-09	2.725835903638e-09	2.797356659329e-09	2.891388113541e-09	2.984435796312e-09	3.287793499247e-09	3.453629358668e-09	3.589039435730e-09	3.725305160948e-09	3.868320450818e-09	4.057038557998e-09	3.869171850239e-09	4.237507830915e-09	4.482306426819e-09	4.702549691368e-09	4.938660776677e-09	5.254031834892e-09	4.872189688478e-09	5.324161787171e-09	5.670878211131e-09	6.022297109668e-09	6.500565451954e-09	6.052092902064e-09	6.625191476731e-09	7.135100137605e-09	7.818526191927e-09	7.516185205703e-09	8.304508658634e-09	9.262070811672e-09	9.531770101638e-09	1.096712434363e-08	1.343279034013e-08
1.914303317860e+02	2.655868822436e-10	3.338851815806e-10	2.833430143052e-10	2.577990460991e-10	2.427260608247e-10	2.313746258125e-10	2.217250591251e-10	2.128563166533e-10	2.038785476854e-10	1.920833495885e-10	9.337719706455e-10	1.049861950752e-09	1.059272130954e-09	1.067170588116e-09	1.079487408543e-09	1.091950790570e-09	1.103730482338e-09	1.115684298433e-09	1.131390845531e-09	1.447575832020e-09	1.610120032391e-09	1.675286461685e-09	1.723858005671e-09	1.771921939103e-09	1.818936840378e-09	1.867052290922e-09	1.930313462830e-09	1.982796780599e-09	2.184894296792e-09	2.297623449525e-09	2.388940553245e-09	2.480084537892e-09	2.575729581317e-09	2.701976413099e-09	2.563702321127e-09	2.804250508708e-09	2.963138812142e-09	3.104698756752e-09	3.256856448327e-09	3.460526747708e-09	3.213263870133e-09	3.503130960134e-09	3.720778073919e-09	3.940531799168e-09	4.241553973712e-09	3.974166286286e-09	4.340407667557e-09	4.658423296944e-09	5.086308663694e-09	4.926978064005e-09	5.436872543562e-09	6.046159806664e-09	6.266166935178e-09	7.219261807258e-09	8.945285129289e-09
