# ells	P1-E1	P1-E2	P1-E3	P1-E4	P1-E5	P1-E6	P1-E7	P1-E8	P1-E9	P1-E10	P2-E1	P2-E2	P2-E3	P2-E4	P2-E5	P2-E6	P2-E7	P2-E8	P2-E9	P2-E10	P3-E1	P3-E2	P3-E3	P3-E4	P3-E5	P3-E6	P3-E7	P3-E8	P3-E9	P3-E10	P4-E1	P4-E2	P4-E3	P4-E4	P4-E5	P4-E6	P4-E7	P4-E8	P4-E9	P4-E10	P5-E1	P5-E2	P5-E3	P5-E4	P5-E5	P5-E6	P5-E7	P5-E8	P5-E9	P5-E10	P6-E1	P6-E2	P6-E3	P6-E4	P6-E5	P6-E6	P6-E7	P6-E8	P6-E9	P6-E10	P7-E1	P7-E2	P7-E3	P7-E4	P7-E5	P7-E6	P7-E7	P7-E8	P7-E9	P7-E10	P8-E1	P8-E2	P8-E3	P8-E4	P8-E5	P8-E6	P8-E7	P8-E8	P8-E9	P8-E10	P9-E1	P9-E2	P9-E3	P9-E4	P9-E5	P9-E6	P9-E7	P9-E8	P9-E9	P9-E10	P10-E1	P10-E2	P10-E3	P10-E4	P10-E5	P10-E6	P10-E7	P10-E8	P10-E9	P10-E10
1.168084470542e+01	8.955835208978e-08	5.541778275065e-07	7.552269686377e-07	8.612544938748e-07	9.336520857548e-07	9.906739724431e-07	1.039462091709e-06	1.084326100458e-06	1.129742659305e-06	1.189411990370e-06	-4.017405953609e-08	-1.745772595384e-08	1.275710823747e-07	2.451515092399e-07	3.206708349358e-07	3.752086150609e-07	4.206205660932e-07	4.622077218268e-07	5.042940017252e-07	5.595874373339e-07	-6.947363712309e-09	-3.499907389005e-08	-1.359691717983e-08	6.356843763101e-08	1.403756625299e-07	1.968081826383e-07	2.400446411815e-07	2.782575808407e-07	3.167136838764e-07	3.672217779830e-07	-7.954407551782e-10	-1.095302119174e-08	-2.553679430994e-08	-1.003400301245e-08	4.017672886853e-08	9.604505201274e-08	1.408954255326e-07	1.775879329101e-07	2.132696947730e-07	2.599467979078e-07	-6.506811946910e-11	-1.961730952299e-09	-1.026515046000e-08	-1.895457825016e-08	-7.541492668522e-09	2.932086534223e-08	7.348817309209e-08	1.112844174257e-07	1.453221726974e-07	1.887627292706e-07	-3.533212415852e-12	-2.179407522037e-10	-2.177450787421e-09	-8.330130599182e-09	-1.431905794174e-08	-5.713016707903e-09	2.390360699995e-08	6.151213007823e-08	9.590990302212e-08	1.367259710570e-07	-1.087639588431e-13	-1.374023081568e-11	-2.491895298451e-10	-1.750044421475e-09	-6.152394182741e-09	-1.082683437135e-08	-4.259353149737e-09	2.167634899401e-08	5.652637814999e-08	9.604109791087e-08	-1.428512575147e-15	-3.842683392433e-13	-1.279051661935e-11	-1.608674563389e-10	-1.059054403177e-09	-3.990715567698e-09	-7.919896795832e-09	-2.902099774040e-09	2.243322084719e-08	6.201636715300e-08	-4.391820798038e-18	-2.704007747534e-15	-1.769990979431e-13	-4.162962957094e-12	-5.208510271680e-11	-4.019400785849e-10	-1.945814101407e-09	-5.100233201863e-09	-1.203520628583e-09	3.048579537070e-08	-5.302520146830e-22	-8.702919738210e-19	-1.330240806507e-16	-6.916666805351e-15	-1.908616281146e-13	-3.437312910510e-12	-4.416097964252e-11	-3.991574488998e-10	-1.992535154035e-09	3.886746446136e-09
1.593759367225e+01	5.716012473459e-08	4.961755109525e-07	6.989076815294e-07	8.054369697307e-07	8.778253076251e-07	9.347728885922e-07	9.834900399530e-07	1.028288285344e-06	1.073638251722e-06	1.133220091697e-06	-4.339841618455e-08	-2.187313409611e-08	1.362047264984e-07	2.665723220990e-07	3.505416210550e-07	4.110602487676e-07	4.613935647688e-07	5.074767949063e-07	5.541121295976e-07	6.153821225291e-07	-7.720528917192e-09	-3.965717925161e-08	-1.653642737580e-08	7.078074762105e-08	1.586442543431e-07	2.233961735497e-07	2.729554692095e-07	3.167130985144e-07	3.607396872258e-07	4.185631691206e-07	-9.018022933928e-10	-1.255862705834e-08	-2.964979171077e-08	-1.221977792025e-08	4.586048829513e-08	1.110119276613e-07	1.634512327775e-07	2.063207776764e-07	2.479773164483e-07	3.024635782429e-07	-7.488718552652e-11	-2.276043496205e-09	-1.199994706265e-08	-2.236217235527e-08	-9.229341200685e-09	3.409017501306e-08	8.633323649511e-08	1.311302876184e-07	1.714421060498e-07	2.228650408357e-07	-4.116405461606e-12	-2.555286540001e-10	-2.566781729795e-09	-9.874958193600e-09	-1.709713531182e-08	-7.029202219595e-09	2.822092942513e-08	7.321922469749e-08	1.144253453286e-07	1.632837248718e-07	-1.280784987451e-13	-1.626373450933e-11	-2.961780228707e-10	-2.088459637569e-09	-7.374456329714e-09	-1.305120886831e-08	-5.263923088436e-09	2.593548238052e-08	6.803287998263e-08	1.157840991601e-07	-1.699193910578e-15	-4.589320993644e-13	-1.532489301357e-11	-1.933142933302e-10	-1.276542114474e-09	-4.826680854040e-09	-9.623394391730e-09	-3.614526029063e-09	2.715552674707e-08	7.539241781881e-08	-5.276760522360e-18	-3.257950933475e-15	-2.137518458611e-13	-5.038178994681e-12	-6.317558401455e-11	-4.887632719327e-10	-2.373586814440e-09	-6.249485868131e-09	-1.535827682222e-09	3.736127042600e-08	-6.442069475864e-22	-1.059185627944e-18	-1.621607810603e-16	-8.445158345289e-15	-2.334216630695e-13	-4.211285651727e-12	-5.421817436016e-11	-4.914022391078e-10	-2.463775447311e-09	4.788010328737e-09
2.174559276041e+01	3.077452392214e-08	4.090158853649e-07	5.969916645925e-07	6.955833323480e-07	7.621754348643e-07	8.144794467954e-07	8.592145088014e-07	9.003503169629e-07	9.419927144549e-07	9.967034637495e-07	-4.338778284455e-08	-2.607845588529e-08	1.339279589040e-07	2.691361512458e-07	3.565968428263e-07	4.194587469271e-07	4.716536512387e-07	5.194249350904e-07	5.677670442119e-07	6.312793490173e-07	-8.028910314804e-09	-4.236542079536e-08	-1.933962108653e-08	7.376990953451e-08	1.689090374268e-07	2.393266436757e-07	2.931471962624e-07	3.406010253582e-07	3.883319265659e-07	4.510192180042e-07	-9.642676567639e-10	-1.364045910022e-08	-3.276335176776e-08	-1.436397030560e-08	4.948851071588e-08	1.219251066038e-07	1.804398485143e-07	2.282290817875e-07	2.746168689436e-07	3.352810269832e-07	-8.176227174627e-11	-2.512780162940e-09	-1.338553271579e-08	-2.525672324892e-08	-1.093021631666e-08	3.773792146691e-08	9.695473356176e-08	1.478732226683e-07	1.936482160782e-07	2.520010082699e-07	-4.570572795587e-12	-2.861918426624e-10	-2.895922918507e-09	-1.122626413927e-08	-1.962552215460e-08	-8.389819248136e-09	3.189726940244e-08	8.370219490149e-08	1.312267673724e-07	1.875183894841e-07	-1.442989693079e-13	-1.845165524737e-11	-3.379043874321e-10	-2.395719111703e-09	-8.510140339828e-09	-1.517997186806e-08	-6.335569478121e-09	2.985099558213e-08	7.897339239680e-08	1.347227274445e-07	-1.940592633408e-15	-5.270029139735e-13	-1.767538773186e-11	-2.238843287355e-10	-1.484813190034e-09	-5.641950941097e-09	-1.132382376786e-08	-4.397427776262e-09	3.178380052928e-08	8.876153287994e-08	-6.109652161479e-18	-3.787201607216e-15	-2.493083466615e-13	-5.894614016314e-12	-7.415015473879e-11	-5.756980715568e-10	-2.807653384119e-09	-7.436345969834e-09	-1.923406705851e-09	4.446618214686e-08	-7.578501419321e-22	-1.249035326108e-18	-1.916455274118e-16	-1.000192508672e-14	-2.770493785676e-13	-5.010146289924e-12	-6.468144531431e-11	-5.883391128481e-10	-2.966421466993e-09	5.737908934593e-09
2.967015060279e+01	1.597699227365e-08	3.141885258481e-07	4.721597874762e-07	5.552353909170e-07	6.109987844189e-07	6.547121337733e-07	6.920890754459e-07	7.264579951509e-07	7.612501381551e-07	8.069608633382e-07	-3.899412659405e-08	-2.837006574575e-08	1.176936076813e-07	2.453644130610e-07	3.285067462181e-07	3.880514124549e-07	4.373742145841e-07	4.824939633878e-07	5.281507026539e-07	5.881348473310e-07	-7.599859698201e-09	-4.158941339734e-08	-2.125418128038e-08	6.992749801591e-08	1.651586110458e-07	2.360962932259e-07	2.902142865098e-07	3.378351528267e-07	3.857125504864e-07	4.485902264483e-07	-9.481778559992e-10	-1.370812767351e-08	-3.372228081966e-08	-1.601600337204e-08	4.924199549717e-08	1.244700549793e-07	1.855599456594e-07	2.353863305300e-07	2.836784055509e-07	3.468170243763e-07	-8.276903794703e-11	-2.583677911260e-09	-1.396337430701e-08	-2.680700467795e-08	-1.234640874843e-08	3.893032439849e-08	1.021103191431e-07	1.566536890261e-07	2.056207124152e-07	2.679833246176e-07	-4.737206586896e-12	-3.002561174208e-10	-3.069530287027e-09	-1.202613764296e-08	-2.130728794985e-08	-9.590265462185e-09	3.388665959935e-08	9.036853772737e-08	1.423159106339e-07	2.037576599247e-07	-1.526473655590e-13	-1.971053661564e-11	-3.637832370597e-10	-2.598847715405e-09	-9.308539134587e-09	-1.678471536216e-08	-7.328500281150e-09	3.253008730252e-08	8.709202983349e-08	1.490616003147e-07	-2.092218897088e-15	-5.725184367828e-13	-1.931935488651e-11	-2.461058629616e-10	-1.641944465901e-09	-6.281459454724e-09	-1.272210744293e-08	-5.160850836317e-09	3.544951335497e-08	9.980023718288e-08	-6.713665098744e-18	-4.184485401644e-15	-2.767326366368e-13	-6.571107509320e-12	-8.302047454005e-11	-6.476782891863e-10	-3.176945135239e-09	-8.482059722304e-09	-2.341245089306e-09	5.073517925510e-08	-8.511645250890e-22	-1.407431824011e-18	-2.165918201265e-16	-1.133645976245e-14	-3.149354107603e-13	-5.713324108083e-12	-7.403389659686e-11	-6.766592573841e-10	-3.437804550870e-09	6.606648738682e-09
4.048258635629e+01	8.826803131081e-09	2.335591246622e-07	3.555469385689e-07	4.201779602906e-07	4.634098248225e-07	4.972439947720e-07	5.261656167740e-07	5.527590194144e-07	5.796798677855e-07	6.150491027487e-07	-3.107984927852e-08	-2.631254784762e-08	9.159983335960e-08	1.987133285057e-07	2.691597442842e-07	3.194313373876e-07	3.609490749996e-07	3.989028946537e-07	4.373058490382e-07	4.877598001350e-07	-6.377413128163e-09	-3.639041528885e-08	-2.104639297514e-08	5.849867764432e-08	1.440400922537e-07	2.083544430121e-07	2.573163254695e-07	3.002824843380e-07	3.434521710868e-07	4.001444777151e-07	-8.321201555556e-10	-1.236726457990e-08	-3.138584789582e-08	-1.642996688136e-08	4.374131327141e-08	1.146815507729e-07	1.727337718189e-07	2.200043332595e-07	2.657211560702e-07	3.254707456150e-07	-7.539185357216e-11	-2.402900148590e-09	-1.324291169275e-08	-2.603060235947e-08	-1.298050449304e-08	3.631221629839e-08	9.814489634591e-08	1.518380897985e-07	1.999533415844e-07	2.611473763715e-07	-4.453483225331e-12	-2.870304769554e-10	-2.976222101864e-09	-1.183374633495e-08	-2.135983787255e-08	-1.028455341241e-08	3.293728268522e-08	8.991569529780e-08	1.425163592760e-07	2.046051640403e-07	-1.475973354289e-13	-1.931964373047e-11	-3.604823626693e-10	-2.602824416981e-09	-9.431862672231e-09	-1.726621236874e-08	-8.003173875536e-09	3.278073749964e-08	8.928008091145e-08	1.535234717746e-07	-2.077365161107e-15	-5.745654550026e-13	-1.955553766012e-11	-2.511210880562e-10	-1.689513810943e-09	-6.525319261376e-09	-1.338458141855e-08	-5.753955193137e-09	3.691675749007e-08	1.051305100851e-07	-6.846935117858e-18	-4.300622233422e-15	-2.862637230128e-13	-6.838519943959e-12	-8.692930700507e-11	-6.827740716747e-10	-3.376241241249e-09	-9.115414541110e-09	-2.737407643843e-09	5.455217031649e-08	-8.951526184365e-22	-1.486986814792e-18	-2.297904377625e-16	-1.207590977271e-14	-3.368549562455e-13	-6.138079913565e-12	-7.995151356450e-11	-7.356663347625e-10	-3.777261670228e-09	7.193323721496e-09
5.523530433110e+01	1.950725121159e-09	1.704616011582e-07	2.624147808847e-07	3.111695549297e-07	3.438068683613e-07	3.693416396389e-07	3.911664408012e-07	4.112340471506e-07	4.315487320651e-07	4.582386359067e-07	-2.336067681894e-08	-1.990279772260e-08	6.830870772147e-08	1.497609277130e-07	2.038200651385e-07	2.423698936154e-07	2.741424256827e-07	3.031705683793e-07	3.325402974229e-07	3.711262626850e-07	-4.833522257700e-09	-2.821743152012e-08	-1.773291258907e-08	4.376449855317e-08	1.117128293576e-07	1.633520637194e-07	2.026189417388e-07	2.369801184979e-07	2.714780738808e-07	3.167795725298e-07	-6.476418876523e-10	-9.848332369344e-09	-2.574185660797e-08	-1.476537230125e-08	3.410682120197e-08	9.324580113406e-08	1.421259844542e-07	1.818710337239e-07	2.202090169855e-07	2.702904306068e-07	-6.057927806340e-11	-1.971951371614e-09	-1.110184690316e-08	-2.242024280590e-08	-1.219380761012e-08	2.975871165675e-08	8.360821247304e-08	1.307491015521e-07	1.729032988163e-07	2.264178465554e-07	-3.697135613594e-12	-2.428782140533e-10	-2.561299359606e-09	-1.037047356086e-08	-1.916165010669e-08	-9.995755831854e-09	2.836836796127e-08	7.995703183520e-08	1.278410874581e-07	1.842120824269e-07	-1.265850651549e-13	-1.684999695719e-11	-3.187800667435e-10	-2.333568719042e-09	-8.586301556670e-09	-1.603665253344e-08	-8.010801432979e-09	2.960336275213e-08	8.258924277538e-08	1.429458612277e-07	-1.841618276191e-15	-5.164989104201e-13	-1.777996139606e-11	-2.307842731294e-10	-1.570380086803e-09	-6.144454265935e-09	-1.282388162040e-08	-5.941460426039e-09	3.487644743119e-08	1.009522500221e-07	-6.287799547145e-18	-3.990866140719e-15	-2.680065291430e-13	-6.455592775037e-12	-8.275774869204e-11	-6.561340245685e-10	-3.281206290737e-09	-8.998010650868e-09	-3.009429727620e-09	5.390107437090e-08	-8.573660325080e-22	-1.433349895955e-18	-2.227938889399e-16	-1.177453620088e-14	-3.303407228989e-13	-6.056927507237e-12	-7.947230884023e-11	-7.382054776113e-10	-3.847112401136e-09	7.231248010715e-09
7.536422741615e+01	-1.942631978619e-09	1.154759517788e-07	1.841226794534e-07	2.201962897278e-07	2.442529052982e-07	2.630673187159e-07	2.791477602043e-07	2.939334650786e-07	3.089012129182e-07	3.285661868050e-07	-1.830433164430e-08	-1.510926493739e-08	5.381334313548e-08	1.162173213763e-07	1.574931593055e-07	1.870001623333e-07	2.113452122321e-07	2.335897011257e-07	2.560958853408e-07	2.856645053429e-07	-3.712483977371e-09	-2.123445310094e-08	-1.284975603216e-08	3.334400143369e-08	8.419457885050e-08	1.229592890747e-07	1.524850306106e-07	1.783117781501e-07	2.042340722675e-07	2.382732375558e-07	-4.870458641329e-10	-7.357239763847e-09	-1.923382546231e-08	-1.123661780668e-08	2.517267299589e-08	6.972022594118e-08	1.067961878766e-07	1.369531532535e-07	1.659971110573e-07	2.039235870125e-07	-4.523272377016e-11	-1.476550964113e-09	-8.371568000937e-09	-1.713672383917e-08	-9.793683047322e-09	2.203656157429e-08	6.361548822873e-08	1.002969161190e-07	1.330604951894e-07	1.745854966399e-07	-2.777242978562e-12	-1.840318990498e-10	-1.960017420792e-09	-8.036854640219e-09	-1.512692001805e-08	-8.411078317846e-09	2.160168291932e-08	6.275314098104e-08	1.011917468836e-07	1.463301410293e-07	-9.664186906645e-14	-1.301444165866e-11	-2.488935952625e-10	-1.843468236629e-09	-6.879183173581e-09	-1.310430781942e-08	-7.033589435423e-09	2.348652555670e-08	6.730826713150e-08	1.173563065901e-07	-1.440628328413e-15	-4.089867902527e-13	-1.423015148370e-11	-1.866851439353e-10	-1.285358104083e-09	-5.100814958182e-09	-1.085683667031e-08	-5.455033984537e-09	2.905003664374e-08	8.580076246927e-08	-5.081962497109e-18	-3.260695322796e-15	-2.210814764891e-13	-5.374848134482e-12	-6.957574310492e-11	-5.577635715029e-10	-2.827571240087e-09	-7.905723230547e-09	-2.989921950150e-09	4.744422010029e-08	-7.258975603946e-22	-1.222874438295e-18	-1.914294763015e-16	-1.018782633641e-14	-2.878905348936e-13	-5.320430406962e-12	-7.046744831442e-11	-6.626990460128e-10	-3.522602787231e-09	6.501953286843e-09
1.028285594298e+02	-8.848410545390e-10	7.504275962945e-08	1.207907415181e-07	1.452577620140e-07	1.614561386597e-07	1.740894205912e-07	1.848829727236e-07	1.948072236850e-07	2.048536546169e-07	2.180528881889e-07	-1.277061251834e-08	-1.335450033804e-08	3.640916058790e-08	8.373825715813e-08	1.150549714870e-07	1.373113717381e-07	1.556454982604e-07	1.723956558441e-07	1.893428698039e-07	2.116081199210e-07	-2.828252029496e-09	-1.679078212220e-08	-1.051086467556e-08	2.604696874823e-08	6.604826023656e-08	9.633887834777e-08	1.193981779646e-07	1.395939339359e-07	1.598716847057e-07	1.864995550364e-07	-3.840916103013e-10	-5.806160974998e-09	-1.500698849050e-08	-8.367410870972e-09	2.014108546472e-08	5.446703327564e-08	8.288157305132e-08	1.060244164881e-07	1.283443671142e-07	1.574960215909e-07	-3.558399053763e-11	-1.149388567927e-09	-6.434827116696e-09	-1.296460258694e-08	-7.100413866517e-09	1.710686531764e-08	4.841240063348e-08	7.599081982218e-08	1.006600180375e-07	1.319382471723e-07	-2.147266090398e-12	-1.406538808208e-10	-1.483964380742e-09	-6.032844423652e-09	-1.126359044953e-08	-6.159948673832e-09	1.623263525478e-08	4.690733208710e-08	7.561360639250e-08	1.093306300530e-07	-7.329515940818e-14	-9.790134843376e-12	-1.862605769521e-10	-1.374683077972e-09	-5.120628210511e-09	-9.763161067499e-09	-5.303269299031e-09	1.741040962604e-08	5.025267524335e-08	8.784322335410e-08	-1.077081480003e-15	-3.048254263241e-13	-1.059562426337e-11	-1.390624173614e-10	-9.593051560776e-10	-3.822576434436e-09	-8.203721698894e-09	-4.290232053220e-09	2.177827736148e-08	6.512996327344e-08	-3.784544171631e-18	-2.432339125991e-15	-1.653413146609e-13	-4.033189305594e-12	-5.243495528415e-11	-4.228273621522e-10	-2.161725654454e-09	-6.128229709842e-09	-2.532447409356e-09	3.687430407659e-08	-5.489803873131e-22	-9.288906150955e-19	-1.460591386097e-16	-7.810206783939e-15	-2.218589483436e-13	-4.125102448166e-12	-5.505627434161e-11	-5.233880957962e-10	-2.834924631158e-09	5.130940286913e-09
1.403014798522e+02	-5.869495619269e-10	4.976538256620e-08	7.983641811096e-08	9.580400577632e-08	1.064294140292e-07	1.147195574590e-07	1.218012690755e-07	1.283124508803e-07	1.349037842604e-07	1.435636304747e-07	-8.247166175172e-09	-7.929018637990e-09	2.322982967102e-08	5.330618019226e-08	7.368469430788e-08	8.817461609278e-08	1.000581711249e-07	1.109015583911e-07	1.218711706669e-07	1.362829897400e-07	-1.779526041934e-09	-1.095093842851e-08	-8.081499982589e-09	1.567714493111e-08	4.341450516961e-08	6.485410368911e-08	8.109414736693e-08	9.523924821270e-08	1.094259935597e-07	1.280541799738e-07	-2.533568898556e-10	-4.038540348250e-09	-1.112220283047e-08	-7.220191959408e-09	1.362995535142e-08	3.969557424404e-08	6.141866354463e-08	7.903375549516e-08	9.598337201905e-08	1.181160304060e-07	-2.526743431475e-11	-8.514874123332e-10	-4.933115836748e-09	-1.024864865794e-08	-5.972312149378e-09	1.299870688207e-08	3.773065772424e-08	5.947279805634e-08	7.888827612534e-08	1.035089709613e-07	-1.622933414348e-12	-1.089932061008e-10	-1.167398042141e-09	-4.789744023861e-09	-8.972301732926e-09	-4.875211182727e-09	1.296321273150e-08	3.720391329581e-08	5.979154837401e-08	8.634927627465e-08	-5.754227377645e-14	-7.756037909116e-12	-1.479848462567e-10	-1.091376291826e-09	-4.047144984769e-09	-7.640545625409e-09	-3.985833219901e-09	1.384471214482e-08	3.930757284316e-08	6.840463752236e-08	-8.561863540374e-16	-2.418825114271e-13	-8.375093710535e-12	-1.093397000779e-10	-7.490832770641e-10	-2.958098964043e-09	-6.268562158999e-09	-3.126938022101e-09	1.680476714496e-08	4.967128292350e-08	-2.977457064590e-18	-1.901482550811e-15	-1.284697013659e-13	-3.114931633177e-12	-4.024361477631e-11	-3.222883345758e-10	-1.634811223100e-09	-4.590628086100e-09	-1.821332481028e-09	2.763446868923e-08	-4.194600168831e-22	-7.064467262370e-19	-1.106300273301e-16	-5.893589931821e-15	-1.668261212085e-13	-3.091306975103e-12	-4.112060415471e-11	-3.897018021118e-10	-2.107450021693e-09	3.801401683865e-09
1.914303317860e+02	1.706406483208e-10	3.276125967108e-08	5.216067700025e-08	6.257155647429e-08	6.947093555060e-08	7.484959390816e-08	7.944447230920e-08	8.366921887087e-08	8.794597277579e-08	9.356487093766e-08	-5.373598518902e-09	-5.747688269949e-09	1.513992652995e-08	3.544341870551e-08	4.896063712142e-08	5.856175238468e-08	6.645881457331e-08	7.366905534061e-08	8.096342574220e-08	9.054672576654e-08	-1.209133399225e-09	-7.350091977615e-09	-4.871064670394e-09	1.104593128651e-08	2.879692360175e-08	4.242452699743e-08	5.282121441273e-08	6.189719729214e-08	7.099855316947e-08	8.294864434165e-08	-1.684147601639e-10	-2.585268363836e-09	-6.845176663637e-09	-4.212752162080e-09	8.584474708265e-09	2.465707373715e-08	3.826341730238e-08	4.934175224377e-08	5.997008032291e-08	7.383638098372e-08	-1.594528101137e-11	-5.259655387561e-10	-3.031512997730e-09	-6.400019796662e-09	-4.071527042638e-09	7.608208497699e-09	2.352528844584e-08	3.781625916153e-08	5.054172210851e-08	6.661179228560e-08	-9.967998289725e-13	-6.737479240626e-11	-7.343103071151e-10	-3.101047214961e-09	-6.084727683458e-09	-3.831990883631e-09	8.020617189531e-09	2.493044460689e-08	4.088939928390e-08	5.953575009338e-08	-3.600489819859e-14	-4.982947612335e-12	-9.769905889794e-11	-7.425609912392e-10	-2.852164856324e-09	-5.633042693393e-09	-3.368257039430e-09	9.604946725799e-09	2.873728291943e-08	5.062708979752e-08	-5.679537940512e-16	-1.655792448276e-13	-5.887200492173e-12	-7.878348931760e-11	-5.533295023852e-10	-2.242235292463e-09	-4.889990226481e-09	-2.658258519327e-09	1.284505968954e-08	3.866296768575e-08	-2.141780473324e-18	-1.399870422643e-15	-9.631417842941e-14	-2.371365530966e-12	-3.105981494022e-11	-2.519079920430e-10	-1.292396739467e-09	-3.662564407180e-09	-1.478748076786e-09	2.197392255482e-08	-3.265935682686e-22	-5.542849068918e-19	-8.729821753770e-17	-4.670900465505e-15	-1.326430560038e-13	-2.463199444654e-12	-3.279230787648e-11	-3.102856235624e-10	-1.665163809772e-09	3.036762884182e-09
