# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
1.168084470542e+01	3.097866605910e-05	7.912084655846e-06	1.193020799139e-06	1.309785726731e-07	1.050408905071e-08	5.641171805326e-10	1.724567655306e-11	2.256481052660e-13	6.904612904227e-16	8.316632583879e-20	1.514750358921e-05	7.401092362422e-06	1.959384163418e-06	3.309927547879e-07	3.574810684198e-08	2.217368596947e-09	6.137141467923e-11	4.278418405230e-13	1.369991472053e-16	9.644599805273e-06	5.668735478936e-06	1.883589562548e-06	3.723515637439e-07	4.117010738857e-08	2.070872150438e-09	2.823920206623e-11	2.101916892595e-14	6.815162876521e-06	4.319192939531e-06	1.546482687028e-06	3.004872820455e-07	2.656861279867e-08	6.715747593288e-10	1.098019632509e-12	5.070994056789e-06	3.286953769830e-06	1.141255894633e-06	1.809198077133e-07	8.539609741645e-09	3.049966146953e-11	3.867782699231e-06	2.461098262442e-06	7.304680891210e-07	6.773765849495e-08	5.550233407995e-10	2.967623190262e-06	1.751254985820e-06	3.473526048162e-07	7.266444653790e-09	2.234966585591e-06	1.079545614447e-06	6.854815428701e-08	1.561877329006e-06	4.008709387359e-07	6.754854538146e-07
1.593759367225e+01	2.996757665288e-05	8.497606936626e-06	1.324365206244e-06	1.484938107467e-07	1.209578596477e-08	6.576696060763e-10	2.032084686283e-11	2.685526762944e-13	8.300938704092e-16	1.011674939111e-19	1.672965331670e-05	8.347884447742e-06	2.245391158143e-06	3.841533183719e-07	4.193508193474e-08	2.625976214666e-09	7.333279839631e-11	5.158708661628e-13	1.669461552096e-16	1.102935080326e-05	6.558280134799e-06	2.201036446939e-06	4.390339291810e-07	4.895288285643e-08	2.482416144991e-09	3.413318685455e-11	2.565486144960e-14	7.952664396138e-06	5.080049180663e-06	1.832538705427e-06	3.586640538200e-07	3.194342847568e-08	8.135948430242e-10	1.342267643345e-12	6.001984329611e-06	3.914546019353e-06	1.367599363172e-06	2.181854564723e-07	1.036935919832e-08	3.734307853697e-11	4.629805560463e-06	2.961450817066e-06	8.838421888908e-07	8.245867469482e-08	6.807185422895e-10	3.586704356803e-06	2.126698267609e-06	4.240674493367e-07	8.929825559019e-09	2.725247740379e-06	1.322541044526e-06	8.445290382590e-08	1.921619323131e-06	4.956560823502e-07	8.400611319574e-07
2.174559276041e+01	2.649843991362e-05	8.436224893398e-06	1.375128312972e-06	1.586636954009e-07	1.320250500266e-08	7.303192085372e-10	2.290613203233e-11	3.068460701212e-13	9.615452293780e-16	1.190711292432e-19	1.725137726461e-05	8.857704433113e-06	2.434620288571e-06	4.239104865325e-07	4.697592713046e-08	2.980594192458e-09	8.423980601672e-11	5.999623336315e-13	1.969564138118e-16	1.192464676087e-05	7.204900535257e-06	2.452171084053e-06	4.953321434421e-07	5.586444210428e-08	2.864071089813e-09	3.983006378412e-11	3.033186949202e-14	8.842642242402e-06	5.711698538154e-06	2.081665361568e-06	4.114130144241e-07	3.700494463134e-08	9.523136615988e-10	1.590295865474e-12	6.807179343455e-06	4.476761819935e-06	1.577138866521e-06	2.538167288357e-07	1.217504711801e-08	4.433784431928e-11	5.331210779555e-06	3.434632207637e-06	1.032801608906e-06	9.714572638781e-08	8.100888949778e-10	4.184837869738e-06	2.497363979328e-06	5.015507854561e-07	1.065551448804e-08	3.217905443107e-06	1.571507889968e-06	1.011166235838e-07	2.296527676445e-06	5.963108421506e-07	1.018509606988e-06
2.967015060279e+01	2.132879521507e-05	7.521445001382e-06	1.299478348131e-06	1.559425001803e-07	1.336142021086e-08	7.566979752152e-10	2.422108516728e-11	3.306775693570e-13	1.056144945559e-15	1.337512917714e-19	1.615181528418e-05	8.622828478690e-06	2.441641134986e-06	4.354808046764e-07	4.925311927011e-08	3.182156393786e-09	9.147023094053e-11	6.626472686308e-13	2.219786020295e-16	1.191202803423e-05	7.356711237184e-06	2.552067114995e-06	5.244327545593e-07	6.009885046256e-08	3.128680864071e-09	4.419848250508e-11	3.428849880265e-14	9.178326672094e-06	6.018645131844e-06	2.224930755075e-06	4.458180604375e-07	4.065083155802e-08	1.061387095894e-09	1.802950891176e-12	7.259532936566e-06	4.830613109956e-06	1.721769432587e-06	2.804417219197e-07	1.362946934368e-08	5.041288927653e-11	5.808131076432e-06	3.778964010106e-06	1.148356059644e-06	1.092723726318e-07	9.239412796575e-10	4.643076747677e-06	2.796222902140e-06	5.672431660507e-07	1.219666427900e-08	3.631084085977e-06	1.788722696607e-06	1.162701796842e-07	2.634162675329e-06	6.901877913976e-07	1.191377981189e-06
4.048258635629e+01	1.617670414777e-05	5.964004230237e-06	1.088619455536e-06	1.367664956401e-07	1.216678077199e-08	7.112621951777e-10	2.341835988373e-11	3.283114742147e-13	1.076896517110e-15	1.406064834978e-19	1.339939776377e-05	7.475005576118e-06	2.197125240023e-06	4.046083480789e-07	4.706269847087e-08	3.118406067878e-09	9.177974342951e-11	6.808758609132e-13	2.344073256263e-16	1.066430363411e-05	6.779195509614e-06	2.413684863050e-06	5.079706622868e-07	5.952599921602e-08	3.165874730123e-09	4.570693226728e-11	3.635696298360e-14	8.648657409602e-06	5.791181863576e-06	2.183789225940e-06	4.460639804742e-07	4.145723126235e-08	1.104123646582e-09	1.919363862103e-12	7.103192923200e-06	4.804698408376e-06	1.740710789715e-06	2.883055147707e-07	1.426262858066e-08	5.388740436005e-11	5.855100953391e-06	3.862364227077e-06	1.190757144636e-06	1.150874725482e-07	9.919999935062e-10	4.800496120794e-06	2.926856716591e-06	6.018754257738e-07	1.316291049000e-08	3.840752065607e-06	1.914943559355e-06	1.263059809348e-07	2.851394571048e-06	7.567786052296e-07	1.325846813281e-06
5.523530433110e+01	1.213225192031e-05	4.485466603350e-06	8.246458395710e-07	1.064173868739e-07	9.775639983358e-09	5.904760651254e-10	2.008372846973e-11	2.910094023024e-13	9.887500014069e-16	1.346705147077e-19	1.011708696456e-05	5.769277432841e-06	1.746318779496e-06	3.317829391958e-07	3.980771061131e-08	2.718955413489e-09	8.248042587907e-11	6.316980168713e-13	2.259548345191e-16	8.437564830945e-06	5.511819196067e-06	2.017855824296e-06	4.366396675437e-07	5.260539186278e-08	2.877189046673e-09	4.278135847210e-11	3.525121854272e-14	7.200390169038e-06	4.938519972105e-06	1.907841898266e-06	3.994017078317e-07	3.807521682736e-08	1.041982724926e-09	1.871558867140e-12	6.181559739248e-06	4.268971757797e-06	1.580140526832e-06	2.676819932732e-07	1.357262506918e-08	5.284771173057e-11	5.294585581158e-06	3.557741924034e-06	1.118736110128e-06	1.105250347975e-07	9.788796425111e-10	4.491957842733e-06	2.786255063946e-06	5.841449472422e-07	1.308202388198e-08	3.711093276033e-06	1.882039956079e-06	1.266704746140e-07	2.845702937082e-06	7.687962393809e-07	1.375066568084e-06
7.536422741615e+01	8.629339603856e-06	3.478523127047e-06	6.312058567741e-07	7.989414023004e-08	7.293985199388e-09	4.434494380027e-10	1.533315453143e-11	2.276524737057e-13	7.991764191740e-16	1.140264975827e-19	7.777121345679e-06	4.349933767315e-06	1.303999353160e-06	2.483078301255e-07	3.015488670149e-08	2.099827130418e-09	6.530693789142e-11	5.161540886308e-13	1.927674975080e-16	6.304156439477e-06	4.117823203380e-06	1.520045410207e-06	3.339235961272e-07	4.105788446997e-08	2.302333594000e-09	3.529141614954e-11	3.028492095299e-14	5.414484927668e-06	3.757996013996e-06	1.475663017075e-06	3.152323951048e-07	3.078801790961e-08	8.674586426109e-10	1.619034327763e-12	4.767389218088e-06	3.346686089779e-06	1.263034760682e-06	2.189136248651e-07	1.140714010609e-08	4.604417725473e-11	4.216509885204e-06	2.885429867093e-06	9.267471596301e-07	9.388477752287e-08	8.595427359302e-10	3.704499675257e-06	2.342677249164e-06	5.024927581062e-07	1.159366320961e-08	3.175297520142e-06	1.644320177574e-06	1.136036797708e-07	2.535920037700e-06	7.014716480987e-07	1.290736748095e-06
1.028285594298e+02	5.626453221421e-06	2.402994246512e-06	4.762683581478e-07	6.249357835747e-08	5.702514374485e-09	3.414220868851e-10	1.159913979721e-11	1.699891321999e-13	5.948816047192e-16	8.623588104572e-20	5.790356218134e-06	3.384047087527e-06	1.021926481753e-06	1.924108200840e-07	2.297837504957e-08	1.576781613472e-09	4.863448252681e-11	3.848901850013e-13	1.464305698872e-16	4.943534954150e-06	3.203997126914e-06	1.165789419280e-06	2.523518787270e-07	3.068952300292e-08	1.713292669108e-09	2.638552138437e-11	2.310790967050e-14	4.162171108137e-06	2.851295012307e-06	1.107293471923e-06	2.349173012504e-07	2.292332759217e-08	6.507549547067e-10	1.241177537239e-12	3.582720915354e-06	2.497863101961e-06	9.399400589380e-07	1.633027465576e-07	8.594663840312e-09	3.548014375554e-11	3.138344415997e-06	2.149036003101e-06	6.939396017683e-07	7.114495015531e-08	6.662807596650e-10	2.769604210701e-06	1.765445812520e-06	3.837948684454e-07	9.053993560106e-09	2.416797730618e-06	1.269853450591e-06	8.963581475952e-08	1.989979325712e-06	5.625658281553e-07	1.067133264092e-06
1.403014798522e+02	3.700489883664e-06	1.553040464248e-06	3.014330014117e-07	4.130588355085e-08	4.035724799640e-09	2.563053203805e-10	9.035343362383e-12	1.341738113337e-13	4.655573569595e-16	6.570331867939e-20	3.662905750966e-06	2.201275778491e-06	7.068362681177e-07	1.415145707677e-07	1.766268753205e-08	1.239646027824e-09	3.834275187544e-11	2.995180896639e-13	1.110819680898e-16	3.385841419640e-06	2.320461202943e-06	8.834001537813e-07	1.967863082120e-07	2.420628788161e-08	1.346383252273e-09	2.042029940721e-11	1.746264863524e-14	3.136206994587e-06	2.209559835305e-06	8.710706009115e-07	1.852709215394e-07	1.793334425474e-08	5.008738983415e-10	9.346578437737e-13	2.814347717971e-06	1.971068315690e-06	7.389264081922e-07	1.270072238441e-07	6.577365875505e-09	2.662978093852e-11	2.470279834070e-06	1.678831360417e-06	5.357047061494e-07	5.410653841923e-08	4.984995405012e-10	2.143754207069e-06	1.350728771141e-06	2.898668486891e-07	6.753519696724e-09	1.830518198409e-06	9.520910015735e-07	6.668458484150e-08	1.482551461557e-06	4.180743774180e-07	7.986007040276e-07
1.914303317860e+02	2.387183977216e-06	1.007160530486e-06	2.020331559583e-07	2.719402416287e-08	2.547753808629e-09	1.584349216377e-10	5.685901829328e-12	8.907201198706e-14	3.334248818226e-16	5.076354702623e-20	2.446202866454e-06	1.462621817290e-06	4.524048256810e-07	8.789475316260e-08	1.098886716327e-08	7.988784988573e-10	2.620326755297e-11	2.192816936336e-13	8.646666033220e-17	2.180238495568e-06	1.449177639209e-06	5.469534625158e-07	1.243069620795e-07	1.598510325628e-08	9.430459915952e-10	1.521043448070e-11	1.366997931681e-14	1.940315319589e-06	1.383459835703e-06	5.633130897265e-07	1.256526906869e-07	1.285226718013e-08	3.785539504937e-10	7.348953262294e-13	1.808215213813e-06	1.315363657343e-06	5.162485995163e-07	9.311519379941e-08	5.036034539627e-09	2.100920768376e-11	1.711296952974e-06	1.210768830874e-06	4.017335881535e-07	4.192554648539e-08	3.942363412482e-10	1.595859728581e-06	1.034737140021e-06	2.270097480917e-07	5.347679693675e-09	1.427824224120e-06	7.516064318431e-07	5.277018730270e-08	1.173536130053e-06	3.293388233096e-07	6.188882885965e-07
2.611916279594e+02	1.569750268671e-06	6.434944110717e-07	1.266269875697e-07	1.708792126213e-08	1.656743322470e-09	1.067374944996e-10	3.848175163433e-12	5.825460157563e-14	2.068485885683e-16	3.109853400363e-20	1.538134484617e-06	9.154608105082e-07	2.902929876078e-07	5.852775126803e-08	7.451658415634e-09	5.333689839929e-10	1.677494606116e-11	1.345348900468e-13	5.332634420032e-17	1.391479959204e-06	9.559312567162e-07	3.696721960597e-07	8.393036768058e-08	1.049313348074e-08	5.934268169502e-10	9.279495855121e-12	8.500819767868e-15	1.308673514207e-06	9.374237674316e-07	3.752124887485e-07	8.089489338440e-08	7.973584085805e-09	2.305783596728e-10	4.615855292936e-13	1.209569845627e-06	8.569276026373e-07	3.254318148917e-07	5.712522005484e-08	3.074253707827e-09	1.335447576348e-11	1.085022456952e-06	7.484751566473e-07	2.448769529505e-07	2.577307472796e-08	2.543086722698e-10	9.739669157521e-07	6.317668626655e-07	1.415349054995e-07	3.516238523393e-09	8.841830983248e-07	4.804892771205e-07	3.563332019927e-08	7.814197548219e-07	2.314833765026e-07	4.623294710822e-07
3.563754284892e+02	1.058297434937e-06	4.158569297038e-07	8.072514143262e-08	1.086905850851e-08	1.045657322652e-09	6.620826670520e-11	2.351936993493e-12	3.597113531846e-14	1.342760056288e-16	2.122333137885e-20	9.818936127589e-07	5.825458579621e-07	1.838708356968e-07	3.656116061879e-08	4.577045776293e-09	3.263506266289e-10	1.052544979208e-11	8.888773221751e-14	3.638139236370e-17	8.825090721752e-07	5.999311652211e-07	2.284208593947e-07	5.131670084213e-08	6.469401892144e-09	3.787655461678e-10	6.212525986765e-12	5.783001146891e-15	8.105065384706e-07	5.740726761957e-07	2.297994190010e-07	5.054214956691e-08	5.179664257523e-09	1.558713116931e-10	3.123978060301e-13	7.398105394763e-07	5.307105503548e-07	2.073327763914e-07	3.778172661410e-08	2.091540071630e-09	8.970693843838e-12	6.870809843943e-07	4.886360537661e-07	1.646946617023e-07	1.757511188882e-08	1.690670477403e-10	6.517239446069e-07	4.299088044011e-07	9.610778453585e-08	2.303901098730e-09	6.020792956503e-07	3.214011472134e-07	2.286090478842e-08	5.068778963036e-07	1.440010195167e-07	2.796055834662e-07
4.862462362330e+02	7.360708140692e-07	2.759132199105e-07	5.238136264345e-08	6.945887800723e-09	6.587476029919e-10	4.136461136767e-11	1.471141819542e-12	2.257886607594e-14	8.372220351932e-17	1.281703030551e-20	6.393040993012e-07	3.737494130004e-07	1.163698950298e-07	2.289343500812e-08	2.859490847047e-09	2.045689874677e-10	6.602229287904e-12	5.509604204147e-14	2.186670298852e-17	5.596549768358e-07	3.764753292813e-07	1.426812118683e-07	3.210954937842e-08	4.059645117585e-09	2.370085011306e-10	3.825919608139e-12	3.464401362379e-15	5.063560855454e-07	3.588698472019e-07	1.440717877159e-07	3.170901854528e-08	3.227875330039e-09	9.533470815705e-11	1.868167562319e-13	4.636218091014e-07	3.330781076391e-07	1.297725672836e-07	2.339968851939e-08	1.270055829056e-09	5.365054788783e-12	4.304827234388e-07	3.040901641036e-07	1.011048017405e-07	1.059459646150e-08	1.013828077854e-10	4.014022160333e-07	2.609659409017e-07	5.758800040604e-08	1.391202118656e-09	3.614795600808e-07	1.925041564268e-07	1.401811865782e-08	3.083406739910e-07	9.126629192877e-08	1.869986469027e-07
