# ells	P1-P1	P1-P2	P1-P3	P1-P4	P1-P5	P1-P6	P1-P7	P1-P8	P1-P9	P1-P10	P2-P2	P2-P3	P2-P4	P2-P5	P2-P6	P2-P7	P2-P8	P2-P9	P2-P10	P3-P3	P3-P4	P3-P5	P3-P6	P3-P7	P3-P8	P3-P9	P3-P10	P4-P4	P4-P5	P4-P6	P4-P7	P4-P8	P4-P9	P4-P10	P5-P5	P5-P6	P5-P7	P5-P8	P5-P9	P5-P10	P6-P6	P6-P7	P6-P8	P6-P9	P6-P10	P7-P7	P7-P8	P7-P9	P7-P10	P8-P8	P8-P9	P8-P10	P9-P9	P9-P10	P10-P10
1.168084470542e+01	3.105938231475e-05	7.918594931304e-06	1.193130806019e-06	1.309723935239e-07	1.050371398068e-08	5.641061638981e-10	1.724551556956e-11	2.256474662717e-13	6.904621650584e-16	8.316662441646e-20	1.515013092083e-05	7.400823826732e-06	1.959301167498e-06	3.309844612018e-07	3.574763310108e-08	2.217355837968e-09	6.137135587953e-11	4.278427206273e-13	1.369996617417e-16	9.644166258454e-06	5.668569748216e-06	1.883557342722e-06	3.723482478183e-07	4.116996839095e-08	2.070872739223e-09	2.823927554211e-11	2.101925018754e-14	6.815036235549e-06	4.319145859019e-06	1.546474351633e-06	3.004868429859e-07	2.656864616990e-08	6.715767870452e-10	1.098023954334e-12	5.070962942596e-06	3.286945467238e-06	1.141256076921e-06	1.809201846694e-07	8.539638450994e-09	3.049978242713e-11	3.867781740202e-06	2.461101967557e-06	7.304701301127e-07	6.773790560785e-08	5.550255262242e-10	2.967630838269e-06	1.751260895268e-06	3.473539470019e-07	7.266472133131e-09	2.234975053823e-06	1.079549872223e-06	6.854837814358e-08	1.561882856045e-06	4.008716726363e-07	6.754856408435e-07
1.593759367225e+01	3.005498608453e-05	8.516580849671e-06	1.325924101806e-06	1.485710950759e-07	1.209686429568e-08	6.576429577037e-10	2.032015133123e-11	2.685480337263e-13	8.300892868765e-16	1.011677122108e-19	1.675214477591e-05	8.353569137204e-06	2.245855500957e-06	3.841476390525e-07	4.193336538790e-08	2.625910119898e-09	7.333191621682e-11	5.158692804816e-13	1.669466314707e-16	1.103224290713e-05	6.558387072206e-06	2.200943312507e-06	4.390194198998e-07	4.895196455608e-08	2.482395205927e-09	3.413314190215e-11	2.565494845256e-14	7.952336972527e-06	5.079859005336e-06	1.832494350788e-06	3.586592332149e-07	3.194325165102e-08	8.135949146372e-10	1.342272784910e-12	6.001827185182e-06	3.914481733819e-06	1.367587331224e-06	2.181848071044e-07	1.036937274661e-08	3.734323492640e-11	4.629759327268e-06	2.961436665104e-06	8.838415950069e-07	8.245887422648e-08	6.807215733734e-10	3.586699361942e-06	2.126701145129e-06	4.240689053369e-07	8.929866100462e-09	2.725256032853e-06	1.322546670653e-06	8.445325228938e-08	1.921627659326e-06	4.956572728356e-07	8.400614428040e-07
2.174559276041e+01	2.656152384051e-05	8.462037452164e-06	1.378550549427e-06	1.589627225231e-07	1.321817654211e-08	7.307986818263e-10	2.291121694519e-11	3.069118342584e-13	9.616654783475e-16	1.190705197429e-19	1.729598982109e-05	8.876065742619e-06	2.438048600562e-06	4.242702445981e-07	4.699404397100e-08	2.981096534594e-09	8.425986783588e-11	5.999939206326e-13	1.969557247429e-16	1.194259274613e-05	7.211989345020e-06	2.453529814165e-06	4.954415910418e-07	5.587562636701e-08	2.864628265306e-09	3.983069317849e-11	3.033181307350e-14	8.848088682784e-06	5.713344237875e-06	2.082018790589e-06	4.115079149632e-07	3.700953017993e-08	9.523136179962e-10	1.590295264114e-12	6.808317212240e-06	4.477734757690e-06	1.577455201241e-06	2.538302019197e-07	1.217498609577e-08	4.433788641140e-11	5.332377633078e-06	3.434982402302e-06	1.032809939218e-06	9.714529854706e-08	8.100906310727e-10	4.184914541456e-06	2.497351659378e-06	5.015499501478e-07	1.065554797759e-08	3.217896310676e-06	1.571509949541e-06	1.011169855047e-07	2.296535306504e-06	5.963122683793e-07	1.018510007353e-06
2.967015060279e+01	2.135400656547e-05	7.546090218180e-06	1.303716433750e-06	1.563828576542e-07	1.339234403862e-08	7.581595792393e-10	2.425947013887e-11	3.311777385554e-13	1.057508968489e-15	1.338128611463e-19	1.620516217946e-05	8.648440780650e-06	2.447669242799e-06	4.363840759215e-07	4.933773722391e-08	3.186989735584e-09	9.160627785556e-11	6.633872457475e-13	2.220566475306e-16	1.194226543656e-05	7.372686664634e-06	2.556791220515e-06	5.252612759494e-07	6.018960050653e-08	3.133083843358e-09	4.423994794571e-11	3.429779805576e-14	9.195760261133e-06	6.028506703441e-06	2.228302613300e-06	4.464838701055e-07	4.070285194802e-08	1.062195260328e-09	1.803346587067e-12	7.270578802517e-06	4.837895804714e-06	1.724208989248e-06	2.807497243367e-07	1.363748255229e-08	5.042301111253e-11	5.816546738142e-06	3.783638231152e-06	1.149341049645e-06	1.093181694152e-07	9.241394790769e-10	4.647455750675e-06	2.797845761020e-06	5.673978352531e-07	1.219971417928e-08	3.632261157459e-06	1.789102176809e-06	1.163008998874e-07	2.634837280952e-06	6.902990501306e-07	1.191404659386e-06
4.048258635629e+01	1.617254332837e-05	5.977919400663e-06	1.092055626719e-06	1.372140708096e-07	1.220473201812e-08	7.133289826530e-10	2.347915086953e-11	3.291414859549e-13	1.079422868225e-15	1.408340610669e-19	1.344045244668e-05	7.499561232580e-06	2.204098430925e-06	4.058215341069e-07	4.719084343776e-08	3.126285321750e-09	9.201133991708e-11	6.823505115697e-13	2.347707704823e-16	1.069840196528e-05	6.799891561187e-06	2.420536936735e-06	5.092861942074e-07	5.967626758954e-08	3.173652211244e-09	4.579788093920e-11	3.641114467974e-14	8.673552344398e-06	5.806520201800e-06	2.189301377779e-06	4.471896445230e-07	4.155391132108e-08	1.106149064204e-09	1.922112518496e-12	7.121162590028e-06	4.816840077411e-06	1.745001391661e-06	2.889249139816e-07	1.428691665683e-08	5.396159038293e-11	5.869698833800e-06	3.871204966829e-06	1.193041732447e-06	1.152704671512e-07	9.933102416684e-10	4.810077080633e-06	2.931827956893e-06	6.027663703526e-07	1.317932570356e-08	3.846610275700e-06	1.917544143571e-06	1.264436717414e-07	2.854744150898e-06	7.572696445093e-07	1.325985454488e-06
5.523530433110e+01	1.212836920275e-05	4.491610500128e-06	8.264064156718e-07	1.066953249199e-07	9.803910676693e-09	5.922771228394e-10	2.014652040664e-11	2.919914339679e-13	9.920166432148e-16	1.349961029690e-19	1.013747648199e-05	5.783745591599e-06	1.751222101063e-06	3.327799264216e-07	3.993063316296e-08	2.727750991948e-09	8.276402997362e-11	6.336700780727e-13	2.264684974150e-16	8.460943598877e-06	5.528155049226e-06	2.024040421641e-06	4.380126458694e-07	5.278138215133e-08	2.886974100419e-09	4.290676878551e-11	3.532658704785e-14	7.222396076058e-06	4.953881556658e-06	1.914042152336e-06	4.007680133259e-07	3.820038892586e-08	1.044843057126e-09	1.875326569721e-12	6.201455805314e-06	4.283421438154e-06	1.585523339299e-06	2.685120985435e-07	1.360734715550e-08	5.294843753301e-11	5.312727457640e-06	3.569289564555e-06	1.121920492407e-06	1.107853428154e-07	9.806575797012e-10	4.505149387924e-06	2.793361223165e-06	5.853830797081e-07	1.310457579551e-08	3.719318210587e-06	1.885578414877e-06	1.268645690128e-07	2.850359254649e-06	7.695046758141e-07	1.375267863433e-06
7.536422741615e+01	8.637723752233e-06	3.483105568393e-06	6.327213475909e-07	8.010269507897e-08	7.312915363019e-09	4.446454588286e-10	1.537681791799e-11	2.284138958501e-13	8.019430947930e-16	1.143485703939e-19	7.794798307044e-06	4.361256579409e-06	1.307378309370e-06	2.489670096588e-07	3.023825384309e-08	2.106268160712e-09	6.553599650373e-11	5.178637306987e-13	1.932957310635e-16	6.320504244805e-06	4.128636000765e-06	1.524181375841e-06	3.348866770859e-07	4.119294225567e-08	2.310445276818e-09	3.540297174407e-11	3.036535954554e-14	5.429143101814e-06	3.768566398968e-06	1.480234696352e-06	3.163243298280e-07	3.089410774805e-08	8.700842207740e-10	1.623200401560e-12	4.781862072024e-06	3.357972014657e-06	1.267485599806e-06	2.196351946733e-07	1.144029818439e-08	4.615915763386e-11	4.231382451342e-06	2.895278553437e-06	9.296193771466e-07	9.414634927799e-08	8.616256363289e-10	3.716227796761e-06	2.349476795920e-06	5.038200204857e-07	1.162052621942e-08	3.183878671599e-06	1.648386370850e-06	1.138353472379e-07	2.541465942626e-06	7.023033852901e-07	1.290967746413e-06
1.028285594298e+02	5.656180329883e-06	2.408652976274e-06	4.775045758479e-07	6.270625646916e-08	5.724324324360e-09	3.427276243927e-10	1.164116262045e-11	1.706034268634e-13	5.969136436656e-16	8.646658223852e-20	5.804539224588e-06	3.394903689880e-06	1.025732374716e-06	1.931534741829e-07	2.306347172244e-08	1.582456204247e-09	4.880904075689e-11	3.861492573676e-13	1.468063593252e-16	4.961695403461e-06	3.216372291459e-06	1.170196736579e-06	2.532660973597e-07	3.080023080354e-08	1.719315110174e-09	2.646780137912e-11	2.316538194125e-14	4.178012903292e-06	2.861718866392e-06	1.111278087637e-06	2.357619280614e-07	2.300139435728e-08	6.526809605640e-10	1.244208958074e-12	3.595609407607e-06	2.506876463413e-06	9.432522331138e-07	1.638340286891e-07	8.618702092753e-09	3.556660694890e-11	3.149494524925e-06	2.156278382305e-06	6.960529728986e-07	7.133224319081e-08	6.679199726679e-10	2.778249272678e-06	1.770370119316e-06	3.847510747881e-07	9.076270345333e-09	2.422933355853e-06	1.272966196926e-06	8.983660461594e-08	1.994665108127e-06	5.632950819001e-07	1.067332586640e-06
1.403014798522e+02	3.735597681655e-06	1.566077359071e-06	3.033656513157e-07	4.148618556261e-08	4.051426047704e-09	2.574398744929e-10	9.080889804332e-12	1.349232667245e-13	4.680770966761e-16	6.596031957635e-20	3.688129139593e-06	2.211819986621e-06	7.096009127156e-07	1.421059953531e-07	1.774746634127e-08	1.246234671267e-09	3.856112383035e-11	3.010372935706e-13	1.114949821175e-16	3.399205133585e-06	2.329811794172e-06	8.874374614865e-07	1.977859066925e-07	2.434018209115e-08	1.353934920977e-09	2.051709790707e-11	1.752496271535e-14	3.150271025271e-06	2.220489618418e-06	8.757277123278e-07	1.863204455875e-07	1.802988416492e-08	5.030921405469e-10	9.378898053935e-13	2.829210393439e-06	1.982112572297e-06	7.430799502158e-07	1.276470474076e-07	6.604527061547e-09	2.671979972786e-11	2.484271998943e-06	1.687733540420e-06	5.381673320974e-07	5.431402582523e-08	5.001484908118e-10	2.153936746751e-06	1.356289157065e-06	2.908990369320e-07	6.774865492730e-09	1.837223755558e-06	9.552862661980e-07	6.686501162699e-08	1.486913039118e-06	4.186864725867e-07	7.987605294521e-07
1.914303317860e+02	2.414197014425e-06	1.020552279969e-06	2.043509295981e-07	2.750081803793e-08	2.573771329824e-09	1.596758344418e-10	5.718909960917e-12	8.956014689859e-14	3.353614626067e-16	5.109273558222e-20	2.474751561735e-06	1.479155335846e-06	4.572554995143e-07	8.866713885677e-08	1.106059036196e-08	8.032422337098e-10	2.635103160862e-11	2.205714204725e-13	8.703626178088e-17	2.204015037280e-06	1.462835267917e-06	5.509572504084e-07	1.250246985266e-07	1.607254673854e-08	9.484594993592e-10	1.530164043027e-11	1.376073322721e-14	1.955113866454e-06	1.391879098879e-06	5.663853970198e-07	1.263556930914e-07	1.292696247668e-08	3.808841148840e-10	7.397884984651e-13	1.818125727329e-06	1.322611896020e-06	5.192071257364e-07	9.366458970106e-08	5.067962994259e-09	2.114906587933e-11	1.721049142785e-06	1.217827877386e-06	4.041718161247e-07	4.219882109365e-08	3.968439498672e-10	1.605430795844e-06	1.041307137203e-06	2.285155810727e-07	5.381986617522e-09	1.437244575555e-06	7.565931285281e-07	5.306706154950e-08	1.180621387590e-06	3.303777632616e-07	6.191656855584e-07
