# ells	P1-E1	P1-E2	P1-E3	P1-E4	P1-E5	P1-E6	P1-E7	P1-E8	P1-E9	P1-E10	P2-E1	P2-E2	P2-E3	P2-E4	P2-E5	P2-E6	P2-E7	P2-E8	P2-E9	P2-E10	P3-E1	P3-E2	P3-E3	P3-E4	P3-E5	P3-E6	P3-E7	P3-E8	P3-E9	P3-E10	P4-E1	P4-E2	P4-E3	P4-E4	P4-E5	P4-E6	P4-E7	P4-E8	P4-E9	P4-E10	P5-E1	P5-E2	P5-E3	P5-E4	P5-E5	P5-E6	P5-E7	P5-E8	P5-E9	P5-E10	P6-E1	P6-E2	P6-E3	P6-E4	P6-E5	P6-E6	P6-E7	P6-E8	P6-E9	P6-E10	P7-E1	P7-E2	P7-E3	P7-E4	P7-E5	P7-E6	P7-E7	P7-E8	P7-E9	P7-E10	P8-E1	P8-E2	P8-E3	P8-E4	P8-E5	P8-E6	P8-E7	P8-E8	P8-E9	P8-E10	P9-E1	P9-E2	P9-E3	P9-E4	P9-E5	P9-E6	P9-E7	P9-E8	P9-E9	P9-E10	P10-E1	P10-E2	P10-E3	P10-E4	P10-E5	P10-E6	P10-E7	P10-E8	P10-E9	P10-E10
1.168084470542e+01	8.920446084054e-08	5.503104257502e-07	7.496786145678e-07	8.548380406142e-07	9.266465989288e-07	9.832039245498e-07	1.031594451455e-06	1.076092854625e-06	1.121139288643e-06	1.180322352685e-06	-3.980787706231e-08	-1.733672503423e-08	1.263549923525e-07	2.429809655133e-07	3.179051373843e-07	3.720036081293e-07	4.170470651943e-07	4.582964491763e-07	5.000408836829e-07	5.548851983079e-07	-6.889328757525e-09	-3.476148836741e-08	-1.357859603812e-08	6.307784296586e-08	1.394000471732e-07	1.954700597104e-07	2.384266695224e-07	2.763922047168e-07	3.145993867315e-07	3.647805582443e-07	-7.901207706215e-10	-1.088681912005e-08	-2.538458635688e-08	-9.967783783347e-09	3.993951031478e-08	9.545803230778e-08	1.400241310138e-07	1.764846348709e-07	2.119414734924e-07	2.583245249824e-07	-6.467742169663e-11	-1.949775742917e-09	-1.020058500265e-08	-1.883028434813e-08	-7.483891060689e-09	2.914088428997e-08	7.301531689726e-08	1.105581087811e-07	1.443678401200e-07	1.875182816769e-07	-3.511309639962e-12	-2.165501748225e-10	-2.163215538704e-09	-8.274301933576e-09	-1.421995597564e-08	-5.667402542421e-09	2.374877095949e-08	6.109249609530e-08	9.524317503452e-08	1.357681285535e-07	-1.080561752059e-13	-1.364875722220e-11	-2.474997621256e-10	-1.737944181960e-09	-6.108720133376e-09	-1.074607332006e-08	-4.218335882842e-09	2.152620484886e-08	5.610437412194e-08	9.531133522071e-08	-1.418793309977e-15	-3.816011651002e-13	-1.269989704896e-11	-1.596978331017e-10	-1.051076498537e-09	-3.959189511566e-09	-7.853681557623e-09	-2.873202109778e-09	2.225234992830e-08	6.150576494188e-08	-4.359992352669e-18	-2.683762916839e-15	-1.756298578530e-13	-4.129768867189e-12	-5.165888529759e-11	-3.985860805975e-10	-1.929403140704e-09	-5.057076494463e-09	-1.193196970437e-09	3.022850831317e-08	-5.258466570322e-22	-8.629940590434e-19	-1.319036795301e-16	-6.858298951344e-15	-1.892497876412e-13	-3.408277427667e-12	-4.378792605305e-11	-3.957855061258e-10	-1.975702582579e-09	3.853912255814e-09
1.593759367225e+01	5.703729274569e-08	4.947370476246e-07	6.966669690861e-07	8.027784648567e-07	8.748885759030e-07	9.316184475717e-07	9.801494830377e-07	1.024776604846e-06	1.069953324293e-06	1.129307559744e-06	-4.318145040717e-08	-2.170872522268e-08	1.355537754707e-07	2.652057367842e-07	3.487092927049e-07	4.088957529093e-07	4.589541019241e-07	5.047855361858e-07	5.511660253300e-07	6.121011977919e-07	-7.677904744014e-09	-3.942340448593e-08	-1.641846805431e-08	7.037905666749e-08	1.577073780415e-07	2.220778798163e-07	2.713507309831e-07	3.148531410994e-07	3.586221458552e-07	4.161072609509e-07	-8.964742747762e-10	-1.248217198925e-08	-2.946986020048e-08	-1.216853863536e-08	4.554183230960e-08	1.103440086830e-07	1.625282749225e-07	2.051833671756e-07	2.466274283865e-07	3.008352090865e-07	-7.442895593919e-11	-2.262503514077e-09	-1.193562704873e-08	-2.227279255234e-08	-9.245975185296e-09	3.389044546111e-08	8.595504360697e-08	1.305979331715e-07	1.707666172661e-07	2.220059287146e-07	-4.092912274783e-12	-2.542811643775e-10	-2.556622888379e-09	-9.844809889328e-09	-1.705617998153e-08	-7.020569422976e-09	2.813428810764e-08	7.300636363681e-08	1.140942869304e-07	1.628130010663e-07	-1.275494071611e-13	-1.621051630134e-11	-2.953375229885e-10	-2.082885762867e-09	-7.354488079308e-09	-1.301349143944e-08	-5.244297217353e-09	2.586591120682e-08	6.783625853875e-08	1.154427246108e-07	-1.694510536793e-15	-4.577077494218e-13	-1.528319669807e-11	-1.927703286031e-10	-1.272804711922e-09	-4.811907022523e-09	-9.592237755832e-09	-3.599616200701e-09	2.707142031211e-08	7.514758082743e-08	-5.261952288994e-18	-3.248464376990e-15	-2.131101580186e-13	-5.022633560031e-12	-6.297533697282e-11	-4.871689962863e-10	-2.365586260139e-09	-6.227490760301e-09	-1.528434915672e-09	3.722968448471e-08	-6.421261370175e-22	-1.055698739253e-18	-1.616178549178e-16	-8.416429034165e-15	-2.326149537924e-13	-4.196487120838e-12	-5.402399322586e-11	-4.895988022782e-10	-2.454299136494e-09	4.770602158207e-09
2.174559276041e+01	3.054387742703e-08	4.087572549437e-07	5.965436063721e-07	6.950345703117e-07	7.615649625185e-07	8.138219343016e-07	8.585169306893e-07	8.996159209413e-07	9.412210338019e-07	9.958828075183e-07	-4.329651477728e-08	-2.594487588016e-08	1.336898353929e-07	2.685224231600e-07	3.557325781881e-07	4.184175657344e-07	4.704672460176e-07	5.181059350289e-07	5.663138950963e-07	6.296499549186e-07	-8.006249786376e-09	-4.222468146329e-08	-1.924363023395e-08	7.355970754182e-08	1.683577269959e-07	2.385167257385e-07	2.921409864346e-07	3.394230471692e-07	3.869814749398e-07	4.494422765277e-07	-9.610439421015e-10	-1.359077308174e-08	-3.263315019243e-08	-1.429009481428e-08	4.931506804935e-08	1.214547069461e-07	1.797250758002e-07	2.273156046485e-07	2.735115561636e-07	3.339250624831e-07	-8.145626281806e-11	-2.502832061801e-09	-1.332980812107e-08	-2.514524386946e-08	-1.087159533419e-08	3.758700754587e-08	9.653760708940e-08	1.472240661274e-07	1.927918690519e-07	2.508814142271e-07	-4.551965098363e-12	-2.849768941282e-10	-2.883194990349e-09	-1.117513927365e-08	-1.953211531274e-08	-8.343183361130e-09	3.175480521126e-08	8.330889689046e-08	1.306068654318e-07	1.866325597063e-07	-1.436690017817e-13	-1.836841230142e-11	-3.363398049379e-10	-2.384348228322e-09	-8.468736418810e-09	-1.510465243309e-08	-6.306515805315e-09	2.969381504510e-08	7.859330787230e-08	1.341042140068e-07	-1.931564537395e-15	-5.244898441117e-13	-1.758959296711e-11	-2.227857967994e-10	-1.477559123124e-09	-5.615744775411e-09	-1.128154792930e-08	-4.410717804996e-09	3.164540432226e-08	8.847681845160e-08	-6.079638122021e-18	-3.768603210670e-15	-2.481129922588e-13	-5.867983464440e-12	-7.385194001850e-11	-5.738356555601e-10	-2.801563513987e-09	-7.427985682500e-09	-1.928028861110e-09	4.439981693730e-08	-7.551598382198e-22	-1.245381403312e-18	-1.911960633131e-16	-9.983344751416e-15	-2.766346947958e-13	-5.003772550936e-12	-6.460460573047e-11	-5.876104351994e-10	-2.962251267456e-09	5.730619922247e-09
2.967015060279e+01	1.558281478109e-08	3.141481487136e-07	4.723021492923e-07	5.554568041303e-07	6.112770530077e-07	6.550363429911e-07	6.924527467484e-07	7.268579758008e-07	7.616868651785e-07	8.074458762403e-07	-3.901988378403e-08	-2.827907752226e-08	1.178285821813e-07	2.454331869129e-07	3.285207492113e-07	3.880312142890e-07	4.373282586630e-07	4.824249389194e-07	5.280583816996e-07	5.880119212586e-07	-7.595656122870e-09	-4.153117007791e-08	-2.117653511689e-08	6.988253607801e-08	1.649451745959e-07	2.357486303677e-07	2.897660987691e-07	3.373003693741e-07	3.850911323389e-07	4.478550705605e-07	-9.468262430680e-10	-1.368266033273e-08	-3.364456943190e-08	-1.595594907100e-08	4.916064011870e-08	1.242023614882e-07	1.851345782318e-07	2.348335886301e-07	2.830036318488e-07	3.459830142887e-07	-8.260403180117e-11	-2.577772584653e-09	-1.392764167325e-08	-2.672951635871e-08	-1.229639122321e-08	3.883930066872e-08	1.018300603240e-07	1.562058271291e-07	2.050236492084e-07	2.671973969698e-07	-4.725666335469e-12	-2.994546098420e-10	-3.060728636238e-09	-1.198918723805e-08	-2.123634284385e-08	-9.549122175158e-09	3.378809620196e-08	9.007730411291e-08	1.418448484530e-07	2.030756015878e-07	-1.522155286798e-13	-1.965104967256e-11	-3.626306226007e-10	-2.590234850648e-09	-9.276211891397e-09	-1.672294041653e-08	-7.295287449988e-09	3.241955573838e-08	8.677573617308e-08	1.485106290289e-07	-2.085532273526e-15	-5.706051512597e-13	-1.925253366351e-11	-2.452276583277e-10	-1.635896019241e-09	-6.257490525327e-09	-1.267130243331e-08	-5.135892965096e-09	3.531303347107e-08	9.939992256818e-08	-6.689755972035e-18	-4.169139623379e-15	-2.756929518415e-13	-6.545868834581e-12	-8.269449753854e-11	-6.450735529465e-10	-3.163804716872e-09	-8.445617650148e-09	-2.328213287719e-09	5.051681509696e-08	-8.477698919178e-22	-1.401727745978e-18	-2.157011980207e-16	-1.128919200421e-14	-3.136037916058e-13	-5.688802877484e-12	-7.371059390836e-11	-6.736382021878e-10	-3.421932843964e-09	6.574721283367e-09
4.048258635629e+01	8.266894597816e-09	2.328600347838e-07	3.550090352383e-07	4.197100296649e-07	4.629845388034e-07	4.968518423225e-07	5.258018181140e-07	5.524213051057e-07	5.793685512771e-07	6.147724740405e-07	-3.115679152869e-08	-2.634779965840e-08	9.185253686639e-08	1.991674517946e-07	2.697285531678e-07	3.200836708958e-07	3.616729858733e-07	3.996928691636e-07	4.381627334970e-07	4.887045940042e-07	-6.389719761737e-09	-3.643506618267e-08	-2.101911117177e-08	5.863063393197e-08	1.442174372932e-07	2.085473280533e-07	2.575236951103e-07	3.005059106650e-07	3.436924891284e-07	4.004070483474e-07	-8.330605620793e-10	-1.237298297710e-08	-3.137331243645e-08	-1.637948512234e-08	4.378169539308e-08	1.146635720375e-07	1.726572141839e-07	2.198827842087e-07	2.655585506269e-07	3.252549942521e-07	-7.540677146615e-11	-2.401928264126e-09	-1.322997995538e-08	-2.598833011041e-08	-1.293482350421e-08	3.629002576079e-08	9.801390675752e-08	1.516068915248e-07	1.996342803877e-07	2.607182415986e-07	-4.450262812473e-12	-2.866864639169e-10	-2.971564639606e-09	-1.181127631953e-08	-2.131143781533e-08	-1.024860245646e-08	3.288279737225e-08	8.972668493479e-08	1.421994888262e-07	2.041396690320e-07	-1.473759140471e-13	-1.928463952009e-11	-3.597494405842e-10	-2.597011597495e-09	-9.408810978431e-09	-1.721930990059e-08	-7.973007044381e-09	3.270406327653e-08	8.904291928625e-08	1.531024337037e-07	-2.073059690807e-15	-5.732611567617e-13	-1.950810722578e-11	-2.504755632794e-10	-1.684913211798e-09	-6.506413837225e-09	-1.334269677811e-08	-5.730023453370e-09	3.680809071530e-08	1.047990151600e-07	-6.829401309053e-18	-4.289005322911e-15	-2.854564981914e-13	-6.818479764753e-12	-8.666479191066e-11	-6.806118637295e-10	-3.365053994904e-09	-9.083399959519e-09	-2.723951573386e-09	5.436020949551e-08	-8.923566995346e-22	-1.482217767898e-18	-2.290360353399e-16	-1.203538645647e-14	-3.357000206291e-13	-6.116559314722e-12	-7.966406507460e-11	-7.329378415858e-10	-3.762581419846e-09	7.166480272680e-09
5.523530433110e+01	1.474939198553e-09	1.692631274814e-07	2.611209557220e-07	3.098200262927e-07	3.424128082830e-07	3.679111911170e-07	3.897047276575e-07	4.097435821788e-07	4.300291546686e-07	4.566808144105e-07	-2.339320311876e-08	-1.997709089195e-08	6.837929891067e-08	1.500018147743e-07	2.041703294953e-07	2.427957806425e-07	2.746305800970e-07	3.037157112477e-07	3.331431187701e-07	3.718048633660e-07	-4.843775849127e-09	-2.828572270435e-08	-1.777165392230e-08	4.387640129201e-08	1.119714657697e-07	1.637137942772e-07	2.030586992426e-07	2.374893893274e-07	2.720575795638e-07	3.174513645891e-07	-6.491683352328e-10	-9.869762756460e-09	-2.578846069985e-08	-1.477390010963e-08	3.419442320405e-08	9.342457758803e-08	1.423694055589e-07	1.821669338209e-07	2.205576223636e-07	2.707085016006e-07	-6.070443415052e-11	-1.975462666959e-09	-1.111801369331e-08	-2.244227793542e-08	-1.218527450874e-08	2.981964861651e-08	8.370567621969e-08	1.308665557181e-07	1.730403996727e-07	2.265827555662e-07	-3.703095964292e-12	-2.431922190604e-10	-2.563773593508e-09	-1.037623913779e-08	-1.916053205959e-08	-9.973115475966e-09	2.839988555766e-08	7.996761225812e-08	1.278231075769e-07	1.841653255005e-07	-1.267169340686e-13	-1.686122609577e-11	-3.188789118310e-10	-2.333377396430e-09	-8.581552231257e-09	-1.601737503738e-08	-7.982145299445e-09	2.959484614345e-08	8.249871193345e-08	1.427593779134e-07	-1.842072626545e-15	-5.164154051318e-13	-1.777075989144e-11	-2.305843635007e-10	-1.568428739911e-09	-6.134149018908e-09	-1.279516602824e-08	-5.915512952834e-09	3.481280389578e-08	1.007248411945e-07	-6.282516604027e-18	-3.986126829098e-15	-2.676085308832e-13	-6.444225635643e-12	-8.258952766262e-11	-6.546165219341e-10	-3.272665130607e-09	-8.971723601194e-09	-2.995268946881e-09	5.374445775710e-08	-8.554617410438e-22	-1.429906959736e-18	-2.222258282103e-16	-1.174302315003e-14	-3.294190203211e-13	-6.039360230453e-12	-7.923240030392e-11	-7.358696303452e-10	-3.834076568135e-09	7.208160914230e-09
7.536422741615e+01	-2.220358204157e-09	1.142372536262e-07	1.825479283844e-07	2.184537296220e-07	2.423903512915e-07	2.611091814184e-07	2.771077269563e-07	2.918181180734e-07	3.067096200764e-07	3.262744233749e-07	-1.826777383332e-08	-1.519113102672e-08	5.366377011510e-08	1.160626262718e-07	1.573360058040e-07	1.868390673954e-07	2.111797536912e-07	2.334199994704e-07	2.559218677426e-07	2.854848165369e-07	-3.713139319040e-09	-2.125165835951e-08	-1.287150722142e-08	3.335260353092e-08	8.424822416284e-08	1.230534856191e-07	1.526093469948e-07	1.784615010400e-07	2.044091568184e-07	2.384816199141e-07	-4.874176740486e-10	-7.364032524628e-09	-1.925702691458e-08	-1.126250590490e-08	2.518982939567e-08	6.980355235717e-08	1.069343802469e-07	1.371344284030e-07	1.662197202253e-07	2.042002412874e-07	-4.527758854763e-11	-1.478399351857e-09	-8.384391574810e-09	-1.716673142453e-08	-9.812167492287e-09	2.207345627516e-08	6.371937951473e-08	1.004560257708e-07	1.332688381730e-07	1.748570270165e-07	-2.781176817141e-12	-1.843293199881e-10	-1.963312447483e-09	-8.049960849241e-09	-1.514878084637e-08	-8.416966105319e-09	2.164208221375e-08	6.284555898723e-08	1.013286245814e-07	1.465207538695e-07	-9.680490600216e-14	-1.303587438102e-11	-2.492785898557e-10	-1.846060456793e-09	-6.887537037138e-09	-1.311640054872e-08	-7.032438793395e-09	2.351923946145e-08	6.737185675338e-08	1.174520879668e-07	-1.442830488671e-15	-4.095492979026e-13	-1.424760998698e-11	-1.868847537480e-10	-1.286495695616e-09	-5.104137772447e-09	-1.086016725773e-08	-5.448643522399e-09	2.906817769733e-08	8.581714145138e-08	-5.087470295771e-18	-3.263677886982e-15	-2.212489688660e-13	-5.378069455404e-12	-6.960538147415e-11	-5.578843903260e-10	-2.827382478815e-09	-7.901490184189e-09	-2.978580554222e-09	4.741409337837e-08	-7.261130150651e-22	-1.223055603768e-18	-1.914295981323e-16	-1.018623186864e-14	-2.877946511228e-13	-5.317534431518e-12	-7.040981256538e-11	-6.618997522661e-10	-3.516048345495e-09	6.493793552173e-09
1.028285594298e+02	-1.101054759017e-09	7.390704531063e-08	1.193126408431e-07	1.435825461823e-07	1.596495611074e-07	1.721794115586e-07	1.828844117302e-07	1.927272309605e-07	2.026912243432e-07	2.157821514724e-07	-1.270558335509e-08	-1.325194359148e-08	3.618353704129e-08	8.326419099461e-08	1.144440455298e-07	1.365986986255e-07	1.548463505747e-07	1.715170197452e-07	1.883837658071e-07	2.105432952598e-07	-2.811555700930e-09	-1.672823031912e-08	-1.054653243107e-08	2.589136017337e-08	6.581604598496e-08	9.605293674904e-08	1.190687247029e-07	1.392245804546e-07	1.594619325083e-07	1.860367253121e-07	-3.828372764394e-10	-5.797186587851e-09	-1.499956686892e-08	-8.378429753649e-09	2.010444678803e-08	5.441402316938e-08	8.281746733838e-08	1.059499471741e-07	1.282594118321e-07	1.573972695301e-07	-3.554234024392e-11	-1.148591609082e-09	-6.432344010662e-09	-1.296450254035e-08	-7.106207409432e-09	1.709937368624e-08	4.840395825474e-08	7.598149257531e-08	1.006501639151e-07	1.319274502211e-07	-2.146125662489e-12	-1.406184704623e-10	-1.483894954760e-09	-6.033218635275e-09	-1.126422973390e-08	-6.160488370990e-09	1.623118128396e-08	4.690820193536e-08	7.561911837021e-08	1.093408329319e-07	-7.328998686735e-14	-9.790508398733e-12	-1.862689780656e-10	-1.374726717625e-09	-5.120948707821e-09	-9.765358529538e-09	-5.308391206213e-09	1.741010790799e-08	5.026581342996e-08	8.787126727359e-08	-1.077127609552e-15	-3.048338035347e-13	-1.059630745937e-11	-1.390834152210e-10	-9.595776016817e-10	-3.824302370455e-09	-8.208822787349e-09	-4.294159712906e-09	2.178998028208e-08	6.516541336102e-08	-3.785061629507e-18	-2.432977747317e-15	-1.654043121234e-13	-4.035129162530e-12	-5.246420602604e-11	-4.230822259117e-10	-2.163013562894e-09	-6.131317035754e-09	-2.531774705709e-09	3.689112988374e-08	-5.493086148993e-22	-9.294597783405e-19	-1.461475242022e-16	-7.814746339350e-15	-2.219795707002e-13	-4.127130341298e-12	-5.507929030669e-11	-5.235463535747e-10	-2.835096081745e-09	5.132834539567e-09
1.403014798522e+02	-6.473471664350e-10	4.880633860294e-08	7.843286940216e-08	9.418870001567e-08	1.046655797436e-07	1.128380937576e-07	1.198191608822e-07	1.262377977612e-07	1.327354447663e-07	1.412722048879e-07	-8.156733863874e-09	-7.995840509010e-09	2.293852622165e-08	5.288038222374e-08	7.314990052488e-08	8.755910553439e-08	9.937697414201e-08	1.101605202515e-07	1.210695858862e-07	1.354018580163e-07	-1.773123092626e-09	-1.091963113583e-08	-8.024046479880e-09	1.565443576288e-08	4.324747178931e-08	6.457079623310e-08	8.072831041779e-08	9.480241305694e-08	1.089177262289e-07	1.274520840981e-07	-2.524539760959e-10	-4.017529385664e-09	-1.104820654837e-08	-7.160202868592e-09	1.354521747287e-08	3.944392664684e-08	6.104629551909e-08	7.856403660815e-08	9.541735868766e-08	1.174237571263e-07	-2.512242577581e-11	-8.459578155682e-10	-4.900789725636e-09	-1.019223790020e-08	-5.969016444965e-09	1.289095103813e-08	3.752383481304e-08	5.918589865203e-08	7.852568022004e-08	1.030485852418e-07	-1.612108834881e-12	-1.083204389865e-10	-1.161380321007e-09	-4.771832865682e-09	-8.953516383197e-09	-4.882187567662e-09	1.291090750176e-08	3.709779622964e-08	5.963543881671e-08	8.613341054077e-08	-5.723010751320e-14	-7.724334365958e-12	-1.475319317206e-10	-1.088864836983e-09	-4.039606282269e-09	-7.627404848585e-09	-3.980766954313e-09	1.381500209193e-08	3.923503754749e-08	6.828503458263e-08	-8.537351226115e-16	-2.413538135041e-13	-8.358938690261e-12	-1.091379101133e-10	-7.477251591336e-10	-2.953052177598e-09	-6.259933735366e-09	-3.127162352191e-09	1.677827691559e-08	4.960773861883e-08	-2.971974276160e-18	-1.898004974169e-15	-1.282418635336e-13	-3.109779031881e-12	-4.018415830904e-11	-3.218841232150e-10	-1.633142174055e-09	-4.586780205996e-09	-1.820849778683e-09	2.761001799423e-08	-4.189017771500e-22	-7.056160942334e-19	-1.105132682991e-16	-5.887891668312e-15	-1.666749500111e-13	-3.088629256815e-12	-4.108620565423e-11	-3.893934346345e-10	-2.106086789858e-09	3.798404322701e-09
1.914303317860e+02	8.822643789660e-11	3.211927960791e-08	5.123937968793e-08	6.149251816436e-08	6.828773863071e-08	7.358530128618e-08	7.811084731160e-08	8.227183806646e-08	8.648404973076e-08	9.201815161331e-08	-5.304031605481e-09	-5.644643384878e-09	1.494111046817e-08	3.493234859258e-08	4.825978268366e-08	5.772926299616e-08	6.551598730118e-08	7.262487835524e-08	7.981666714173e-08	8.926519423535e-08	-1.190400850965e-09	-7.239183451130e-09	-4.839979413027e-09	1.082574784373e-08	2.838409305413e-08	4.188902541617e-08	5.218585597134e-08	6.117090256138e-08	7.018058979062e-08	8.201028980445e-08	-1.659906825732e-10	-2.556812772059e-09	-6.805950179487e-09	-4.242281668572e-09	8.479055519231e-09	2.449264193352e-08	3.804009524863e-08	4.906689038465e-08	5.964607089138e-08	7.344842455499e-08	-1.579638917523e-11	-5.230231954363e-10	-3.022786800345e-09	-6.387525767702e-09	-4.054103953293e-09	7.599667826878e-09	2.345246848151e-08	3.767953364971e-08	5.034962249980e-08	6.635137326277e-08	-9.929854774195e-13	-6.720420531601e-11	-7.322444593811e-10	-3.088469467223e-09	-6.050016992044e-09	-3.797894601748e-09	7.994419395524e-09	2.480415380567e-08	4.066514059256e-08	5.919998764840e-08	-3.591190667068e-14	-4.964205024300e-12	-9.723040564065e-11	-7.384090167549e-10	-2.834518374286e-09	-5.594303999283e-09	-3.337982416642e-09	9.545646787751e-09	2.854245029514e-08	5.028357252335e-08	-5.651162198147e-16	-1.646337862325e-13	-5.851142412762e-12	-7.827064774174e-11	-5.494935785066e-10	-2.225858850434e-09	-4.854721111801e-09	-2.646255679496e-09	1.274830733972e-08	3.841434844304e-08	-2.127927721158e-18	-1.390242227944e-15	-9.562237274442e-14	-2.354036489666e-12	-3.083632367911e-11	-2.502039168198e-10	-1.284764990941e-09	-3.646175255629e-09	-1.482271765439e-09	2.187716124992e-08	-3.243103650229e-22	-5.506351774419e-19	-8.676474584755e-17	-4.644774497825e-15	-1.319740181994e-13	-2.452207407745e-12	-3.266591183924e-11	-3.092663459686e-10	-1.660297119594e-09	3.026735757355e-09
