# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
1.168084470542e+01	6.172616641125e-09	8.530223324488e-09	8.478420492738e-09	8.506631448181e-09	8.547820568102e-09	8.583669387712e-09	8.614674708391e-09	8.643206975009e-09	8.672091396832e-09	8.710040426013e-09	1.855389655932e-08	2.075702157162e-08	2.174076053132e-08	2.246791877740e-08	2.307474452739e-08	2.360198753066e-08	2.408790679331e-08	2.457989201943e-08	2.522627693618e-08	2.514194343780e-08	2.728597953824e-08	2.860769129820e-08	2.965729501893e-08	3.058170296673e-08	3.144062960524e-08	3.231149087492e-08	3.345574888890e-08	3.061304654540e-08	3.270457476603e-08	3.420887011418e-08	3.549095454997e-08	3.669231824754e-08	3.791677967889e-08	3.952671106218e-08	3.560591387404e-08	3.769959622301e-08	3.936836929211e-08	4.089910635851e-08	4.246978720756e-08	4.454070770983e-08	4.043529295147e-08	4.260840992741e-08	4.450223458867e-08	4.642306115995e-08	4.896948173291e-08	4.535580049790e-08	4.773074792951e-08	5.004191104730e-08	5.309780800602e-08	5.068943108943e-08	5.353024859160e-08	5.717245819426e-08	5.708585633371e-08	6.155202023170e-08	6.749184073348e-08
1.593759367225e+01	4.731278130025e-09	6.471936103873e-09	6.263086182921e-09	6.200114816183e-09	6.178117525118e-09	6.164161954296e-09	6.152557374395e-09	6.141907445123e-09	6.131127125716e-09	6.116963697208e-09	1.543907012283e-08	1.742129107661e-08	1.823575591355e-08	1.884278109876e-08	1.935813727975e-08	1.980823641087e-08	2.022339662945e-08	2.064376654423e-08	2.119606222212e-08	2.173706900855e-08	2.379353222307e-08	2.502003799984e-08	2.599281890608e-08	2.685554324570e-08	2.765934421714e-08	2.847466644179e-08	2.954597670605e-08	2.715844467976e-08	2.923548763388e-08	3.070094561374e-08	3.194793571802e-08	3.312115189848e-08	3.431878122655e-08	3.589371417031e-08	3.222636513389e-08	3.435599520704e-08	3.603180785264e-08	3.756788481610e-08	3.914825008760e-08	4.123346307545e-08	3.722187235101e-08	3.947513066926e-08	4.142110945898e-08	4.339526450742e-08	4.601670231549e-08	4.239586781281e-08	4.489958272328e-08	4.732070251772e-08	5.052525598056e-08	4.808921368652e-08	5.113039450771e-08	5.501506253609e-08	5.501975944730e-08	5.987727037333e-08	6.650003155818e-08
2.174559276041e+01	3.508939068284e-09	4.704399756198e-09	4.394229528901e-09	4.267154451310e-09	4.199832519251e-09	4.150090596061e-09	4.107868636885e-09	4.069064514249e-09	4.029783286170e-09	3.978174700481e-09	1.210737912618e-08	1.373131015175e-08	1.431653386490e-08	1.475811983136e-08	1.514447224679e-08	1.548497752992e-08	1.579950073387e-08	1.611800684566e-08	1.653647200892e-08	1.766216206294e-08	1.947797009011e-08	2.050997046636e-08	2.132669830806e-08	2.205892853261e-08	2.274402969811e-08	2.343941551467e-08	2.435316892764e-08	2.265057120675e-08	2.456429167532e-08	2.587877992753e-08	2.699474606578e-08	2.805082690319e-08	2.913130814985e-08	3.055255834984e-08	2.745293511354e-08	2.947509411323e-08	3.103883808392e-08	3.247053118699e-08	3.394893897435e-08	3.590163218815e-08	3.229809222219e-08	3.448844558584e-08	3.635730597463e-08	3.825361946177e-08	4.077736983611e-08	3.741584284558e-08	3.989872647582e-08	4.227948763749e-08	4.543480691885e-08	4.314943055398e-08	4.622111051944e-08	5.012514813683e-08	5.025489287904e-08	5.525566774048e-08	6.228602646695e-08
2.967015060279e+01	2.510781175336e-09	3.330237157476e-09	3.007181164210e-09	2.862004994153e-09	2.780026320733e-09	2.718550547872e-09	2.666283058897e-09	2.618241670775e-09	2.569609439373e-09	2.505715291667e-09	9.049475452867e-09	1.027078132183e-08	1.063426714486e-08	1.091280010952e-08	1.116909539199e-08	1.139842645006e-08	1.161077689650e-08	1.182585922971e-08	1.210844416735e-08	1.355398861744e-08	1.502186800595e-08	1.580276379451e-08	1.641780439445e-08	1.697817588516e-08	1.750588356435e-08	1.804207856812e-08	1.874669655025e-08	1.777906635422e-08	1.939846957449e-08	2.047037028282e-08	2.137671880714e-08	2.224178554187e-08	2.312984343550e-08	2.429845327399e-08	2.198033617489e-08	2.375022668849e-08	2.508605956503e-08	2.630674739826e-08	2.757407655139e-08	2.925054686490e-08	2.633287535146e-08	2.830323746139e-08	2.995608189254e-08	3.163359141948e-08	3.387347709158e-08	3.103824811810e-08	3.332580817851e-08	3.549376641577e-08	3.837253247191e-08	3.642507211069e-08	3.931959543235e-08	4.297366796115e-08	4.324811790809e-08	4.807157218355e-08	5.510975084767e-08
4.048258635629e+01	1.725916903377e-09	2.284414706286e-09	2.013022892074e-09	1.885167031112e-09	1.811625985036e-09	1.756378242967e-09	1.709409536269e-09	1.666239541973e-09	1.622538678531e-09	1.565123478821e-09	6.547274591744e-09	7.433055457333e-09	7.649437477430e-09	7.816097627479e-09	7.979253224294e-09	8.128041695969e-09	8.266254349105e-09	8.406283317225e-09	8.590261387346e-09	9.970182426594e-09	1.107475029017e-08	1.162059252357e-08	1.204657788875e-08	1.244253406001e-08	1.281857351034e-08	1.320121024240e-08	1.370408169645e-08	1.327938385551e-08	1.454228794648e-08	1.534208607689e-08	1.601399548869e-08	1.666238321384e-08	1.733105512018e-08	1.821146801216e-08	1.666504349560e-08	1.808850196766e-08	1.913075825605e-08	2.008019982580e-08	2.107299753084e-08	2.238909548870e-08	2.026409418606e-08	2.189254329799e-08	2.322894134213e-08	2.458528261589e-08	2.640443512885e-08	2.424938109369e-08	2.618812169656e-08	2.799707959381e-08	3.040506739022e-08	2.891976730852e-08	3.143384035062e-08	3.457842077840e-08	3.498146775864e-08	3.928322886331e-08	4.584874366910e-08
5.523530433110e+01	1.171825898297e-09	1.499384790478e-09	1.277601325548e-09	1.170407609868e-09	1.107067406960e-09	1.059194425176e-09	1.018472176299e-09	9.810425474350e-10	9.431526321755e-10	8.933719903659e-10	4.580850902505e-09	5.229913547172e-09	5.374806184819e-09	5.484736120424e-09	5.595856115091e-09	5.698370416508e-09	5.793810807584e-09	5.890526093602e-09	6.017597153970e-09	7.122720132825e-09	7.934700187723e-09	8.318320122474e-09	8.614170201357e-09	8.892853404705e-09	9.159288986853e-09	9.430740621770e-09	9.787520570554e-09	9.594856543094e-09	1.053238904305e-08	1.110569781652e-08	1.158345845545e-08	1.204888287801e-08	1.253099965267e-08	1.316615772966e-08	1.215785037305e-08	1.323083203187e-08	1.399452626508e-08	1.468719559063e-08	1.541677132017e-08	1.638618804189e-08	1.492770117628e-08	1.617742877271e-08	1.717981116046e-08	1.819654377782e-08	1.956709814790e-08	1.805157460612e-08	1.956874536844e-08	2.095959564357e-08	2.281596930290e-08	2.178653569894e-08	2.379623242413e-08	2.628214546374e-08	2.674588672357e-08	3.027186789622e-08	3.591727859608e-08
7.536422741615e+01	8.056070810474e-10	9.923963537959e-10	8.057599531672e-10	7.148061816959e-10	6.600851148776e-10	6.184520222544e-10	5.830027938505e-10	5.504174428681e-10	5.174312925193e-10	4.740933287847e-10	3.073289270999e-09	3.508237694068e-09	3.585865344270e-09	3.646701921734e-09	3.712734747244e-09	3.774755328823e-09	3.832670690653e-09	3.891376022717e-09	3.968507825294e-09	4.898523168740e-09	5.486831503202e-09	5.759019828209e-09	5.967764975499e-09	6.165253783476e-09	6.354570365052e-09	6.547568593590e-09	6.801246601197e-09	6.714848863598e-09	7.403285689425e-09	7.819514461827e-09	8.164626240979e-09	8.501729180358e-09	8.851581761688e-09	9.312634229628e-09	8.607493729445e-09	9.398228924601e-09	9.954299832862e-09	1.045678988967e-08	1.098780021803e-08	1.169433771536e-08	1.066201334660e-08	1.158673064133e-08	1.231876322971e-08	1.306023209927e-08	1.406300636925e-08	1.299460008976e-08	1.412447040782e-08	1.514707536178e-08	1.651414443952e-08	1.581024239480e-08	1.732147637953e-08	1.917285717491e-08	1.960014576600e-08	2.229132159967e-08	2.676952678523e-08
1.028285594298e+02	5.473842674108e-10	6.807567517288e-10	5.546843495297e-10	4.908066737779e-10	4.527663396650e-10	4.239921244078e-10	3.995119133984e-10	3.770106425657e-10	3.542326464251e-10	3.243063915831e-10	2.052903500094e-09	2.317112157614e-09	2.336542621857e-09	2.354400493799e-09	2.382696143557e-09	2.411213088075e-09	2.438111436574e-09	2.465398683360e-09	2.501251807963e-09	3.250637551810e-09	3.633597627886e-09	3.793308201913e-09	3.915409499555e-09	4.034628794232e-09	4.150118954010e-09	4.268041259489e-09	4.423053938246e-09	4.503201731777e-09	4.980248201900e-09	5.259560433978e-09	5.490728208007e-09	5.718233150002e-09	5.954945360104e-09	6.266990545969e-09	5.853284673884e-09	6.419194768669e-09	6.812730802006e-09	7.168051095876e-09	7.544306406005e-09	8.045253455055e-09	7.343896803383e-09	8.016387875751e-09	8.546227848716e-09	9.082546240835e-09	9.808499937222e-09	9.051472382750e-09	9.879584169359e-09	1.062638763863e-08	1.162477581169e-08	1.112376968355e-08	1.223590163716e-08	1.359351075608e-08	1.392653385996e-08	1.591407734401e-08	1.927272220772e-08
1.403014798522e+02	3.796900295095e-10	4.693555556978e-10	3.883930497720e-10	3.478749621676e-10	3.235847641239e-10	3.052188638003e-10	2.896035453303e-10	2.752518081878e-10	2.607236351766e-10	2.416361889322e-10	1.371891510155e-09	1.553751915794e-09	1.571204903986e-09	1.583735420104e-09	1.602833120308e-09	1.622276758479e-09	1.640673463410e-09	1.659342181730e-09	1.683871557845e-09	2.165807789406e-09	2.412703336464e-09	2.507359837121e-09	2.577206756132e-09	2.647773483961e-09	2.717222251617e-09	2.788326627055e-09	2.881811224344e-09	2.976593047516e-09	3.279084558478e-09	3.444115434743e-09	3.578771297639e-09	3.714372492724e-09	3.856734022155e-09	4.044595107780e-09	3.859630203680e-09	4.227130378030e-09	4.470986592802e-09	4.690382505176e-09	4.925691260947e-09	5.240016334977e-09	4.861205303003e-09	5.312466361332e-09	5.658452000805e-09	6.009179500143e-09	6.486553105981e-09	6.040307526272e-09	6.613201928594e-09	7.122846083376e-09	7.805926343476e-09	7.504525945282e-09	8.293010877489e-09	9.250782117526e-09	9.520712006644e-09	1.095669341961e-08	1.342312552582e-08
1.914303317860e+02	2.649436157562e-10	3.330134198997e-10	2.826777290127e-10	2.572054760768e-10	2.421790883697e-10	2.308641869055e-10	2.212456592067e-10	2.124054468400e-10	2.034565591963e-10	1.916993060653e-10	9.318259145191e-10	1.047610166423e-09	1.056886574001e-09	1.064751050018e-09	1.077024982433e-09	1.089444312294e-09	1.101182933365e-09	1.113095157250e-09	1.128747060853e-09	1.444038338704e-09	1.606202977949e-09	1.671277343380e-09	1.719735809332e-09	1.767678440168e-09	1.814578087445e-09	1.862576825289e-09	1.925684726046e-09	1.978236369510e-09	2.179922242489e-09	2.292355876038e-09	2.383409742835e-09	2.474298766676e-09	2.569687543061e-09	2.695598696010e-09	2.557795839666e-09	2.797719988370e-09	2.956076833417e-09	3.097113725070e-09	3.248754537837e-09	3.451752107778e-09	3.205845336334e-09	3.494944116759e-09	3.711827633912e-09	3.930819595847e-09	4.230857740078e-09	3.965125102441e-09	4.330578297089e-09	4.647707723940e-09	5.074422633220e-09	4.916521230707e-09	5.425589353173e-09	6.033598591074e-09	6.254388444291e-09	7.206565023562e-09	8.933198441465e-09
