# ells	E1-E1	E1-E2	E1-E3	E1-E4	E1-E5	E1-E6	E1-E7	E1-E8	E1-E9	E1-E10	E2-E2	E2-E3	E2-E4	E2-E5	E2-E6	E2-E7	E2-E8	E2-E9	E2-E10	E3-E3	E3-E4	E3-E5	E3-E6	E3-E7	E3-E8	E3-E9	E3-E10	E4-E4	E4-E5	E4-E6	E4-E7	E4-E8	E4-E9	E4-E10	E5-E5	E5-E6	E5-E7	E5-E8	E5-E9	E5-E10	E6-E6	E6-E7	E6-E8	E6-E9	E6-E10	E7-E7	E7-E8	E7-E9	E7-E10	E8-E8	E8-E9	E8-E10	E9-E9	E9-E10	E10-E10
1.168084470542e+01	6.269349268869e-09	8.670027659721e-09	8.615269711097e-09	8.643153669733e-09	8.684564844562e-09	8.720648465617e-09	8.751860098899e-09	8.780582431771e-09	8.809659260061e-09	8.847861086245e-09	1.891019014020e-08	2.116197834884e-08	2.216835246136e-08	2.291229492300e-08	2.353297156612e-08	2.407220618158e-08	2.456917103905e-08	2.507233955818e-08	2.573341721413e-08	2.564412181178e-08	2.783648964461e-08	2.918884218456e-08	3.026276639155e-08	3.120843896029e-08	3.208707162035e-08	3.297790515726e-08	3.414840467658e-08	3.123543373037e-08	3.337278685164e-08	3.491075481887e-08	3.622157029846e-08	3.744973736343e-08	3.870147470381e-08	4.034726217101e-08	3.633505668578e-08	3.847347639917e-08	4.017843723004e-08	4.174238620692e-08	4.334704931851e-08	4.546274154960e-08	4.126566358689e-08	4.348425631218e-08	4.541811108300e-08	4.737952413017e-08	4.997965795838e-08	4.628751332764e-08	4.871124254003e-08	5.107019653816e-08	5.418921461549e-08	5.172917402778e-08	5.462732938881e-08	5.834332800974e-08	5.825299681240e-08	6.280769307796e-08	6.886211060717e-08
1.593759367225e+01	4.767301639446e-09	6.520281757138e-09	6.305532276475e-09	6.240015829488e-09	6.216541950331e-09	6.201464774731e-09	6.188904599896e-09	6.177376185734e-09	6.165706558788e-09	6.150374745199e-09	1.560286760155e-08	1.761167883489e-08	1.843650809659e-08	1.905133039768e-08	1.957337294830e-08	2.002932451216e-08	2.044988237181e-08	2.087571767631e-08	2.143519376364e-08	2.198940906758e-08	2.407496056731e-08	2.531875612765e-08	2.630536666016e-08	2.718037702686e-08	2.799559973325e-08	2.882250067097e-08	2.990902421517e-08	2.748822768202e-08	2.959511982328e-08	3.108208780501e-08	3.234754657969e-08	3.353803338074e-08	3.475324096133e-08	3.635128197867e-08	3.262901778724e-08	3.478979042399e-08	3.649067150764e-08	3.804973774315e-08	3.965361213115e-08	4.176979460500e-08	3.769647914450e-08	3.998226348602e-08	4.195688322295e-08	4.396006821856e-08	4.661990480725e-08	4.294331408412e-08	4.548225949479e-08	4.793798062832e-08	5.118821429550e-08	4.871475655371e-08	5.179757395564e-08	5.573590960533e-08	5.573775455609e-08	6.065967197846e-08	6.736549691726e-08
2.174559276041e+01	3.516339586404e-09	4.709887509065e-09	4.393260019583e-09	4.263002415296e-09	4.193668487576e-09	4.142369259883e-09	4.098817634486e-09	4.058790977585e-09	4.018272153697e-09	3.965037595174e-09	1.216333876238e-08	1.379898270909e-08	1.438694912015e-08	1.483077249563e-08	1.521929428532e-08	1.556176065931e-08	1.587810165029e-08	1.619844927751e-08	1.661933375402e-08	1.776700016299e-08	1.959907942094e-08	2.063981884752e-08	2.146347513183e-08	2.220198900424e-08	2.289299044445e-08	2.359436832858e-08	2.451599545639e-08	2.280281405084e-08	2.473489503989e-08	2.606180174230e-08	2.718831384905e-08	2.825440175009e-08	2.934512933398e-08	3.077985803887e-08	2.765237493516e-08	2.969454128728e-08	3.127369437164e-08	3.271950123146e-08	3.421249377351e-08	3.618445116703e-08	3.254599568632e-08	3.475836264676e-08	3.664600752271e-08	3.856142043255e-08	4.111058713472e-08	3.771539808645e-08	4.022342349299e-08	4.262852885002e-08	4.581616525566e-08	4.350705144574e-08	4.661029455326e-08	5.055494347832e-08	5.068463057955e-08	5.573639364905e-08	6.283378305803e-08
2.967015060279e+01	2.515218437034e-09	3.330621051650e-09	3.003037955604e-09	2.855466205840e-09	2.771960868694e-09	2.709305202064e-09	2.656030642674e-09	2.607063355074e-09	2.557493817584e-09	2.492368221977e-09	9.065885332390e-09	1.029015785513e-08	1.065226207336e-08	1.092997352759e-08	1.118593648265e-08	1.141507111202e-08	1.162725348066e-08	1.184216682902e-08	1.212452966714e-08	1.359225838803e-08	1.506741931205e-08	1.585113651033e-08	1.646838972984e-08	1.703095764752e-08	1.756079260984e-08	1.809915814682e-08	1.880662892739e-08	1.784294374871e-08	1.947232196709e-08	2.055026777956e-08	2.146170803099e-08	2.233173092646e-08	2.322490987887e-08	2.440026291498e-08	2.207248072931e-08	2.385441689336e-08	2.519903622792e-08	2.642775116327e-08	2.770347059240e-08	2.939105675495e-08	2.645606351808e-08	2.844062329618e-08	3.010521184352e-08	3.179465392879e-08	3.405050602776e-08	3.119627381765e-08	3.350092047964e-08	3.568499272928e-08	3.858517568109e-08	3.662399117470e-08	3.954065671188e-08	4.322265949145e-08	4.349972986207e-08	4.836068016187e-08	5.545403271421e-08
4.048258635629e+01	1.733027311839e-09	2.290476447353e-09	2.016974226562e-09	1.887967948650e-09	1.813701324796e-09	1.757897121510e-09	1.710454251599e-09	1.666848384777e-09	1.622706281007e-09	1.564711374132e-09	6.556907417911e-09	7.442865956494e-09	7.657474886683e-09	7.822873701180e-09	7.985225011056e-09	8.133389855360e-09	8.271039414318e-09	8.410499360821e-09	8.593729779860e-09	9.988106243153e-09	1.109519172866e-08	1.164111904238e-08	1.206708111843e-08	1.246324732062e-08	1.283957165405e-08	1.322251205614e-08	1.372578352069e-08	1.330880600859e-08	1.457601588883e-08	1.537771991118e-08	1.605116638812e-08	1.670120602176e-08	1.737164443970e-08	1.825439221225e-08	1.670875795485e-08	1.813825672713e-08	1.918436057757e-08	2.013728549223e-08	2.113385109103e-08	2.245498594213e-08	2.032521133769e-08	2.196163853943e-08	2.330417312394e-08	2.466676255835e-08	2.649439608566e-08	2.433170529868e-08	2.628089392945e-08	2.809931507096e-08	3.051996751169e-08	2.902867796638e-08	3.155725437949e-08	3.471978036626e-08	3.512671328898e-08	3.945463679443e-08	4.606208046517e-08
5.523530433110e+01	1.176234975031e-09	1.507013761108e-09	1.284876506364e-09	1.177518950518e-09	1.114119768341e-09	1.066210939134e-09	1.025459334053e-09	9.880028137603e-10	9.500856752127e-10	9.002692706885e-10	4.590635816048e-09	5.239077516302e-09	5.382694560509e-09	5.491708816725e-09	5.602207827290e-09	5.704226675098e-09	5.799217438986e-09	5.895478206833e-09	6.021952063567e-09	7.135366131599e-09	7.948249506020e-09	8.331534266847e-09	8.627053493371e-09	8.905578937619e-09	9.171923077183e-09	9.443292031692e-09	9.799964106779e-09	9.612742193415e-09	1.055217598197e-08	1.112610260056e-08	1.160430213905e-08	1.207026690917e-08	1.255299376129e-08	1.318896399052e-08	1.218267375364e-08	1.325854249637e-08	1.402383086922e-08	1.471788690838e-08	1.544903141895e-08	1.642057755873e-08	1.496137052245e-08	1.621506663566e-08	1.722020217003e-08	1.823971833255e-08	1.961415282429e-08	1.809647957071e-08	1.961910086343e-08	2.101452978405e-08	2.287711113199e-08	2.184631696823e-08	2.386406354355e-08	2.635954966460e-08	2.682743605664e-08	3.036918327947e-08	3.604340699235e-08
7.536422741615e+01	8.062885316153e-10	9.968914899773e-10	8.111428613659e-10	7.206041487778e-10	6.661924825275e-10	6.248122389944e-10	5.895805591352e-10	5.571953448207e-10	5.244117954468e-10	4.813400166154e-10	3.087952378746e-09	3.524421302631e-09	3.602382957261e-09	3.663418788721e-09	3.729689635285e-09	3.791940685812e-09	3.850071887187e-09	3.908996113760e-09	3.986415472158e-09	4.916663605104e-09	5.505725402365e-09	5.777855605326e-09	5.986548041035e-09	6.184082356846e-09	6.373474344059e-09	6.566554786037e-09	6.820341232763e-09	6.736425306859e-09	7.426165199967e-09	7.842877139594e-09	8.188356081847e-09	8.525880905239e-09	8.876197596339e-09	9.337865854931e-09	8.633764662819e-09	9.426458202797e-09	9.983667338452e-09	1.048716282020e-08	1.101928703147e-08	1.172732650096e-08	1.069410479005e-08	1.162142004422e-08	1.235532658626e-08	1.309869266075e-08	1.410408398928e-08	1.303385178663e-08	1.416720223933e-08	1.519279908558e-08	1.656389869458e-08	1.585876408680e-08	1.737500466907e-08	1.923234756332e-08	1.966193910342e-08	2.236256370242e-08	2.685812969841e-08
1.028285594298e+02	5.461960264614e-10	6.805868479721e-10	5.542359029293e-10	4.902683995916e-10	4.521770995085e-10	4.233633449016e-10	3.988495013825e-10	3.763173394414e-10	3.535080712527e-10	3.235407323472e-10	2.065711451276e-09	2.333239690213e-09	2.354425251648e-09	2.373526491779e-09	2.402808468960e-09	2.432179762282e-09	2.459866264586e-09	2.487951669477e-09	2.524853413816e-09	3.272279263238e-09	3.658157942250e-09	3.819631724701e-09	3.943048499821e-09	4.063436296764e-09	4.180024357420e-09	4.299062775132e-09	4.455542189138e-09	4.531468669122e-09	5.010753263394e-09	5.291519582703e-09	5.523886803658e-09	5.752556282654e-09	5.990478096356e-09	6.304117384909e-09	5.886974695651e-09	6.455095229858e-09	6.850128956859e-09	7.206795419719e-09	7.584497307801e-09	8.087375146151e-09	7.383241852700e-09	8.058193843110e-09	8.589910335766e-09	9.128150442190e-09	9.856722681091e-09	9.097198967127e-09	9.928397275878e-09	1.067795952181e-08	1.168004874677e-08	1.117740941821e-08	1.229380740126e-08	1.365663635178e-08	1.399095925632e-08	1.598619275156e-08	1.935752226545e-08
1.403014798522e+02	3.767584588242e-10	4.654645213897e-10	3.831787125423e-10	3.420153007885e-10	3.173147634829e-10	2.986281721057e-10	2.827386205770e-10	2.681347221221e-10	2.533512811797e-10	2.339284591900e-10	1.376943796411e-09	1.560809613808e-09	1.578948600899e-09	1.592036631129e-09	1.611619109543e-09	1.631488907883e-09	1.650279337884e-09	1.669346782460e-09	1.694399999374e-09	2.179781333667e-09	2.429913597970e-09	2.526501119688e-09	2.597851529360e-09	2.669749713038e-09	2.740438189600e-09	2.812799486856e-09	2.907935617383e-09	2.999241299511e-09	3.304992165528e-09	3.472344339241e-09	3.609003324040e-09	3.746479296656e-09	3.890749881171e-09	4.081121757843e-09	3.890114038032e-09	4.260973901901e-09	4.507536678049e-09	4.729380419347e-09	4.967194366743e-09	5.284829836426e-09	4.899560294385e-09	5.354387487902e-09	5.703381390214e-09	6.057136420140e-09	6.538555733698e-09	6.086718219190e-09	6.663389159148e-09	7.176604537586e-09	7.864442106925e-09	7.559676973272e-09	8.352820450563e-09	9.316411445693e-09	9.586954139020e-09	1.103069479744e-08	1.350893738859e-08
1.914303317860e+02	2.618559216353e-10	3.280711550172e-10	2.762901350952e-10	2.500907615529e-10	2.345845317620e-10	2.228960628045e-10	2.129586139302e-10	2.038251698012e-10	1.945794387640e-10	1.824321866549e-10	9.306227451926e-10	1.047452092607e-09	1.056567912958e-09	1.064279405073e-09	1.076524651707e-09	1.088945587881e-09	1.100688394971e-09	1.112605051689e-09	1.128262772487e-09	1.449314861883e-09	1.613350757171e-09	1.679112351287e-09	1.728190858188e-09	1.776748579368e-09	1.824234319795e-09	1.872829316345e-09	1.936720775192e-09	1.989900287030e-09	2.194204973177e-09	2.308367969339e-09	2.400887651722e-09	2.493175195697e-09	2.589996861785e-09	2.717792951524e-09	2.577011450590e-09	2.820241172445e-09	2.981114241374e-09	3.124465646590e-09	3.278486877928e-09	3.484627512927e-09	3.233216249863e-09	3.526055328001e-09	3.746150887713e-09	3.968371697668e-09	4.272708104142e-09	4.001293084172e-09	4.371011050955e-09	4.692201265273e-09	5.124317590124e-09	4.962499897848e-09	5.476837949240e-09	6.091576426042e-09	6.312706813370e-09	7.273667464844e-09	9.012624208673e-09
