# ells	P1-E1	P1-E2	P1-E3	P1-E4	P1-E5	P1-E6	P1-E7	P1-E8	P1-E9	P1-E10	P2-E1	P2-E2	P2-E3	P2-E4	P2-E5	P2-E6	P2-E7	P2-E8	P2-E9	P2-E10	P3-E1	P3-E2	P3-E3	P3-E4	P3-E5	P3-E6	P3-E7	P3-E8	P3-E9	P3-E10	P4-E1	P4-E2	P4-E3	P4-E4	P4-E5	P4-E6	P4-E7	P4-E8	P4-E9	P4-E10	P5-E1	P5-E2	P5-E3	P5-E4	P5-E5	P5-E6	P5-E7	P5-E8	P5-E9	P5-E10	P6-E1	P6-E2	P6-E3	P6-E4	P6-E5	P6-E6	P6-E7	P6-E8	P6-E9	P6-E10	P7-E1	P7-E2	P7-E3	P7-E4	P7-E5	P7-E6	P7-E7	P7-E8	P7-E9	P7-E10	P8-E1	P8-E2	P8-E3	P8-E4	P8-E5	P8-E6	P8-E7	P8-E8	P8-E9	P8-E10	P9-E1	P9-E2	P9-E3	P9-E4	P9-E5	P9-E6	P9-E7	P9-E8	P9-E9	P9-E10	P10-E1	P10-E2	P10-E3	P10-E4	P10-E5	P10-E6	P10-E7	P10-E8	P10-E9	P10-E10
1.168084470542e+01	8.918350218271e-08	5.515961336997e-07	7.516824168020e-07	8.572006062416e-07	9.292501008541e-07	9.859980429036e-07	1.034551816118e-06	1.079200345637e-06	1.124398755289e-06	1.183781488492e-06	-3.998234014456e-08	-1.736748815272e-08	1.269749297480e-07	2.439695102610e-07	3.191046388397e-07	3.733665734134e-07	4.185499704784e-07	4.599280474522e-07	5.018027602545e-07	5.568182375399e-07	-6.913102847599e-09	-3.481261969974e-08	-1.349778827883e-08	6.325653264083e-08	1.396297556355e-07	1.957383228653e-07	2.387279200871e-07	2.767237914368e-07	3.149616833024e-07	3.651832021329e-07	-7.911642996370e-10	-1.089047655451e-08	-2.538124344541e-08	-9.958108614155e-09	3.995236730882e-08	9.547324855702e-08	1.400413647646e-07	1.765037239701e-07	2.119624407950e-07	2.583479599125e-07	-6.468910239049e-11	-1.949826824230e-09	-1.020055055843e-08	-1.883016177038e-08	-7.483724828966e-09	2.914108246732e-08	7.301554238091e-08	1.105583593763e-07	1.443681161361e-07	1.875185910915e-07	-3.511331950898e-12	-2.165502847173e-10	-2.163215478129e-09	-8.274301681431e-09	-1.421995562913e-08	-5.667402127498e-09	2.374877143287e-08	6.109249662241e-08	9.524317561575e-08	1.357681292073e-07	-1.080561787700e-13	-1.364875724106e-11	-2.474997621166e-10	-1.737944181918e-09	-6.108720133317e-09	-1.074607331999e-08	-4.218335882818e-09	2.152620484764e-08	5.610437410987e-08	9.531133524428e-08	-1.418793309988e-15	-3.816011651002e-13	-1.269989704896e-11	-1.596978331017e-10	-1.051076498538e-09	-3.959189511605e-09	-7.853681558965e-09	-2.873202141442e-09	2.225234961561e-08	6.150576553560e-08	-4.359992352669e-18	-2.683762916841e-15	-1.756298578537e-13	-4.129768867293e-12	-5.165888530563e-11	-3.985860809946e-10	-1.929403154750e-09	-5.057076845336e-09	-1.193200931445e-09	3.022851553555e-08	-5.258466572037e-22	-8.629940599973e-19	-1.319036799795e-16	-6.858299020509e-15	-1.892497931496e-13	-3.408277711800e-12	-4.378793675562e-11	-3.957858045891e-10	-1.975707088347e-09	3.853918218068e-09
1.593759367225e+01	5.701426067236e-08	4.957177560250e-07	6.982662009579e-07	8.047041295000e-07	8.770301824283e-07	9.339288032677e-07	9.826040825209e-07	1.027363840170e-06	1.072674829020e-06	1.132205470764e-06	-4.335384190041e-08	-2.186728925732e-08	1.360690243871e-07	2.663174699147e-07	3.502055989102e-07	4.106652920030e-07	4.609500704351e-07	5.069890276008e-07	5.535795780564e-07	6.147907339011e-07	-7.713891359653e-09	-3.961890590659e-08	-1.650843272335e-08	7.072706930210e-08	1.584907834055e-07	2.231615747883e-07	2.726593457792e-07	3.163638880170e-07	3.603373652895e-07	4.180911205614e-07	-9.009044551869e-10	-1.254415152770e-08	-2.960711018513e-08	-1.218451438622e-08	4.581701075107e-08	1.108598532202e-07	1.632062838889e-07	2.060010315315e-07	2.475861056855e-07	3.019791508950e-07	-7.479518394182e-11	-2.272716748634e-09	-1.197910409978e-08	-2.231528436916e-08	-9.197095838232e-09	3.403799255639e-08	8.616604669744e-08	1.308610160103e-07	1.710821411984e-07	2.223903496174e-07	-4.109777417223e-12	-2.550541626044e-10	-2.561472187532e-09	-9.852372753265e-09	-1.705330873123e-08	-7.003235037609e-09	2.816089819357e-08	7.304028938563e-08	1.141355569053e-07	1.628639197294e-07	-1.278187308979e-13	-1.622749138602e-11	-2.954707931711e-10	-2.083149739920e-09	-7.354467740896e-09	-1.301298349612e-08	-5.243471234097e-09	2.586698040816e-08	6.783757115013e-08	1.154443570909e-07	-1.695086112473e-15	-4.577517107691e-13	-1.528359240897e-11	-1.927712398118e-10	-1.272804810472e-09	-4.811905433501e-09	-9.592235039416e-09	-3.599612695030e-09	2.707142416494e-08	7.514758737355e-08	-5.261973370124e-18	-3.248466208879e-15	-2.131101761975e-13	-5.022633607109e-12	-6.297533699882e-11	-4.871689969049e-10	-2.365586284595e-09	-6.227491375561e-09	-1.528441906921e-09	3.722969720145e-08	-6.421261373173e-22	-1.055698740922e-18	-1.616178557042e-16	-8.416429155289e-15	-2.326149634471e-13	-4.196487619534e-12	-5.402401205584e-11	-4.895993300594e-10	-2.454307225386e-09	4.770612564960e-09
2.174559276041e+01	3.049697517871e-08	4.093040417524e-07	5.975540442585e-07	6.962870300630e-07	7.629753065776e-07	8.153552003456e-07	8.601551945804e-07	9.013507248603e-07	9.430535662296e-07	9.978437379364e-07	-4.344649062340e-08	-2.609503247632e-08	1.341233217983e-07	2.694796641030e-07	3.570358614542e-07	4.199678405986e-07	4.722213405374e-07	5.200463112918e-07	5.684427575279e-07	6.320264515648e-07	-8.037915718696e-09	-4.240228515290e-08	-1.934919517381e-08	7.384374450155e-08	1.690672114533e-07	2.395469912007e-07	2.934148357644e-07	3.409103161899e-07	3.886832513093e-07	4.514257692279e-07	-9.651213952320e-10	-1.365227191147e-08	-3.279148105653e-08	-1.437514667807e-08	4.953325655108e-08	1.220327968546e-07	1.805931295097e-07	2.284184171211e-07	2.748422707863e-07	3.355538588375e-07	-8.183330670397e-11	-2.514927510214e-09	-1.339675228768e-08	-2.527637645059e-08	-1.093026152872e-08	3.778115368482e-08	9.702956730302e-08	1.479693110862e-07	1.937653636803e-07	2.521462457541e-07	-4.574439737725e-12	-2.864281438380e-10	-2.898061539545e-09	-1.123208655206e-08	-1.962732508835e-08	-8.377663908659e-09	3.191773068875e-08	8.372282105374e-08	1.312454658069e-07	1.875364391192e-07	-1.444108878467e-13	-1.846236147846e-11	-3.380198900341e-10	-2.395954488927e-09	-8.509179032620e-09	-1.517534935001e-08	-6.328122017240e-09	2.985105964618e-08	7.895410526033e-08	1.346802145957e-07	-1.941159095129e-15	-5.270300910241e-13	-1.767382502728e-11	-2.238418951532e-10	-1.484380870121e-09	-5.639526546984e-09	-1.131647841747e-08	-4.389708717802e-09	3.176856614962e-08	8.870138505957e-08	-6.108530684465e-18	-3.786166328268e-15	-2.492174638420e-13	-5.891889267822e-12	-7.410795311510e-11	-5.753002755698e-10	-2.805304400578e-09	-7.428643640720e-09	-1.918277235021e-09	4.441994374780e-08	-7.573587609580e-22	-1.248121859851e-18	-1.914909767452e-16	-9.993137497202e-15	-2.767858538088e-13	-5.004991852623e-12	-6.460910055723e-11	-5.876142281205e-10	-2.962252908602e-09	5.730659846498e-09
2.967015060279e+01	1.549977093300e-08	3.143283644888e-07	4.727085981039e-07	5.559926759338e-07	6.118955428868e-07	6.557183498196e-07	6.931889055811e-07	7.276439173315e-07	7.625232019798e-07	8.083484235207e-07	-3.910105988234e-08	-2.842460005342e-08	1.180325458221e-07	2.460193875571e-07	3.293641003920e-07	3.890545886552e-07	4.384989677594e-07	4.837301063023e-07	5.294995813412e-07	5.896318400756e-07	-7.618728946569e-09	-4.168256255736e-08	-2.128800907327e-08	7.010232655031e-08	1.655347456289e-07	2.366175533327e-07	2.908466841691e-07	3.385661400650e-07	3.865429427059e-07	4.495511978459e-07	-9.502970675050e-10	-1.373691132623e-08	-3.378598289441e-08	-1.603416810804e-08	4.935144892008e-08	1.247144881877e-07	1.859073464920e-07	2.358178034094e-07	2.841927518887e-07	3.474400015213e-07	-8.293776609385e-11	-2.588545084554e-09	-1.398761329657e-08	-2.684806007363e-08	-1.235268780319e-08	3.900888655976e-08	1.022730509251e-07	1.568846852928e-07	2.059152071407e-07	2.683596693805e-07	-4.745745274565e-12	-3.007582942355e-10	-3.074190449683e-09	-1.204162502483e-08	-2.132736025627e-08	-9.588977625764e-09	3.393258272114e-08	9.046603115789e-08	1.424619683108e-07	2.039619341695e-07	-1.528854503166e-13	-1.973713201014e-11	-3.642010484513e-10	-2.601361555558e-09	-9.316280000670e-09	-1.679751688018e-08	-7.333899392029e-09	3.255682030695e-08	8.716554700548e-08	1.491878293139e-07	-2.094536546924e-15	-5.730537698202e-13	-1.933575804394e-11	-2.463054742931e-10	-1.643275149859e-09	-6.286774147328e-09	-1.273361561732e-08	-5.165942862447e-09	3.548179326189e-08	9.988562680982e-08	-6.719083395291e-18	-4.187857652377e-15	-2.769619009492e-13	-6.576747521085e-12	-8.309393306462e-11	-6.482594224618e-10	-3.179706536700e-09	-8.488052791871e-09	-2.337988019206e-09	5.076683724142e-08	-8.519292683200e-22	-1.408698849465e-18	-2.167837704012e-16	-1.134610451584e-14	-3.151829504694e-13	-5.717234776265e-12	-7.407367935552e-11	-6.768885210308e-10	-3.438099929277e-09	6.608503051565e-09
4.048258635629e+01	8.264853733801e-09	2.330081252161e-07	3.552806678856e-07	4.200469382061e-07	4.633648176148e-07	4.972657370551e-07	5.262443696652e-07	5.528901984857e-07	5.798641104349e-07	6.153030673121e-07	-3.119348397028e-08	-2.638563263980e-08	9.194787351589e-08	1.994133725006e-07	2.700864691732e-07	3.205208477994e-07	3.621739463056e-07	4.002517042253e-07	4.387800859976e-07	4.893988252793e-07	-6.398448398292e-09	-3.649928932852e-08	-2.109265667961e-08	5.869397483398e-08	1.444756331732e-07	2.089656729489e-07	2.580618994667e-07	3.011467533516e-07	3.444359953413e-07	4.012853419025e-07	-8.345961701695e-10	-1.240174503873e-08	-3.146553933137e-08	-1.645940122621e-08	4.386911924128e-08	1.149831789246e-07	1.731710322111e-07	2.205516510056e-07	2.663763689179e-07	3.262673066778e-07	-7.559635182899e-11	-2.408998542330e-09	-1.327448364488e-08	-2.608751980306e-08	-1.299657950600e-08	3.641137864903e-08	9.836594814412e-08	1.521585526290e-07	2.003652623422e-07	2.616769024881e-07	-4.464401045079e-12	-2.876972216329e-10	-2.982685159900e-09	-1.185659757457e-08	-2.139253692119e-08	-1.028702321094e-08	3.300503381218e-08	9.006544776694e-08	1.427418948188e-07	2.049212834272e-07	-1.479241860112e-13	-1.935822099444e-11	-3.611191763905e-10	-2.606823245193e-09	-9.444470768298e-09	-1.728690979918e-08	-8.010410895692e-09	3.282636642939e-08	8.939538563867e-08	1.537162466928e-07	-2.080940622138e-15	-5.754227021480e-13	-1.958210730101e-11	-2.514433914243e-10	-1.691620824024e-09	-6.533307664577e-09	-1.339983363109e-08	-5.756889024224e-09	3.696145981882e-08	1.052434959928e-07	-6.855702476401e-18	-4.305996079161e-15	-2.866182108045e-13	-6.846836465609e-12	-8.703080338495e-11	-6.835148808985e-10	-3.379524767306e-09	-9.122966379878e-09	-2.737301859173e-09	5.459770810486e-08	-8.961523652977e-22	-1.488551354229e-18	-2.300188069485e-16	-1.208727401580e-14	-3.371545120732e-13	-6.143198450962e-12	-8.001346134549e-11	-7.362068876641e-10	-3.780401493433e-09	7.199377164762e-09
5.523530433110e+01	1.623338804164e-09	1.693004780707e-07	2.611836003417e-07	3.098945931080e-07	3.424916564736e-07	3.679929364633e-07	3.897889003429e-07	4.098299828464e-07	4.301178105879e-07	4.567724333158e-07	-2.342712119394e-08	-2.003351215873e-08	6.847301453991e-08	1.502116060192e-07	2.044553556268e-07	2.431356436347e-07	2.750158787030e-07	3.041425170103e-07	3.336119174418e-07	3.723288320826e-07	-4.851434524352e-09	-2.832043675951e-08	-1.778638635038e-08	4.393587625323e-08	1.121149900338e-07	1.639242906755e-07	2.033204087570e-07	2.377955528446e-07	2.724082804820e-07	3.178605341728e-07	-6.499672462379e-10	-9.881647533876e-09	-2.582161379340e-08	-1.479874632867e-08	3.423101556276e-08	9.354463249114e-08	1.425603634980e-07	1.824155109070e-07	2.208614372996e-07	2.710842447308e-07	-6.077884959396e-11	-1.978048427638e-09	-1.113386200991e-08	-2.247770011689e-08	-1.220914277238e-08	2.985876481914e-08	8.383010025090e-08	1.310711452241e-07	1.733175340183e-07	2.269505122739e-07	-3.708167757640e-12	-2.435526428847e-10	-2.567789273450e-09	-1.039324525957e-08	-1.919439636659e-08	-9.999312015082e-09	2.843500124904e-08	8.010771950415e-08	1.280701835316e-07	1.845347695737e-07	-1.269137313073e-13	-1.688849609381e-11	-3.194161633072e-10	-2.337604436247e-09	-8.599315782185e-09	-1.605881458744e-08	-8.020135343270e-09	2.964896721670e-08	8.271161500592e-08	1.431557159939e-07	-1.845190344366e-15	-5.173670411468e-13	-1.780734048851e-11	-2.311225222888e-10	-1.572635631976e-09	-6.153266167029e-09	-1.284216563387e-08	-5.949698997433e-09	3.492668513709e-08	1.010956804281e-07	-6.296993076547e-18	-3.996599947389e-15	-2.683913752241e-13	-6.464861583381e-12	-8.287607426111e-11	-6.570666615951e-10	-3.285860705975e-09	-9.010440699706e-09	-3.011981190468e-09	5.397369273966e-08	-8.585846171537e-22	-1.435382915477e-18	-2.231105241106e-16	-1.179127547347e-14	-3.308058183296e-13	-6.065232106787e-12	-7.957653147141e-11	-7.391496147471e-10	-3.852940259596e-09	7.241810851757e-09
7.536422741615e+01	-2.083810137338e-09	1.144700548757e-07	1.827073307698e-07	2.185906970612e-07	2.425139430805e-07	2.612219195436e-07	2.772111093592e-07	2.919128927860e-07	3.067956809417e-07	3.263490357899e-07	-1.822836820977e-08	-1.521173650352e-08	5.351636524195e-08	1.158889337717e-07	1.571568290828e-07	1.866507798903e-07	2.109819226510e-07	2.332131816150e-07	2.557059404645e-07	2.852569207973e-07	-3.711259790131e-09	-2.127187297873e-08	-1.292445141066e-08	3.334850547764e-08	8.432058837657e-08	1.231796265621e-07	1.527744114940e-07	1.786605874629e-07	2.046425164401e-07	2.387599983899e-07	-4.879133609078e-10	-7.376223382417e-09	-1.929284564779e-08	-1.127795753170e-08	2.524058431729e-08	6.992149355919e-08	1.071023029582e-07	1.373433242738e-07	1.664692621922e-07	2.045030374323e-07	-4.535738226998e-11	-1.480934824494e-09	-8.396808701318e-09	-1.718619166440e-08	-9.812480565303e-09	2.211421512116e-08	6.379753867455e-08	1.005657121739e-07	1.334088859664e-07	1.750357959088e-07	-2.785613528894e-12	-1.845789188959e-10	-1.965521161352e-09	-8.056821844015e-09	-1.515667349093e-08	-8.416822155345e-09	2.165802131980e-08	6.288772771842e-08	1.013997659325e-07	1.466250989626e-07	-9.691891985615e-14	-1.304788857490e-11	-2.494565173199e-10	-1.847119680463e-09	-6.891414711911e-09	-1.312643202624e-08	-7.044580817228e-09	2.352997442234e-08	6.742736322842e-08	1.175607556525e-07	-1.443799177561e-15	-4.097762633575e-13	-1.425580814059e-11	-1.870121451616e-10	-1.287595861545e-09	-5.109646720104e-09	-1.087481043732e-08	-5.461906956097e-09	2.909975339626e-08	8.593904162438e-08	-5.090841503256e-18	-3.266376534178e-15	-2.214665758318e-13	-5.384103787810e-12	-6.969248707474e-11	-5.586636686970e-10	-2.831933983428e-09	-7.917177854455e-09	-2.993484867394e-09	4.751379700363e-08	-7.270842084962e-22	-1.224819079796e-18	-1.917274943395e-16	-1.020338806208e-14	-2.883202562004e-13	-5.328135893922e-12	-7.056677418487e-11	-6.636748330751e-10	-3.529590760281e-09	6.513639881067e-09
1.028285594298e+02	-1.074017178434e-09	7.422043803259e-08	1.197199837694e-07	1.440332509759e-07	1.601318736357e-07	1.726874933367e-07	1.834146327191e-07	1.932778133819e-07	2.032624189857e-07	2.163804269372e-07	-1.271064774190e-08	-1.320105108355e-08	3.623536056503e-08	8.324898832669e-08	1.143812415909e-07	1.365079565551e-07	1.547330712701e-07	1.713830347517e-07	1.882288142636e-07	2.103607969339e-07	-2.807935746150e-09	-1.668482391627e-08	-1.050331360317e-08	2.582279832687e-08	6.565379666976e-08	9.583675704517e-08	1.188104388004e-07	1.389274043330e-07	1.591252489757e-07	1.856481196465e-07	-3.818289677897e-10	-5.782105954623e-09	-1.497758123456e-08	-8.400624488844e-09	2.003764627413e-08	5.432773216525e-08	8.272090439461e-08	1.058430715040e-07	1.281409809901e-07	1.572634413363e-07	-3.546122883827e-11	-1.147122793950e-09	-6.430372254183e-09	-1.297177125409e-08	-7.124222054886e-09	1.708616207148e-08	4.841008795144e-08	7.600733195217e-08	1.006921064022e-07	1.319891475901e-07	-2.144610478659e-12	-1.406174785007e-10	-1.484524381107e-09	-6.037829736707e-09	-1.127687676019e-08	-6.173195759946e-09	1.624154927596e-08	4.695378210208e-08	7.569668816592e-08	1.094556600398e-07	-7.331597676362e-14	-9.797114600933e-12	-1.864361395935e-10	-1.376219694275e-09	-5.127253999896e-09	-9.777848972954e-09	-5.314610516576e-09	1.743173157287e-08	5.032587956010e-08	8.797540712079e-08	-1.078135838458e-15	-3.051752286206e-13	-1.060917682575e-11	-1.392562891479e-10	-9.607480057664e-10	-3.828759213019e-09	-8.217977986831e-09	-4.298675388102e-09	2.181547727498e-08	6.523875120285e-08	-3.789796110537e-18	-2.435960021164e-15	-1.656006443384e-13	-4.039788602604e-12	-5.252366927270e-11	-4.235583133089e-10	-2.165436043114e-09	-6.137725353873e-09	-2.534476217439e-09	3.693059333305e-08	-5.499262171393e-22	-9.305067319613e-19	-1.463125054384e-16	-7.823485244812e-15	-2.222202798484e-13	-4.131384277472e-12	-5.513421634936e-11	-5.241535254943e-10	-2.840953914198e-09	5.140441339990e-09
1.403014798522e+02	-6.214695272090e-10	4.903153234554e-08	7.876445053316e-08	9.457526026562e-08	1.050885910965e-07	1.132898645659e-07	1.202955658331e-07	1.267368582998e-07	1.332574400743e-07	1.418243324405e-07	-8.183945639509e-09	-8.012525577420e-09	2.303503972501e-08	5.304499747897e-08	7.335187122779e-08	8.778901434149e-08	9.963105735687e-08	1.104369395329e-07	1.213686356581e-07	1.357306412483e-07	-1.777581827022e-09	-1.093064427745e-08	-8.007152233396e-09	1.569834717675e-08	4.329445132238e-08	6.461523455730e-08	8.077082164265e-08	9.484442459250e-08	1.089596486974e-07	1.274939191332e-07	-2.526827203448e-10	-4.017567185038e-09	-1.103855920584e-08	-7.141738356468e-09	1.355472112034e-08	3.942427517382e-08	6.099215644224e-08	7.848339014988e-08	9.531298885547e-08	1.172885140268e-07	-2.511481788366e-11	-8.452655768620e-10	-4.894647495796e-09	-1.017148436571e-08	-5.939723640006e-09	1.288481991134e-08	3.744957171342e-08	5.905564811898e-08	7.834890342706e-08	1.028119799418e-07	-1.610450941771e-12	-1.081558599646e-10	-1.158897098413e-09	-4.758155935642e-09	-8.922668670615e-09	-4.867281174639e-09	1.286182394515e-08	3.698740760709e-08	5.947765585449e-08	8.591585473785e-08	-5.711612475269e-14	-7.703488024714e-12	-1.470734187392e-10	-1.085425627574e-09	-4.028865457363e-09	-7.616906473006e-09	-3.993307424992e-09	1.377522647250e-08	3.917837805143e-08	6.820860248590e-08	-8.510039730386e-16	-2.405987253229e-13	-8.336748783656e-12	-1.089230088025e-10	-7.468600529638e-10	-2.952055961433e-09	-6.262382122909e-09	-3.134392120205e-09	1.677545429539e-08	4.961869536125e-08	-2.965924992620e-18	-1.895615091616e-15	-1.281563683359e-13	-3.109064272461e-12	-4.018801501365e-11	-3.219951400881e-10	-1.634034107172e-09	-4.590182900783e-09	-1.825731664271e-09	2.763298311962e-08	-4.190166074760e-22	-7.059062169007e-19	-1.105697757001e-16	-5.891363609033e-15	-1.667840596127e-13	-3.090877318211e-12	-4.112194321782e-11	-3.898841270493e-10	-2.110923810635e-09	3.805468634160e-09
1.914303317860e+02	1.142629266318e-10	3.225372034772e-08	5.145084390816e-08	6.173929310236e-08	6.855853695476e-08	7.387506561091e-08	7.841681130328e-08	8.259269718496e-08	8.681998741034e-08	9.237389986032e-08	-5.327797478202e-09	-5.644516043321e-09	1.501423070697e-08	3.504532353228e-08	4.840891193097e-08	5.790404074498e-08	6.571138664636e-08	7.283912968723e-08	8.004999851154e-08	8.952359356248e-08	-1.192757582790e-09	-7.248985492914e-09	-4.864888289092e-09	1.083350562545e-08	2.844967999536e-08	4.199220903563e-08	5.231596688892e-08	6.132493434415e-08	7.035880134946e-08	8.222027872695e-08	-1.663053532353e-10	-2.565230939549e-09	-6.832403676470e-09	-4.248953218406e-09	8.521271002773e-09	2.457389193619e-08	3.814917492056e-08	4.919848772251e-08	5.980057872994e-08	7.363317969966e-08	-1.585435764447e-11	-5.248113009788e-10	-3.029980508688e-09	-6.394303784769e-09	-4.047680240294e-09	7.627222496648e-09	2.349184475967e-08	3.772203802986e-08	5.039696656536e-08	6.640604980076e-08	-9.958486373340e-13	-6.732901804140e-11	-7.331031028600e-10	-3.090165303265e-09	-6.046968379832e-09	-3.783739202293e-09	8.004262784020e-09	2.479602030506e-08	4.064139616646e-08	5.915860778145e-08	-3.595815387925e-14	-4.967831870825e-12	-9.724160613785e-11	-7.379497520220e-10	-2.830673585841e-09	-5.584505836733e-09	-3.332026672773e-09	9.534023434393e-09	2.850329098629e-08	5.020925857404e-08	-5.651243721107e-16	-1.645048617480e-13	-5.843571611466e-12	-7.815151255495e-11	-5.486601753411e-10	-2.222706169912e-09	-4.846868699640e-09	-2.636629340502e-09	1.273067067316e-08	3.833620787240e-08	-2.124618223388e-18	-1.388112916302e-15	-9.548533389673e-14	-2.350682880185e-12	-3.078794284660e-11	-2.497279227295e-10	-1.281639671824e-09	-3.634815949872e-09	-1.477944855328e-09	2.181631457477e-08	-3.237419141132e-22	-5.495138268275e-19	-8.656325998835e-17	-4.632690509788e-15	-1.315955778626e-13	-2.444642181815e-12	-3.256438573844e-11	-3.085285508367e-10	-1.661382746724e-09	3.023479220683e-09
